  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.905       3.600      15.138       0.000       0.000       0.000      33.195     -10.448      -0.387
    2      1      24.401       3.431      15.955       0.000       0.000       0.000      33.530     -10.257      -0.380
    3      1      24.462       3.571      15.577       0.000       0.000       0.000      33.382     -10.228      -0.379
    4      1      24.509       3.556      15.588       0.000       0.000       0.000      33.462     -10.191      -0.377
    5      1      25.569       6.012      20.286       0.000       0.000       0.000      41.744     -10.123      -0.375
    6      1      24.437       3.620      15.485       0.000       0.000       0.000      33.459     -10.083      -0.373
    7      1      24.738       3.503      15.302       0.000       0.000       0.000      33.487     -10.057      -0.372
    8      1      24.638       3.451      15.412       0.000       0.000       0.000      33.462     -10.040      -0.372
    9      1      22.063       5.520      18.101       0.000       0.000       0.000      35.655     -10.029      -0.371
   10      1      24.810       3.524      15.184       0.000       0.000       0.000      33.489     -10.028      -0.371
   11      1      24.853       3.518      15.346       0.000       0.000       0.000      33.704     -10.013      -0.371
   12      1      22.501       5.617      17.616       0.000       0.000       0.000      35.735      -9.999      -0.370
   13      1      24.390       5.738      21.918       0.000       0.000       0.000      42.054      -9.992      -0.370
   14      1      24.223       4.562      15.895       0.000       0.000       0.000      34.697      -9.984      -0.370
   15      1      26.239       5.114      18.003       0.000       0.000       0.000      39.389      -9.967      -0.369
   16      1      24.456       3.602      15.359       0.000       0.000       0.000      33.459      -9.958      -0.369
   17      1      24.641       3.583      15.229       0.000       0.000       0.000      33.498      -9.955      -0.369
   18      1      24.381       3.542      15.627       0.000       0.000       0.000      33.616      -9.934      -0.368
   19      1      24.746       3.505      15.477       0.000       0.000       0.000      33.804      -9.924      -0.368
   20      1      23.276       3.552      16.210       0.000       0.000       0.000      33.132      -9.906      -0.367
   21      1      24.040       3.475      15.947       0.000       0.000       0.000      33.566      -9.896      -0.367
   22      1      26.410       3.710      15.359       0.000       0.000       0.000      35.594      -9.885      -0.366
   23      1      26.019       3.759      15.172       0.000       0.000       0.000      35.068      -9.882      -0.366
   24      1      24.235       3.561      15.588       0.000       0.000       0.000      33.507      -9.876      -0.366
   25      1      23.980       5.870      22.395       0.000       0.000       0.000      42.398      -9.847      -0.365
   26      1      23.295       3.505      16.539       0.000       0.000       0.000      33.519      -9.820      -0.364
   27      1      24.627       3.497      15.567       0.000       0.000       0.000      33.940      -9.752      -0.361
   28      1      27.255       4.711      17.036       0.000       0.000       0.000      39.254      -9.748      -0.361
   29      1      24.637       6.411      20.893       0.000       0.000       0.000      42.230      -9.710      -0.360
   30      1      24.618       6.212      20.892       0.000       0.000       0.000      42.018      -9.704      -0.359
   31      1      23.278       3.546      16.037       0.000       0.000       0.000      33.178      -9.684      -0.359
   32      1      25.496       5.406      16.996       0.000       0.000       0.000      38.232      -9.667      -0.358
   33      1      24.799       5.837      22.153       0.000       0.000       0.000      43.129      -9.660      -0.358
   34      1      24.654       3.508      15.354       0.000       0.000       0.000      33.936      -9.580      -0.355
   35      1      26.457       3.790      14.758       0.000       0.000       0.000      35.453      -9.552      -0.354
   36      1      24.241       6.024      21.745       0.000       0.000       0.000      42.473      -9.538      -0.353
   37      1      23.351       3.384      16.580       0.000       0.000       0.000      33.793      -9.522      -0.353
   38      1      26.952       4.659      17.101       0.000       0.000       0.000      39.197      -9.515      -0.352
   39      1      27.188       4.695      16.940       0.000       0.000       0.000      39.332      -9.492      -0.352
   40      1      23.500       3.408      16.324       0.000       0.000       0.000      33.745      -9.486      -0.351
   41      1      26.040       5.419      16.602       0.000       0.000       0.000      38.576      -9.485      -0.351
   42      1      23.685       3.506      15.933       0.000       0.000       0.000      33.659      -9.465      -0.351
   43      1      24.288       6.169      21.241       0.000       0.000       0.000      42.241      -9.458      -0.350
   44      1      25.622       3.814      15.937       0.000       0.000       0.000      35.927      -9.446      -0.350
   45      1      21.041       4.533      18.487       0.000       0.000       0.000      34.618      -9.442      -0.350
   46      1      25.763       3.930      15.842       0.000       0.000       0.000      36.106      -9.429      -0.349
   47      1      23.491       3.517      15.948       0.000       0.000       0.000      33.543      -9.412      -0.349
   48      1      24.874       5.876      18.548       0.000       0.000       0.000      39.897      -9.402      -0.348
   49      1      26.016       3.772      15.412       0.000       0.000       0.000      35.816      -9.384      -0.348
   50      1      26.862       4.697      17.554       0.000       0.000       0.000      39.732      -9.381      -0.347
