  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.962       6.797      24.043       0.000       0.000       0.000      51.112      -8.689      -0.334
    2      1      28.473       7.164      24.165       0.000       0.000       0.000      51.498      -8.305      -0.319
    3      1      27.860       7.091      18.694       0.000       0.000       0.000      45.402      -8.242      -0.317
    4      1      28.493       7.467      23.596       0.000       0.000       0.000      51.394      -8.162      -0.314
    5      1      27.487       7.030      19.142       0.000       0.000       0.000      45.497      -8.161      -0.314
    6      1      28.229       7.168      24.340       0.000       0.000       0.000      51.578      -8.160      -0.314
    7      1      32.056       6.055      18.404       0.000       0.000       0.000      48.378      -8.137      -0.313
    8      1      27.341       7.059      19.308       0.000       0.000       0.000      45.584      -8.124      -0.312
    9      1      29.367       4.897      13.883       0.000       0.000       0.000      40.060      -8.088      -0.311
   10      1      30.265       6.119      17.121       0.000       0.000       0.000      45.455      -8.050      -0.310
   11      1      29.885       6.130      17.519       0.000       0.000       0.000      45.497      -8.037      -0.309
   12      1      32.066       6.056      17.915       0.000       0.000       0.000      48.050      -7.988      -0.307
   13      1      27.963       4.796      14.570       0.000       0.000       0.000      39.419      -7.910      -0.304
   14      1      28.248       4.616      13.937       0.000       0.000       0.000      38.921      -7.881      -0.303
   15      1      27.988       4.622      14.204       0.000       0.000       0.000      38.947      -7.867      -0.303
   16      1      26.918       5.903      18.574       0.000       0.000       0.000      43.533      -7.861      -0.302
   17      1      27.501       5.702      27.732       0.000       0.000       0.000      53.086      -7.848      -0.302
   18      1      28.121       4.599      14.024       0.000       0.000       0.000      38.909      -7.835      -0.301
   19      1      27.793       4.594      14.328       0.000       0.000       0.000      38.882      -7.833      -0.301
   20      1      28.199       4.628      13.852       0.000       0.000       0.000      38.849      -7.830      -0.301
   21      1      27.878       5.456      21.186       0.000       0.000       0.000      46.696      -7.824      -0.301
   22      1      28.192       4.600      13.798       0.000       0.000       0.000      38.782      -7.807      -0.300
   23      1      27.967       4.616      14.084       0.000       0.000       0.000      38.874      -7.793      -0.300
   24      1      29.408       4.806      13.994       0.000       0.000       0.000      40.416      -7.793      -0.300
   25      1      28.050       4.590      14.185       0.000       0.000       0.000      39.033      -7.792      -0.300
   26      1      28.021       7.105      19.304       0.000       0.000       0.000      46.649      -7.781      -0.299
   27      1      27.055       4.573      15.448       0.000       0.000       0.000      39.303      -7.773      -0.299
   28      1      28.276       4.628      13.888       0.000       0.000       0.000      39.030      -7.763      -0.299
   29      1      28.024       6.865      18.594       0.000       0.000       0.000      45.724      -7.759      -0.298
   30      1      30.765       5.971      18.736       0.000       0.000       0.000      47.713      -7.758      -0.298
   31      1      28.759       4.585      13.373       0.000       0.000       0.000      38.973      -7.743      -0.298
   32      1      27.772       5.436      21.249       0.000       0.000       0.000      46.739      -7.718      -0.297
   33      1      27.632       5.458      21.416       0.000       0.000       0.000      46.797      -7.709      -0.296
   34      1      28.028       4.696      14.286       0.000       0.000       0.000      39.316      -7.694      -0.296
   35      1      29.642       5.950      19.921       0.000       0.000       0.000      47.836      -7.677      -0.295
   36      1      28.663       5.579      27.156       0.000       0.000       0.000      53.722      -7.676      -0.295
   37      1      27.920       4.567      14.225       0.000       0.000       0.000      39.037      -7.675      -0.295
   38      1      26.643       6.069      18.151       0.000       0.000       0.000      43.191      -7.672      -0.295
   39      1      27.962       4.639      14.360       0.000       0.000       0.000      39.310      -7.650      -0.294
   40      1      28.136       4.627      13.914       0.000       0.000       0.000      39.043      -7.635      -0.294
   41      1      27.724       4.661      14.606       0.000       0.000       0.000      39.361      -7.630      -0.293
   42      1      27.766       4.554      14.377       0.000       0.000       0.000      39.076      -7.622      -0.293
   43      1      27.236       7.081      19.109       0.000       0.000       0.000      45.805      -7.621      -0.293
   44      1      28.022       4.633      13.925       0.000       0.000       0.000      38.961      -7.620      -0.293
   45      1      28.317       4.645      13.776       0.000       0.000       0.000      39.132      -7.606      -0.293
   46      1      27.509       6.945      19.068       0.000       0.000       0.000      45.921      -7.600      -0.292
   47      1      30.382       7.455      18.330       0.000       0.000       0.000      48.569      -7.598      -0.292
   48      1      32.553       6.034      18.039       0.000       0.000       0.000      49.033      -7.594      -0.292
   49      1      30.521       6.153      16.986       0.000       0.000       0.000      46.072      -7.588      -0.292
   50      1      28.257       4.630      13.805       0.000       0.000       0.000      39.110      -7.582      -0.292
