  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.231       5.865      22.470       0.000       0.000       0.000      46.819      -9.746      -0.336
    2      1      34.051       6.249      19.518       0.000       0.000       0.000      50.947      -8.871      -0.306
    3      1      26.233       7.971      20.188       0.000       0.000       0.000      45.613      -8.778      -0.303
    4      1      29.933       6.753      21.771       0.000       0.000       0.000      49.694      -8.763      -0.302
    5      1      32.734       6.458      19.310       0.000       0.000       0.000      49.758      -8.744      -0.302
    6      1      27.777       6.009      28.142       0.000       0.000       0.000      53.222      -8.706      -0.300
    7      1      28.620       6.691      19.460       0.000       0.000       0.000      46.082      -8.688      -0.300
    8      1      28.556       6.698      19.588       0.000       0.000       0.000      46.252      -8.590      -0.296
    9      1      28.675       6.863      19.335       0.000       0.000       0.000      46.314      -8.558      -0.295
   10      1      31.949       7.424      32.944       0.000       0.000       0.000      63.781      -8.536      -0.294
   11      1      29.558       5.412      16.730       0.000       0.000       0.000      43.284      -8.417      -0.290
   12      1      28.443       8.265      24.649       0.000       0.000       0.000      52.981      -8.377      -0.289
   13      1      28.286       6.089      27.510       0.000       0.000       0.000      53.519      -8.365      -0.288
   14      1      28.414       4.925      16.879       0.000       0.000       0.000      41.871      -8.347      -0.288
   15      1      30.836       7.315      21.240       0.000       0.000       0.000      51.070      -8.322      -0.287
   16      1      28.252       4.890      16.922       0.000       0.000       0.000      41.747      -8.317      -0.287
   17      1      28.433       6.607      19.698       0.000       0.000       0.000      46.433      -8.305      -0.286
   18      1      28.710       4.917      16.510       0.000       0.000       0.000      41.846      -8.291      -0.286
   19      1      28.697       4.903      16.509       0.000       0.000       0.000      41.823      -8.286      -0.286
   20      1      28.722       4.848      16.513       0.000       0.000       0.000      41.858      -8.225      -0.284
   21      1      28.677       4.969      16.530       0.000       0.000       0.000      41.973      -8.203      -0.283
   22      1      28.488       4.871      16.707       0.000       0.000       0.000      41.867      -8.199      -0.283
   23      1      29.853       5.061      15.918       0.000       0.000       0.000      42.651      -8.181      -0.282
   24      1      29.723       7.741      19.077       0.000       0.000       0.000      48.360      -8.180      -0.282
   25      1      30.464       6.913      24.107       0.000       0.000       0.000      53.306      -8.178      -0.282
   26      1      28.394       6.790      27.784       0.000       0.000       0.000      54.802      -8.166      -0.282
   27      1      29.341       7.717      19.338       0.000       0.000       0.000      48.236      -8.161      -0.281
   28      1      28.311       4.818      16.846       0.000       0.000       0.000      41.850      -8.125      -0.280
   29      1      27.654       6.484      19.294       0.000       0.000       0.000      45.329      -8.103      -0.279
   30      1      28.416       4.892      16.795       0.000       0.000       0.000      41.999      -8.103      -0.279
   31      1      29.373       5.620      22.405       0.000       0.000       0.000      49.307      -8.092      -0.279
   32      1      27.745       4.751      18.052       0.000       0.000       0.000      42.476      -8.072      -0.278
   33      1      28.428       6.842      19.591       0.000       0.000       0.000      46.791      -8.070      -0.278
   34      1      26.466       6.815      20.307       0.000       0.000       0.000      45.521      -8.067      -0.278
   35      1      32.030       6.613      19.675       0.000       0.000       0.000      50.258      -8.060      -0.278
   36      1      28.451       7.547      19.736       0.000       0.000       0.000      47.680      -8.054      -0.278
   37      1      31.034       5.115      15.739       0.000       0.000       0.000      43.862      -8.025      -0.277
   38      1      29.361       6.167      17.858       0.000       0.000       0.000      45.361      -8.025      -0.277
   39      1      28.384       4.871      16.793       0.000       0.000       0.000      42.042      -8.007      -0.276
   40      1      29.833       5.106      17.056       0.000       0.000       0.000      43.995      -8.000      -0.276
   41      1      28.275       4.884      16.834       0.000       0.000       0.000      42.018      -7.975      -0.275
   42      1      27.054       7.427      21.166       0.000       0.000       0.000      47.682      -7.965      -0.275
   43      1      28.496       4.848      16.680       0.000       0.000       0.000      42.064      -7.961      -0.275
   44      1      27.925       7.152      20.345       0.000       0.000       0.000      47.468      -7.954      -0.274
   45      1      30.171       5.090      16.563       0.000       0.000       0.000      43.882      -7.942      -0.274
   46      1      28.546       7.350      24.341       0.000       0.000       0.000      52.306      -7.932      -0.274
   47      1      28.631       7.214      24.290       0.000       0.000       0.000      52.216      -7.919      -0.273
   48      1      28.631       4.896      16.546       0.000       0.000       0.000      42.159      -7.915      -0.273
   49      1      28.805       7.392      24.013       0.000       0.000       0.000      52.315      -7.895      -0.272
   50      1      29.305       6.114      17.949       0.000       0.000       0.000      45.481      -7.888      -0.272
