  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      27.364       5.365      17.548       0.000       0.000       0.000      39.512     -10.765      -0.399
    2      1      22.920       6.314      17.449       0.000       0.000       0.000      36.902      -9.781      -0.362
    3      1      24.801       6.365      21.595       0.000       0.000       0.000      42.997      -9.764      -0.362
    4      1      25.061       4.353      15.785       0.000       0.000       0.000      35.443      -9.757      -0.361
    5      1      24.979       5.745      17.441       0.000       0.000       0.000      38.472      -9.692      -0.359
    6      1      26.141       6.175      17.025       0.000       0.000       0.000      39.769      -9.572      -0.355
    7      1      24.105       4.335      16.217       0.000       0.000       0.000      35.094      -9.563      -0.354
    8      1      24.721       6.510      21.602       0.000       0.000       0.000      43.296      -9.537      -0.353
    9      1      25.029       4.391      15.349       0.000       0.000       0.000      35.279      -9.490      -0.351
   10      1      25.512       4.346      15.073       0.000       0.000       0.000      35.495      -9.436      -0.349
   11      1      26.552       6.137      16.260       0.000       0.000       0.000      39.530      -9.419      -0.349
   12      1      25.205       4.330      15.314       0.000       0.000       0.000      35.462      -9.387      -0.348
   13      1      25.311       4.363      15.314       0.000       0.000       0.000      35.629      -9.358      -0.347
   14      1      26.963       4.550      15.000       0.000       0.000       0.000      37.186      -9.326      -0.345
   15      1      26.808       4.495      15.131       0.000       0.000       0.000      37.111      -9.323      -0.345
   16      1      25.366       6.170      17.786       0.000       0.000       0.000      40.037      -9.285      -0.344
   17      1      27.370       5.409      17.101       0.000       0.000       0.000      40.643      -9.236      -0.342
   18      1      25.250       4.281      15.301       0.000       0.000       0.000      35.604      -9.229      -0.342
   19      1      26.895       4.559      15.148       0.000       0.000       0.000      37.381      -9.221      -0.342
   20      1      24.109       4.409      16.097       0.000       0.000       0.000      35.407      -9.208      -0.341
   21      1      24.009       4.374      16.270       0.000       0.000       0.000      35.492      -9.161      -0.339
   22      1      25.234       6.190      18.083       0.000       0.000       0.000      40.369      -9.137      -0.338
   23      1      26.517       4.735      14.775       0.000       0.000       0.000      36.907      -9.119      -0.338
   24      1      24.233       4.423      15.712       0.000       0.000       0.000      35.256      -9.112      -0.337
   25      1      24.817       4.329      15.588       0.000       0.000       0.000      35.628      -9.105      -0.337
   26      1      24.706       4.392      15.648       0.000       0.000       0.000      35.651      -9.094      -0.337
   27      1      24.993       4.408      15.370       0.000       0.000       0.000      35.678      -9.093      -0.337
   28      1      27.407       5.993      19.137       0.000       0.000       0.000      43.477      -9.059      -0.336
   29      1      24.823       6.825      21.475       0.000       0.000       0.000      44.070      -9.054      -0.335
   30      1      24.823       4.384      15.516       0.000       0.000       0.000      35.710      -9.012      -0.334
   31      1      26.937       4.528      14.868       0.000       0.000       0.000      37.321      -9.012      -0.334
   32      1      23.773       4.351      16.068       0.000       0.000       0.000      35.193      -8.998      -0.333
   33      1      26.760       4.620      14.653       0.000       0.000       0.000      37.081      -8.952      -0.332
   34      1      25.024       5.222      18.188       0.000       0.000       0.000      39.525      -8.909      -0.330
   35      1      26.808       4.507      14.793       0.000       0.000       0.000      37.245      -8.863      -0.328
   36      1      27.222       8.160      18.838       0.000       0.000       0.000      45.362      -8.857      -0.328
   37      1      22.819       6.277      18.056       0.000       0.000       0.000      38.306      -8.846      -0.328
   38      1      26.555       4.543      15.148       0.000       0.000       0.000      37.402      -8.845      -0.328
   39      1      24.983       4.349      15.064       0.000       0.000       0.000      35.584      -8.813      -0.326
   40      1      24.852       4.308      15.233       0.000       0.000       0.000      35.582      -8.811      -0.326
   41      1      25.869       5.282      16.441       0.000       0.000       0.000      38.849      -8.743      -0.324
   42      1      25.488       5.359      16.671       0.000       0.000       0.000      38.782      -8.735      -0.324
   43      1      24.173       4.368      15.740       0.000       0.000       0.000      35.579      -8.702      -0.322
   44      1      24.659       5.248      18.195       0.000       0.000       0.000      39.428      -8.674      -0.321
   45      1      24.166       5.253      18.742       0.000       0.000       0.000      39.524      -8.637      -0.320
   46      1      24.744       4.391      15.193       0.000       0.000       0.000      35.726      -8.603      -0.319
   47      1      22.730       6.248      18.016       0.000       0.000       0.000      38.421      -8.574      -0.318
   48      1      26.272       6.282      16.459       0.000       0.000       0.000      40.460      -8.553      -0.317
   49      1      23.548       5.274      19.033       0.000       0.000       0.000      39.302      -8.552      -0.317
   50      1      24.921       4.412      14.946       0.000       0.000       0.000      35.770      -8.509      -0.315
