  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      27.467       8.426      16.935       0.000       0.000       0.000      42.875      -9.952      -0.343
    2      1      29.384       7.129      16.760       0.000       0.000       0.000      43.536      -9.737      -0.336
    3      1      30.058       7.413      17.188       0.000       0.000       0.000      45.012      -9.647      -0.333
    4      1      27.689       6.768      21.271       0.000       0.000       0.000      46.116      -9.611      -0.331
    5      1      25.201       6.670      18.003       0.000       0.000       0.000      40.436      -9.438      -0.325
    6      1      25.249       6.716      17.877       0.000       0.000       0.000      40.404      -9.438      -0.325
    7      1      29.019       6.001      22.215       0.000       0.000       0.000      47.819      -9.417      -0.325
    8      1      31.112       5.995      14.935       0.000       0.000       0.000      42.650      -9.392      -0.324
    9      1      24.845       6.781      18.032       0.000       0.000       0.000      40.269      -9.388      -0.324
   10      1      26.487       7.536      19.534       0.000       0.000       0.000      44.179      -9.378      -0.323
   11      1      27.017       6.456      22.330       0.000       0.000       0.000      46.454      -9.349      -0.322
   12      1      24.630       6.942      18.304       0.000       0.000       0.000      40.596      -9.280      -0.320
   13      1      28.627       6.712      18.083       0.000       0.000       0.000      44.206      -9.216      -0.318
   14      1      27.894       6.852      18.721       0.000       0.000       0.000      44.265      -9.202      -0.317
   15      1      30.524       7.388      14.998       0.000       0.000       0.000      43.724      -9.186      -0.317
   16      1      30.599       7.414      14.986       0.000       0.000       0.000      43.835      -9.164      -0.316
   17      1      26.479       6.761      20.436       0.000       0.000       0.000      44.524      -9.152      -0.316
   18      1      25.230       6.379      20.447       0.000       0.000       0.000      42.905      -9.151      -0.316
   19      1      24.692       6.470      20.961       0.000       0.000       0.000      42.972      -9.151      -0.316
   20      1      25.466       6.301      20.395       0.000       0.000       0.000      43.028      -9.134      -0.315
   21      1      24.924       6.717      17.955       0.000       0.000       0.000      40.469      -9.129      -0.315
   22      1      30.436       7.407      15.117       0.000       0.000       0.000      43.844      -9.116      -0.314
   23      1      27.021       7.478      19.855       0.000       0.000       0.000      45.244      -9.109      -0.314
   24      1      24.684       6.929      18.321       0.000       0.000       0.000      40.827      -9.108      -0.314
   25      1      31.494       7.756      20.690       0.000       0.000       0.000      50.845      -9.096      -0.314
   26      1      24.350       6.801      17.206       0.000       0.000       0.000      39.298      -9.058      -0.312
   27      1      27.249       8.329      17.439       0.000       0.000       0.000      44.012      -9.006      -0.311
   28      1      31.126       5.954      14.309       0.000       0.000       0.000      42.406      -8.983      -0.310
   29      1      30.691       7.395      14.713       0.000       0.000       0.000      43.835      -8.964      -0.309
   30      1      29.540       7.037      17.663       0.000       0.000       0.000      45.305      -8.936      -0.308
   31      1      25.630       6.636      20.416       0.000       0.000       0.000      43.747      -8.935      -0.308
   32      1      28.060       7.073      18.480       0.000       0.000       0.000      44.682      -8.931      -0.308
   33      1      31.752       7.171      16.385       0.000       0.000       0.000      46.402      -8.907      -0.307
   34      1      28.275       7.267      18.943       0.000       0.000       0.000      45.637      -8.847      -0.305
   35      1      26.674       8.380      17.070       0.000       0.000       0.000      43.289      -8.834      -0.305
   36      1      27.961       6.707      22.993       0.000       0.000       0.000      48.841      -8.821      -0.304
   37      1      29.554       5.836      15.633       0.000       0.000       0.000      42.210      -8.813      -0.304
   38      1      28.499       7.591      16.185       0.000       0.000       0.000      43.471      -8.803      -0.304
   39      1      29.065       7.384      16.924       0.000       0.000       0.000      44.594      -8.779      -0.303
   40      1      30.574       6.323      15.152       0.000       0.000       0.000      43.304      -8.746      -0.302
   41      1      24.603       6.784      17.327       0.000       0.000       0.000      40.009      -8.705      -0.300
   42      1      29.276       5.748      15.245       0.000       0.000       0.000      41.568      -8.702      -0.300
   43      1      29.083       7.240      17.887       0.000       0.000       0.000      45.533      -8.678      -0.299
   44      1      23.603       6.923      18.141       0.000       0.000       0.000      40.039      -8.628      -0.298
   45      1      30.081       7.282      23.861       0.000       0.000       0.000      52.618      -8.605      -0.297
   46      1      24.213       6.764      17.566       0.000       0.000       0.000      39.947      -8.596      -0.296
   47      1      28.443       5.722      16.299       0.000       0.000       0.000      41.888      -8.575      -0.296
   48      1      27.857       7.043      16.634       0.000       0.000       0.000      42.959      -8.574      -0.296
   49      1      28.578       6.968      17.798       0.000       0.000       0.000      44.793      -8.552      -0.295
   50      1      31.882       7.804      20.203       0.000       0.000       0.000      51.355      -8.533      -0.294
