  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.570       3.789      15.381       0.000       0.000       0.000      32.255     -11.485      -0.410
    2      1      24.988       3.695      15.056       0.000       0.000       0.000      32.346     -11.393      -0.407
    3      1      24.549       3.650      15.372       0.000       0.000       0.000      32.296     -11.276      -0.403
    4      1      25.616       5.147      20.992       0.000       0.000       0.000      40.932     -10.824      -0.387
    5      1      23.312       3.649      16.079       0.000       0.000       0.000      32.246     -10.793      -0.385
    6      1      24.887       5.877      21.736       0.000       0.000       0.000      41.752     -10.748      -0.384
    7      1      26.308       3.939      15.018       0.000       0.000       0.000      34.599     -10.666      -0.381
    8      1      28.182       4.633      16.685       0.000       0.000       0.000      38.869     -10.631      -0.380
    9      1      24.695       3.703      15.771       0.000       0.000       0.000      33.546     -10.623      -0.379
   10      1      24.083       3.582      16.308       0.000       0.000       0.000      33.378     -10.595      -0.378
   11      1      24.645       3.616      15.495       0.000       0.000       0.000      33.248     -10.508      -0.375
   12      1      24.445       3.634      15.890       0.000       0.000       0.000      33.473     -10.496      -0.375
   13      1      25.433       5.460      17.137       0.000       0.000       0.000      37.541     -10.488      -0.375
   14      1      26.785       4.937      17.563       0.000       0.000       0.000      38.799     -10.486      -0.374
   15      1      24.965       3.721      15.159       0.000       0.000       0.000      33.386     -10.459      -0.374
   16      1      24.517       3.636      15.746       0.000       0.000       0.000      33.444     -10.456      -0.373
   17      1      24.809       3.591      15.478       0.000       0.000       0.000      33.534     -10.344      -0.369
   18      1      22.572       4.579      25.049       0.000       0.000       0.000      41.875     -10.325      -0.369
   19      1      24.145       3.725      16.016       0.000       0.000       0.000      33.619     -10.268      -0.367
   20      1      24.332       3.630      15.999       0.000       0.000       0.000      33.699     -10.262      -0.366
   21      1      24.835       3.665      15.551       0.000       0.000       0.000      33.808     -10.244      -0.366
   22      1      23.897       3.578      15.773       0.000       0.000       0.000      33.015     -10.233      -0.365
   23      1      27.172       4.566      17.996       0.000       0.000       0.000      39.513     -10.220      -0.365
   24      1      24.909       3.682      15.271       0.000       0.000       0.000      33.664     -10.198      -0.364
   25      1      24.338       3.762      15.630       0.000       0.000       0.000      33.543     -10.186      -0.364
   26      1      25.754       5.460      16.929       0.000       0.000       0.000      37.967     -10.175      -0.363
   27      1      24.129       5.914      22.593       0.000       0.000       0.000      42.467     -10.169      -0.363
   28      1      23.221       3.712      16.584       0.000       0.000       0.000      33.365     -10.151      -0.363
   29      1      24.875       3.708      15.301       0.000       0.000       0.000      33.768     -10.116      -0.361
   30      1      26.813       4.173      15.988       0.000       0.000       0.000      36.864     -10.109      -0.361
   31      1      25.427       6.395      19.603       0.000       0.000       0.000      41.318     -10.106      -0.361
   32      1      22.808       4.903      24.979       0.000       0.000       0.000      42.606     -10.084      -0.360
   33      1      24.448       3.763      15.516       0.000       0.000       0.000      33.659     -10.069      -0.360
   34      1      23.136       3.603      16.202       0.000       0.000       0.000      32.889     -10.052      -0.359
   35      1      24.082       3.711      16.156       0.000       0.000       0.000      33.902     -10.048      -0.359
   36      1      25.610       6.092      22.012       0.000       0.000       0.000      43.749      -9.965      -0.356
   37      1      25.262       5.526      17.109       0.000       0.000       0.000      37.955      -9.943      -0.355
   38      1      25.013       3.564      16.691       0.000       0.000       0.000      35.332      -9.936      -0.355
   39      1      23.300       3.669      16.383       0.000       0.000       0.000      33.417      -9.935      -0.355
   40      1      25.171       3.601      15.549       0.000       0.000       0.000      34.394      -9.927      -0.355
   41      1      24.016       3.665      15.875       0.000       0.000       0.000      33.635      -9.921      -0.354
   42      1      26.133       4.519      17.983       0.000       0.000       0.000      38.715      -9.920      -0.354
   43      1      25.739       5.444      16.884       0.000       0.000       0.000      38.151      -9.916      -0.354
   44      1      27.391       3.623      16.364       0.000       0.000       0.000      37.490      -9.888      -0.353
   45      1      24.411       3.739      15.416       0.000       0.000       0.000      33.680      -9.885      -0.353
   46      1      23.494       3.623      16.278       0.000       0.000       0.000      33.529      -9.866      -0.352
   47      1      25.808       5.654      16.599       0.000       0.000       0.000      38.233      -9.827      -0.351
   48      1      25.321       4.110      17.999       0.000       0.000       0.000      37.644      -9.786      -0.349
   49      1      26.374       3.700      15.555       0.000       0.000       0.000      35.851      -9.778      -0.349
   50      1      25.163       4.079      18.094       0.000       0.000       0.000      37.609      -9.728      -0.347
