  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1    1373.652       3.525      22.059       0.000       0.000       0.000    1389.473      -9.763      -0.362
    2      1      12.510       4.786      21.169       0.000       0.000       0.000      28.795      -9.671      -0.358
    3      1      12.224       1.608      18.212       0.000       0.000       0.000      22.669      -9.375      -0.347
    4      1      11.951       3.259      27.266       0.000       0.000       0.000      33.201      -9.276      -0.344
    5      1      12.375       1.556      18.178       0.000       0.000       0.000      22.841      -9.268      -0.343
    6      1      12.270       1.592      18.226       0.000       0.000       0.000      22.880      -9.207      -0.341
    7      1      12.146       1.598      18.214       0.000       0.000       0.000      22.761      -9.197      -0.341
    8      1      13.059       1.541      18.083       0.000       0.000       0.000      23.524      -9.160      -0.339
    9      1      13.458       3.549      19.848       0.000       0.000       0.000      27.764      -9.090      -0.337
   10      1      12.875       3.313      27.221       0.000       0.000       0.000      34.332      -9.076      -0.336
   11      1      13.080       3.543      20.784       0.000       0.000       0.000      28.384      -9.023      -0.334
   12      1      13.221       3.557      19.868       0.000       0.000       0.000      27.709      -8.937      -0.331
   13      1      13.670       1.639      17.845       0.000       0.000       0.000      24.234      -8.921      -0.330
   14      1      13.700       1.590      17.816       0.000       0.000       0.000      24.198      -8.907      -0.330
   15      1      13.563       1.572      18.426       0.000       0.000       0.000      24.700      -8.861      -0.328
   16      1      13.805       3.086      20.849       0.000       0.000       0.000      28.906      -8.834      -0.327
   17      1      12.455       1.594      18.432       0.000       0.000       0.000      23.682      -8.799      -0.326
   18      1      12.552       2.579      22.048       0.000       0.000       0.000      28.403      -8.775      -0.325
   19      1      13.054       4.319      23.758       0.000       0.000       0.000      32.395      -8.735      -0.324
   20      1      15.724       1.712      19.516       0.000       0.000       0.000      28.308      -8.644      -0.320
   21      1      13.287       4.122      23.796       0.000       0.000       0.000      32.577      -8.629      -0.320
   22      1      13.503       4.039      23.611       0.000       0.000       0.000      32.538      -8.615      -0.319
   23      1      13.519       1.598      17.892       0.000       0.000       0.000      24.400      -8.608      -0.319
   24      1      13.766       1.645      17.614       0.000       0.000       0.000      24.442      -8.583      -0.318
   25      1      14.225       3.110      20.510       0.000       0.000       0.000      29.290      -8.555      -0.317
   26      1      14.026       1.544      17.942       0.000       0.000       0.000      24.986      -8.526      -0.316
   27      1      12.327       3.439      26.723       0.000       0.000       0.000      33.968      -8.521      -0.316
   28      1      11.841       2.803      19.294       0.000       0.000       0.000      25.436      -8.502      -0.315
   29      1      13.675       3.568      19.600       0.000       0.000       0.000      28.381      -8.463      -0.313
   30      1      14.857       3.514      18.907       0.000       0.000       0.000      28.818      -8.461      -0.313
   31      1      11.789       2.843      21.539       0.000       0.000       0.000      27.724      -8.447      -0.313
   32      1      13.196       3.518      26.508       0.000       0.000       0.000      34.783      -8.439      -0.313
   33      1      13.958       3.954      24.325       0.000       0.000       0.000      33.799      -8.438      -0.313
   34      1      15.832       5.036      20.923       0.000       0.000       0.000      33.360      -8.431      -0.312
   35      1      12.435       3.373      20.586       0.000       0.000       0.000      27.964      -8.431      -0.312
   36      1      14.536       3.438      19.217       0.000       0.000       0.000      28.764      -8.427      -0.312
   37      1      14.589       3.434      19.199       0.000       0.000       0.000      28.797      -8.425      -0.312
   38      1      11.911       2.585      23.559       0.000       0.000       0.000      29.638      -8.418      -0.312
   39      1      14.659       3.698      26.041       0.000       0.000       0.000      35.992      -8.406      -0.311
   40      1      10.977       3.624      20.576       0.000       0.000       0.000      26.771      -8.405      -0.311
   41      1      15.400       1.692      17.960       0.000       0.000       0.000      26.671      -8.382      -0.310
   42      1      13.846       1.608      17.379       0.000       0.000       0.000      24.455      -8.378      -0.310
   43      1      13.730       3.395      22.482       0.000       0.000       0.000      31.239      -8.368      -0.310
   44      1      14.021       1.593      18.019       0.000       0.000       0.000      25.282      -8.351      -0.309
   45      1      15.479       1.705      17.989       0.000       0.000       0.000      26.824      -8.350      -0.309
   46      1      13.120       1.620      17.888       0.000       0.000       0.000      24.290      -8.338      -0.309
   47      1      15.483       1.713      18.013       0.000       0.000       0.000      26.886      -8.323      -0.308
   48      1      13.950       3.483      19.484       0.000       0.000       0.000      28.605      -8.313      -0.308
   49      1      14.055       1.676      17.357       0.000       0.000       0.000      24.784      -8.303      -0.308
   50      1      12.354       2.782      18.666       0.000       0.000       0.000      25.519      -8.283      -0.307
