  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      22.389       5.083      19.368       0.000       0.000       0.000      38.052      -8.788      -0.325
    2      1      22.476       5.773      17.709       0.000       0.000       0.000      37.185      -8.773      -0.325
    3      1      22.657       5.362      19.077       0.000       0.000       0.000      38.348      -8.748      -0.324
    4      1      22.396       5.043      19.486       0.000       0.000       0.000      38.193      -8.732      -0.323
    5      1      23.177       5.346      18.532       0.000       0.000       0.000      38.325      -8.730      -0.323
    6      1      19.993       4.610      18.277       0.000       0.000       0.000      34.161      -8.719      -0.323
    7      1      22.527       4.367      21.847       0.000       0.000       0.000      40.024      -8.717      -0.323
    8      1      25.177       3.998      14.835       0.000       0.000       0.000      35.332      -8.678      -0.321
    9      1      25.159       5.306      14.909       0.000       0.000       0.000      36.751      -8.622      -0.319
   10      1      24.102       3.629      14.973       0.000       0.000       0.000      34.127      -8.576      -0.318
   11      1      21.661       4.742      19.704       0.000       0.000       0.000      37.534      -8.573      -0.318
   12      1      22.742       5.413      17.772       0.000       0.000       0.000      37.378      -8.549      -0.317
   13      1      23.728       3.667      14.943       0.000       0.000       0.000      33.898      -8.440      -0.313
   14      1      24.052       3.681      14.760       0.000       0.000       0.000      34.081      -8.413      -0.312
   15      1      21.270       4.460      20.242       0.000       0.000       0.000      37.566      -8.407      -0.311
   16      1      20.064       4.833      17.691       0.000       0.000       0.000      34.182      -8.405      -0.311
   17      1      27.915       6.127      18.729       0.000       0.000       0.000      44.370      -8.401      -0.311
   18      1      24.864       5.322      15.209       0.000       0.000       0.000      36.998      -8.397      -0.311
   19      1      23.244       4.395      18.478       0.000       0.000       0.000      37.730      -8.388      -0.311
   20      1      23.414       3.822      15.308       0.000       0.000       0.000      34.184      -8.361      -0.310
   21      1      25.077       5.310      14.966       0.000       0.000       0.000      36.994      -8.358      -0.310
   22      1      23.933       3.725      14.537       0.000       0.000       0.000      33.845      -8.351      -0.309
   23      1      23.574       3.890      15.031       0.000       0.000       0.000      34.145      -8.350      -0.309
   24      1      28.116       6.012      25.691       0.000       0.000       0.000      51.476      -8.343      -0.309
   25      1      23.529       3.690      15.162       0.000       0.000       0.000      34.038      -8.343      -0.309
   26      1      26.914       5.506      21.155       0.000       0.000       0.000      45.235      -8.339      -0.309
   27      1      24.210       3.650      14.477       0.000       0.000       0.000      34.006      -8.331      -0.309
   28      1      23.220       3.797      15.483       0.000       0.000       0.000      34.195      -8.306      -0.308
   29      1      22.464       6.234      16.817       0.000       0.000       0.000      37.217      -8.298      -0.307
   30      1      24.631       4.798      17.562       0.000       0.000       0.000      38.693      -8.298      -0.307
   31      1      19.826       4.399      21.285       0.000       0.000       0.000      37.221      -8.289      -0.307
   32      1      21.290       4.465      22.376       0.000       0.000       0.000      39.867      -8.264      -0.306
   33      1      24.949       4.483      20.445       0.000       0.000       0.000      41.623      -8.254      -0.306
   34      1      25.011       5.342      15.005       0.000       0.000       0.000      37.114      -8.245      -0.305
   35      1      23.259       3.781      15.154       0.000       0.000       0.000      33.969      -8.225      -0.305
   36      1      23.668       3.681      15.255       0.000       0.000       0.000      34.392      -8.212      -0.304
   37      1      21.537       4.699      21.779       0.000       0.000       0.000      39.811      -8.205      -0.304
   38      1      23.973       3.694      14.599       0.000       0.000       0.000      34.073      -8.192      -0.303
   39      1      23.939       3.719      14.638       0.000       0.000       0.000      34.110      -8.187      -0.303
   40      1      24.854       3.812      16.714       0.000       0.000       0.000      37.196      -8.184      -0.303
   41      1      20.170       4.327      20.953       0.000       0.000       0.000      37.270      -8.179      -0.303
   42      1      23.753       3.764      14.842       0.000       0.000       0.000      34.181      -8.179      -0.303
   43      1      20.120       4.624      18.085       0.000       0.000       0.000      34.673      -8.155      -0.302
   44      1      20.015       4.420      21.166       0.000       0.000       0.000      37.447      -8.154      -0.302
   45      1      26.046       4.977      16.716       0.000       0.000       0.000      39.599      -8.140      -0.301
   46      1      23.215       3.804      15.227       0.000       0.000       0.000      34.116      -8.130      -0.301
   47      1      19.828       4.892      17.808       0.000       0.000       0.000      34.399      -8.129      -0.301
   48      1      21.078       4.721      16.830       0.000       0.000       0.000      34.500      -8.128      -0.301
   49      1      20.242       4.343      20.850       0.000       0.000       0.000      37.318      -8.116      -0.301
   50      1      23.583       3.728      14.976       0.000       0.000       0.000      34.172      -8.114      -0.301
