  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.470       4.923      16.259       0.000       0.000       0.000      40.274      -9.379      -0.335
    2      1      31.425       5.038      17.315       0.000       0.000       0.000      44.522      -9.256      -0.331
    3      1      22.954       5.097      18.361       0.000       0.000       0.000      37.232      -9.180      -0.328
    4      1      30.234       6.363      17.961       0.000       0.000       0.000      45.486      -9.073      -0.324
    5      1      23.742       4.865      21.880       0.000       0.000       0.000      41.699      -8.788      -0.314
    6      1      28.877       6.039      14.962       0.000       0.000       0.000      41.109      -8.770      -0.313
    7      1      28.205       4.938      16.419       0.000       0.000       0.000      40.837      -8.725      -0.312
    8      1      26.218       4.801      17.100       0.000       0.000       0.000      39.420      -8.700      -0.311
    9      1      31.924       6.287      18.157       0.000       0.000       0.000      47.709      -8.660      -0.309
   10      1      30.127       6.327      18.691       0.000       0.000       0.000      46.504      -8.641      -0.309
   11      1      29.694       4.237      15.012       0.000       0.000       0.000      40.434      -8.509      -0.304
   12      1      26.321       3.842      14.593       0.000       0.000       0.000      36.251      -8.505      -0.304
   13      1      25.572       5.193      18.323       0.000       0.000       0.000      40.599      -8.489      -0.303
   14      1      23.234       5.520      22.105       0.000       0.000       0.000      42.396      -8.463      -0.302
   15      1      22.675       4.516      20.431       0.000       0.000       0.000      39.206      -8.416      -0.301
   16      1      26.939       4.300      15.957       0.000       0.000       0.000      38.786      -8.410      -0.300
   17      1      29.389       4.299      15.037       0.000       0.000       0.000      40.317      -8.408      -0.300
   18      1      24.938       4.499      18.804       0.000       0.000       0.000      39.834      -8.407      -0.300
   19      1      29.409       5.544      14.998       0.000       0.000       0.000      41.567      -8.384      -0.299
   20      1      24.681       3.753      23.778       0.000       0.000       0.000      43.831      -8.381      -0.299
   21      1      25.955       3.883      14.897       0.000       0.000       0.000      36.373      -8.361      -0.299
   22      1      29.030       5.426      15.161       0.000       0.000       0.000      41.269      -8.347      -0.298
   23      1      22.166       4.565      20.437       0.000       0.000       0.000      38.828      -8.341      -0.298
   24      1      28.176       5.096      18.059       0.000       0.000       0.000      43.003      -8.328      -0.297
   25      1      26.812       3.903      15.035       0.000       0.000       0.000      37.423      -8.327      -0.297
   26      1      21.737       4.916      17.256       0.000       0.000       0.000      35.588      -8.321      -0.297
   27      1      22.008       5.064      17.989       0.000       0.000       0.000      36.746      -8.315      -0.297
   28      1      26.243       3.829      14.697       0.000       0.000       0.000      36.465      -8.304      -0.297
   29      1      22.211       4.467      20.545       0.000       0.000       0.000      38.926      -8.297      -0.296
   30      1      21.988       3.784      24.028       0.000       0.000       0.000      41.518      -8.282      -0.296
   31      1      30.081       4.106      14.998       0.000       0.000       0.000      40.926      -8.259      -0.295
   32      1      28.171       4.066      15.537       0.000       0.000       0.000      39.534      -8.241      -0.294
   33      1      29.519       5.434      14.706       0.000       0.000       0.000      41.454      -8.204      -0.293
   34      1      24.100       4.874      17.291       0.000       0.000       0.000      38.077      -8.188      -0.292
   35      1      27.775       3.895      15.226       0.000       0.000       0.000      38.713      -8.183      -0.292
   36      1      22.133       4.605      20.118       0.000       0.000       0.000      38.679      -8.177      -0.292
   37      1      27.862       4.192      14.670       0.000       0.000       0.000      38.563      -8.160      -0.291
   38      1      27.989       3.862      14.810       0.000       0.000       0.000      38.504      -8.157      -0.291
   39      1      29.365       5.424      14.789       0.000       0.000       0.000      41.424      -8.154      -0.291
   40      1      28.097       3.877      14.790       0.000       0.000       0.000      38.619      -8.145      -0.291
   41      1      27.514       4.476      15.061       0.000       0.000       0.000      38.975      -8.076      -0.288
   42      1      26.773       4.239      22.156       0.000       0.000       0.000      45.103      -8.065      -0.288
   43      1      27.847       3.802      15.190       0.000       0.000       0.000      38.788      -8.051      -0.288
   44      1      26.411       4.787      16.897       0.000       0.000       0.000      40.076      -8.018      -0.286
   45      1      24.461       4.793      16.992       0.000       0.000       0.000      38.236      -8.010      -0.286
   46      1      24.403       5.028      17.030       0.000       0.000       0.000      38.452      -8.009      -0.286
   47      1      28.214       3.821      14.834       0.000       0.000       0.000      38.873      -7.996      -0.286
   48      1      26.935       5.053      18.917       0.000       0.000       0.000      42.919      -7.985      -0.285
   49      1      26.343       4.471      16.721       0.000       0.000       0.000      39.560      -7.974      -0.285
   50      1      31.355       6.154      18.751       0.000       0.000       0.000      48.291      -7.969      -0.285
