  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.072       5.090      27.567       0.000       0.000       0.000      52.171      -8.558      -0.317
    2      1      28.434       5.781      27.356       0.000       0.000       0.000      53.252      -8.320      -0.308
    3      1      32.971       6.144      26.235       0.000       0.000       0.000      57.036      -8.315      -0.308
    4      1      35.100       5.545      20.287       0.000       0.000       0.000      52.658      -8.274      -0.306
    5      1      26.199       3.583      30.779       0.000       0.000       0.000      52.407      -8.154      -0.302
    6      1      27.987       5.554      27.343       0.000       0.000       0.000      52.760      -8.123      -0.301
    7      1      36.005       4.329      18.364       0.000       0.000       0.000      50.585      -8.113      -0.300
    8      1      33.505       5.016      21.360       0.000       0.000       0.000      51.784      -8.096      -0.300
    9      1      28.256       5.456      27.121       0.000       0.000       0.000      52.738      -8.096      -0.300
   10      1      28.724       5.670      27.929       0.000       0.000       0.000      54.248      -8.075      -0.299
   11      1      33.355       4.375      21.189       0.000       0.000       0.000      50.845      -8.075      -0.299
   12      1      26.508       3.499      30.541       0.000       0.000       0.000      52.491      -8.057      -0.298
   13      1      26.002       4.280      30.962       0.000       0.000       0.000      53.205      -8.038      -0.298
   14      1      33.801       4.520      20.620       0.000       0.000       0.000      50.937      -8.004      -0.296
   15      1      27.415       5.522      28.026       0.000       0.000       0.000      52.990      -7.972      -0.295
   16      1      37.039       6.153      23.546       0.000       0.000       0.000      58.793      -7.945      -0.294
   17      1      34.584       6.230      25.737       0.000       0.000       0.000      58.655      -7.897      -0.292
   18      1      32.429       4.458      27.134       0.000       0.000       0.000      56.134      -7.888      -0.292
   19      1      32.325       5.264      29.228       0.000       0.000       0.000      58.951      -7.865      -0.291
   20      1      33.710       4.858      21.226       0.000       0.000       0.000      51.950      -7.845      -0.291
   21      1      29.419       4.932      26.790       0.000       0.000       0.000      53.330      -7.810      -0.289
   22      1      34.325       5.205      20.322       0.000       0.000       0.000      52.044      -7.807      -0.289
   23      1      34.316       5.381      20.344       0.000       0.000       0.000      52.236      -7.806      -0.289
   24      1      29.845       5.873      27.335       0.000       0.000       0.000      55.269      -7.785      -0.288
   25      1      33.806       4.374      20.864       0.000       0.000       0.000      51.263      -7.781      -0.288
   26      1      34.733       4.833      20.555       0.000       0.000       0.000      52.349      -7.773      -0.288
   27      1      30.205       5.724      24.763       0.000       0.000       0.000      52.961      -7.731      -0.286
   28      1      30.264       5.847      27.096       0.000       0.000       0.000      55.477      -7.730      -0.286
   29      1      27.181       5.519      28.189       0.000       0.000       0.000      53.182      -7.708      -0.285
   30      1      31.974       4.478      22.444       0.000       0.000       0.000      51.189      -7.707      -0.285
   31      1      34.651       4.850      20.629       0.000       0.000       0.000      52.426      -7.704      -0.285
   32      1      33.098       4.724      20.413       0.000       0.000       0.000      50.549      -7.686      -0.285
   33      1      33.267       4.795      20.081       0.000       0.000       0.000      50.459      -7.684      -0.285
   34      1      28.395       4.224      30.784       0.000       0.000       0.000      55.736      -7.667      -0.284
   35      1      25.952       4.126      31.060       0.000       0.000       0.000      53.493      -7.646      -0.283
   36      1      32.964       6.427      22.269       0.000       0.000       0.000      54.021      -7.639      -0.283
   37      1      28.064       5.094      27.600       0.000       0.000       0.000      53.121      -7.637      -0.283
   38      1      34.625       4.351      18.429       0.000       0.000       0.000      49.782      -7.622      -0.282
   39      1      25.847       4.442      26.994       0.000       0.000       0.000      49.671      -7.612      -0.282
   40      1      36.732       4.993      20.889       0.000       0.000       0.000      55.003      -7.610      -0.282
   41      1      37.273       6.124      23.318       0.000       0.000       0.000      59.106      -7.610      -0.282
   42      1      33.664       5.841      26.607       0.000       0.000       0.000      58.513      -7.599      -0.281
   43      1      34.592       5.626      20.558       0.000       0.000       0.000      53.179      -7.597      -0.281
   44      1      32.715       4.373      21.729       0.000       0.000       0.000      51.223      -7.594      -0.281
   45      1      32.990       5.094      21.819       0.000       0.000       0.000      52.320      -7.583      -0.281
   46      1      34.467       4.863      20.816       0.000       0.000       0.000      52.571      -7.575      -0.281
   47      1      33.467       5.794      28.559       0.000       0.000       0.000      60.247      -7.573      -0.280
   48      1      33.945       4.159      18.229       0.000       0.000       0.000      48.765      -7.569      -0.280
   49      1      32.706       6.445      22.538       0.000       0.000       0.000      54.122      -7.566      -0.280
   50      1      33.354       5.148      22.070       0.000       0.000       0.000      53.006      -7.566      -0.280
