  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.339       3.112      16.516       0.000       0.000       0.000      33.185     -10.781      -0.385
    2      1      26.701       3.362      15.206       0.000       0.000       0.000      34.525     -10.745      -0.384
    3      1      24.800       3.451      15.943       0.000       0.000       0.000      33.608     -10.586      -0.378
    4      1      24.526       6.071      21.847       0.000       0.000       0.000      41.864     -10.579      -0.378
    5      1      26.135       3.364      15.723       0.000       0.000       0.000      34.740     -10.482      -0.374
    6      1      23.473       3.549      16.865       0.000       0.000       0.000      33.420     -10.468      -0.374
    7      1      24.780       3.138      15.885       0.000       0.000       0.000      33.373     -10.429      -0.372
    8      1      25.553       3.449      16.675       0.000       0.000       0.000      35.274     -10.403      -0.372
    9      1      24.329       5.924      22.760       0.000       0.000       0.000      42.641     -10.371      -0.370
   10      1      24.833       3.133      15.916       0.000       0.000       0.000      33.526     -10.356      -0.370
   11      1      24.450       3.522      16.067       0.000       0.000       0.000      33.711     -10.327      -0.369
   12      1      23.916       3.316      16.162       0.000       0.000       0.000      33.078     -10.316      -0.368
   13      1      27.975       4.420      17.995       0.000       0.000       0.000      40.091     -10.300      -0.368
   14      1      26.839       5.224      20.741       0.000       0.000       0.000      42.505     -10.299      -0.368
   15      1      23.998       3.234      16.710       0.000       0.000       0.000      33.662     -10.280      -0.367
   16      1      24.355       3.211      16.229       0.000       0.000       0.000      33.582     -10.213      -0.365
   17      1      24.071       6.305      22.476       0.000       0.000       0.000      42.653     -10.199      -0.364
   18      1      25.022       3.067      15.710       0.000       0.000       0.000      33.611     -10.187      -0.364
   19      1      23.654       5.331      18.058       0.000       0.000       0.000      36.894     -10.150      -0.362
   20      1      23.227       3.226      16.677       0.000       0.000       0.000      32.990     -10.140      -0.362
   21      1      22.885       4.994      21.114       0.000       0.000       0.000      38.875     -10.118      -0.361
   22      1      22.172       4.924      22.176       0.000       0.000       0.000      39.160     -10.113      -0.361
   23      1      24.545       6.845      21.950       0.000       0.000       0.000      43.257     -10.084      -0.360
   24      1      24.459       3.558      16.129       0.000       0.000       0.000      34.070     -10.077      -0.360
   25      1      24.476       3.557      16.084       0.000       0.000       0.000      34.043     -10.075      -0.360
   26      1      23.420       3.392      16.941       0.000       0.000       0.000      33.705     -10.048      -0.359
   27      1      25.786       2.918      16.639       0.000       0.000       0.000      35.328     -10.014      -0.358
   28      1      26.577       3.403      15.407       0.000       0.000       0.000      35.395      -9.993      -0.357
   29      1      24.523       3.142      16.080       0.000       0.000       0.000      33.778      -9.967      -0.356
   30      1      24.966       3.212      15.812       0.000       0.000       0.000      34.029      -9.961      -0.356
   31      1      24.580       3.117      16.072       0.000       0.000       0.000      33.836      -9.933      -0.355
   32      1      24.907       5.833      22.252       0.000       0.000       0.000      43.095      -9.898      -0.353
   33      1      24.855       5.332      18.594       0.000       0.000       0.000      38.902      -9.879      -0.353
   34      1      25.572       5.010      17.614       0.000       0.000       0.000      38.336      -9.860      -0.352
   35      1      26.329       3.384      15.630       0.000       0.000       0.000      35.560      -9.784      -0.349
   36      1      26.740       5.251      20.650       0.000       0.000       0.000      42.903      -9.738      -0.348
   37      1      27.372       4.667      17.337       0.000       0.000       0.000      39.648      -9.728      -0.347
   38      1      26.188       3.392      16.247       0.000       0.000       0.000      36.136      -9.690      -0.346
   39      1      22.625       5.522      18.095       0.000       0.000       0.000      36.560      -9.682      -0.346
   40      1      24.524       3.197      16.045       0.000       0.000       0.000      34.091      -9.675      -0.346
   41      1      23.103       5.294      25.010       0.000       0.000       0.000      43.738      -9.669      -0.345
   42      1      22.180       4.827      21.910       0.000       0.000       0.000      39.274      -9.643      -0.344
   43      1      26.339       5.474      18.620       0.000       0.000       0.000      40.793      -9.640      -0.344
   44      1      23.166       3.537      16.805       0.000       0.000       0.000      33.893      -9.614      -0.343
   45      1      25.630       4.835      18.407       0.000       0.000       0.000      39.261      -9.611      -0.343
   46      1      23.302       3.550      16.643       0.000       0.000       0.000      33.925      -9.569      -0.342
   47      1      25.276       3.525      15.395       0.000       0.000       0.000      34.663      -9.533      -0.340
   48      1      25.362       4.548      20.595       0.000       0.000       0.000      41.006      -9.500      -0.339
   49      1      27.807       4.590      17.349       0.000       0.000       0.000      40.251      -9.495      -0.339
   50      1      24.501       3.428      16.291       0.000       0.000       0.000      34.731      -9.489      -0.339
