  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.471       5.513      21.284       0.000       0.000       0.000      46.463      -8.805      -0.314
    2      1      32.389       6.798      23.933       0.000       0.000       0.000      54.336      -8.784      -0.314
    3      1      32.040       6.819      24.183       0.000       0.000       0.000      54.267      -8.775      -0.313
    4      1      28.456       7.453      29.027       0.000       0.000       0.000      56.170      -8.765      -0.313
    5      1      28.401       5.460      21.430       0.000       0.000       0.000      46.556      -8.735      -0.312
    6      1      28.024       5.456      21.759       0.000       0.000       0.000      46.509      -8.731      -0.312
    7      1      27.901       5.454      21.903       0.000       0.000       0.000      46.527      -8.731      -0.312
    8      1      29.810       6.919      26.377       0.000       0.000       0.000      54.397      -8.709      -0.311
    9      1      27.867       6.186      33.091       0.000       0.000       0.000      58.439      -8.705      -0.311
   10      1      28.201       5.443      21.574       0.000       0.000       0.000      46.566      -8.652      -0.309
   11      1      28.087       5.458      21.617       0.000       0.000       0.000      46.511      -8.651      -0.309
   12      1      28.561       5.489      21.225       0.000       0.000       0.000      46.631      -8.644      -0.309
   13      1      28.200       5.472      21.515       0.000       0.000       0.000      46.551      -8.635      -0.308
   14      1      28.271       5.507      21.421       0.000       0.000       0.000      46.570      -8.628      -0.308
   15      1      30.257       6.916      22.786       0.000       0.000       0.000      51.365      -8.594      -0.307
   16      1      28.209       5.422      21.618       0.000       0.000       0.000      46.658      -8.592      -0.307
   17      1      27.755       5.482      22.059       0.000       0.000       0.000      46.708      -8.588      -0.307
   18      1      27.860       5.493      21.818       0.000       0.000       0.000      46.590      -8.581      -0.306
   19      1      27.935       5.431      21.889       0.000       0.000       0.000      46.674      -8.581      -0.306
   20      1      28.136       5.620      21.933       0.000       0.000       0.000      47.126      -8.564      -0.306
   21      1      28.229       5.458      21.457       0.000       0.000       0.000      46.590      -8.554      -0.306
   22      1      25.770       6.908      25.365       0.000       0.000       0.000      49.507      -8.537      -0.305
   23      1      28.008       5.525      22.049       0.000       0.000       0.000      47.065      -8.517      -0.304
   24      1      28.457       5.468      21.301       0.000       0.000       0.000      46.722      -8.504      -0.304
   25      1      28.034       5.563      21.999       0.000       0.000       0.000      47.092      -8.504      -0.304
   26      1      27.933       5.585      22.285       0.000       0.000       0.000      47.304      -8.500      -0.304
   27      1      27.351       5.502      22.614       0.000       0.000       0.000      46.969      -8.498      -0.304
   28      1      27.616       5.471      22.474       0.000       0.000       0.000      47.090      -8.471      -0.303
   29      1      27.295       6.956      25.122       0.000       0.000       0.000      50.933      -8.440      -0.301
   30      1      28.249       7.378      29.394       0.000       0.000       0.000      56.665      -8.355      -0.298
   31      1      30.425       6.831      22.686       0.000       0.000       0.000      51.589      -8.353      -0.298
   32      1      26.599       6.793      24.624       0.000       0.000       0.000      49.664      -8.352      -0.298
   33      1      28.437       5.448      21.356       0.000       0.000       0.000      46.959      -8.282      -0.296
   34      1      27.467       5.470      22.618       0.000       0.000       0.000      47.280      -8.275      -0.296
   35      1      26.883       6.584      24.488       0.000       0.000       0.000      49.687      -8.268      -0.295
   36      1      27.914       6.624      24.093       0.000       0.000       0.000      50.373      -8.258      -0.295
   37      1      31.769       6.922      24.445       0.000       0.000       0.000      54.892      -8.243      -0.294
   38      1      27.493       5.503      22.564       0.000       0.000       0.000      47.344      -8.215      -0.293
   39      1      33.545       7.649      26.122       0.000       0.000       0.000      59.126      -8.189      -0.292
   40      1      30.328       5.887      21.329       0.000       0.000       0.000      49.357      -8.188      -0.292
   41      1      27.069       7.444      25.831       0.000       0.000       0.000      52.163      -8.182      -0.292
   42      1      29.033       7.077      24.129       0.000       0.000       0.000      52.075      -8.165      -0.292
   43      1      27.784       5.479      22.093       0.000       0.000       0.000      47.256      -8.100      -0.289
   44      1      31.450       5.815      21.335       0.000       0.000       0.000      50.503      -8.096      -0.289
   45      1      29.785       5.652      21.618       0.000       0.000       0.000      48.966      -8.088      -0.289
   46      1      30.804       6.395      28.445       0.000       0.000       0.000      57.555      -8.088      -0.289
   47      1      28.764       6.816      22.845       0.000       0.000       0.000      50.348      -8.076      -0.288
   48      1      28.198       6.235      27.124       0.000       0.000       0.000      53.482      -8.074      -0.288
   49      1      28.642       5.855      32.226       0.000       0.000       0.000      58.653      -8.070      -0.288
   50      1      27.977       6.221      27.373       0.000       0.000       0.000      53.512      -8.059      -0.288
