  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      27.664       6.332      18.135       0.000       0.000       0.000      43.122      -9.009      -0.334
    2      1      23.876       4.963      17.676       0.000       0.000       0.000      37.560      -8.955      -0.332
    3      1      21.153       4.594      22.332       0.000       0.000       0.000      39.166      -8.913      -0.330
    4      1      25.499       4.118      14.670       0.000       0.000       0.000      35.518      -8.769      -0.325
    5      1      20.107       4.678      17.856       0.000       0.000       0.000      34.031      -8.609      -0.319
    6      1      26.070       3.927      14.718       0.000       0.000       0.000      36.110      -8.605      -0.319
    7      1      24.010       3.691      14.700       0.000       0.000       0.000      33.816      -8.585      -0.318
    8      1      23.940       3.653      14.898       0.000       0.000       0.000      33.908      -8.583      -0.318
    9      1      19.387       4.997      18.094       0.000       0.000       0.000      33.925      -8.552      -0.317
   10      1      24.535       3.612      14.461       0.000       0.000       0.000      34.072      -8.535      -0.316
   11      1      28.998       5.958      17.585       0.000       0.000       0.000      44.026      -8.515      -0.315
   12      1      19.796       4.877      17.958       0.000       0.000       0.000      34.160      -8.472      -0.314
   13      1      25.182       5.317      14.871       0.000       0.000       0.000      36.922      -8.449      -0.313
   14      1      25.149       5.186      15.672       0.000       0.000       0.000      37.565      -8.442      -0.313
   15      1      22.692       4.375      18.913       0.000       0.000       0.000      37.551      -8.429      -0.312
   16      1      20.306       4.574      17.811       0.000       0.000       0.000      34.274      -8.417      -0.312
   17      1      24.151       3.770      14.347       0.000       0.000       0.000      33.853      -8.415      -0.312
   18      1      25.372       4.673      18.666       0.000       0.000       0.000      40.306      -8.404      -0.311
   19      1      25.090       5.299      14.983       0.000       0.000       0.000      36.974      -8.399      -0.311
   20      1      24.923       4.491      24.363       0.000       0.000       0.000      45.389      -8.389      -0.311
   21      1      24.137       3.690      14.584       0.000       0.000       0.000      34.044      -8.367      -0.310
   22      1      24.632       5.869      14.967       0.000       0.000       0.000      37.107      -8.361      -0.310
   23      1      21.616       6.084      17.666       0.000       0.000       0.000      37.014      -8.351      -0.309
   24      1      26.734       5.957      21.038       0.000       0.000       0.000      45.379      -8.350      -0.309
   25      1      23.710       3.702      14.823       0.000       0.000       0.000      33.890      -8.346      -0.309
   26      1      26.231       5.076      24.053       0.000       0.000       0.000      47.015      -8.346      -0.309
   27      1      25.089       5.336      14.911       0.000       0.000       0.000      36.993      -8.343      -0.309
   28      1      23.652       3.706      14.946       0.000       0.000       0.000      33.967      -8.337      -0.309
   29      1      21.985       4.812      21.191       0.000       0.000       0.000      39.667      -8.321      -0.308
   30      1      28.821       5.916      24.717       0.000       0.000       0.000      51.139      -8.314      -0.308
   31      1      21.278       5.051      18.262       0.000       0.000       0.000      36.286      -8.305      -0.308
   32      1      27.818       5.533      21.395       0.000       0.000       0.000      46.443      -8.302      -0.307
   33      1      24.706       4.466      24.571       0.000       0.000       0.000      45.447      -8.296      -0.307
   34      1      25.582       5.353      15.235       0.000       0.000       0.000      37.899      -8.271      -0.306
   35      1      19.769       4.852      17.656       0.000       0.000       0.000      34.019      -8.258      -0.306
   36      1      20.255       4.650      17.825       0.000       0.000       0.000      34.482      -8.248      -0.305
   37      1      23.384       3.769      15.270       0.000       0.000       0.000      34.227      -8.196      -0.304
   38      1      23.217       3.820      15.416       0.000       0.000       0.000      34.265      -8.187      -0.303
   39      1      24.334       3.698      14.298       0.000       0.000       0.000      34.149      -8.182      -0.303
   40      1      23.245       3.818      15.272       0.000       0.000       0.000      34.165      -8.170      -0.303
   41      1      23.684       3.676      14.886       0.000       0.000       0.000      34.077      -8.169      -0.303
   42      1      21.621       4.613      19.825       0.000       0.000       0.000      37.925      -8.134      -0.301
   43      1      20.113       4.829      17.272       0.000       0.000       0.000      34.080      -8.134      -0.301
   44      1      21.306       5.057      18.262       0.000       0.000       0.000      36.504      -8.120      -0.301
   45      1      22.437       6.046      16.790       0.000       0.000       0.000      37.187      -8.086      -0.299
   46      1      22.068       6.043      17.081       0.000       0.000       0.000      37.108      -8.083      -0.299
   47      1      22.633       6.213      16.767       0.000       0.000       0.000      37.547      -8.066      -0.299
   48      1      23.362       3.668      15.290       0.000       0.000       0.000      34.258      -8.061      -0.299
   49      1      23.257       4.993      17.600       0.000       0.000       0.000      37.794      -8.056      -0.298
   50      1      23.785       3.726      14.716       0.000       0.000       0.000      34.197      -8.031      -0.297
