  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      26.414       3.274      19.958       0.000       0.000       0.000      40.744      -8.901      -0.330
    2      1      29.559       4.731      20.484       0.000       0.000       0.000      46.043      -8.731      -0.323
    3      1      22.252       1.524      25.600       0.000       0.000       0.000      40.659      -8.716      -0.323
    4      1      25.289       2.354      19.912       0.000       0.000       0.000      38.971      -8.584      -0.318
    5      1      26.835       3.354      19.405       0.000       0.000       0.000      41.029      -8.564      -0.317
    6      1      27.478       2.570      16.139       0.000       0.000       0.000      37.695      -8.492      -0.315
    7      1      21.721       3.276      19.308       0.000       0.000       0.000      35.870      -8.436      -0.312
    8      1      27.134       2.614      16.414       0.000       0.000       0.000      37.762      -8.399      -0.311
    9      1      21.560       3.358      19.443       0.000       0.000       0.000      35.963      -8.398      -0.311
   10      1      25.781       2.314      17.162       0.000       0.000       0.000      36.865      -8.392      -0.311
   11      1      23.889       4.376      18.649       0.000       0.000       0.000      38.546      -8.368      -0.310
   12      1      25.385       3.565      19.706       0.000       0.000       0.000      40.336      -8.321      -0.308
   13      1      25.559       2.268      16.721       0.000       0.000       0.000      36.307      -8.240      -0.305
   14      1      26.274       2.249      16.164       0.000       0.000       0.000      36.463      -8.223      -0.305
   15      1      21.705       3.318      19.060       0.000       0.000       0.000      35.869      -8.213      -0.304
   16      1      25.781       2.258      16.562       0.000       0.000       0.000      36.450      -8.151      -0.302
   17      1      26.243       2.230      16.134       0.000       0.000       0.000      36.456      -8.151      -0.302
   18      1      25.597       3.341      18.400       0.000       0.000       0.000      39.216      -8.122      -0.301
   19      1      24.712       2.948      20.328       0.000       0.000       0.000      39.879      -8.109      -0.300
   20      1      25.192       3.787      20.200       0.000       0.000       0.000      41.071      -8.109      -0.300
   21      1      27.513       2.544      16.613       0.000       0.000       0.000      38.578      -8.091      -0.300
   22      1      28.777       3.624      18.285       0.000       0.000       0.000      42.602      -8.084      -0.299
   23      1      25.650       2.319      16.694       0.000       0.000       0.000      36.586      -8.077      -0.299
   24      1      26.434       2.236      16.036       0.000       0.000       0.000      36.647      -8.059      -0.298
   25      1      25.298       2.807      20.018       0.000       0.000       0.000      40.065      -8.059      -0.298
   26      1      25.828       3.196      18.453       0.000       0.000       0.000      39.426      -8.052      -0.298
   27      1      21.340       3.429      19.334       0.000       0.000       0.000      36.060      -8.042      -0.298
   28      1      25.899       2.230      16.434       0.000       0.000       0.000      36.539      -8.025      -0.297
   29      1      21.844       2.903      22.164       0.000       0.000       0.000      38.890      -8.020      -0.297
   30      1      25.602       2.299      16.719       0.000       0.000       0.000      36.609      -8.012      -0.297
   31      1      25.974       2.253      16.419       0.000       0.000       0.000      36.662      -7.984      -0.296
   32      1      26.472       3.288      17.671       0.000       0.000       0.000      39.469      -7.963      -0.295
   33      1      23.878       3.240      21.403       0.000       0.000       0.000      40.568      -7.952      -0.295
   34      1      22.220       2.880      22.398       0.000       0.000       0.000      39.559      -7.940      -0.294
   35      1      26.076       2.219      16.290       0.000       0.000       0.000      36.647      -7.938      -0.294
   36      1      25.215       2.245      16.967       0.000       0.000       0.000      36.526      -7.901      -0.293
   37      1      25.035       3.991      19.418       0.000       0.000       0.000      40.575      -7.870      -0.291
   38      1      26.088       2.222      16.288       0.000       0.000       0.000      36.729      -7.868      -0.291
   39      1      22.387       3.759      24.869       0.000       0.000       0.000      43.161      -7.853      -0.291
   40      1      21.893       2.810      22.210       0.000       0.000       0.000      39.065      -7.847      -0.291
   41      1      25.870       2.255      16.430       0.000       0.000       0.000      36.736      -7.819      -0.290
   42      1      27.203       2.796      16.552       0.000       0.000       0.000      38.741      -7.811      -0.289
   43      1      25.180       2.835      19.950       0.000       0.000       0.000      40.158      -7.808      -0.289
   44      1      26.293       2.220      16.100       0.000       0.000       0.000      36.809      -7.804      -0.289
   45      1      25.876       3.299      18.187       0.000       0.000       0.000      39.590      -7.772      -0.288
   46      1      28.006       2.574      16.444       0.000       0.000       0.000      39.252      -7.772      -0.288
   47      1      27.044       3.880      16.579       0.000       0.000       0.000      39.740      -7.764      -0.288
   48      1      24.749       2.523      17.862       0.000       0.000       0.000      37.379      -7.755      -0.287
   49      1      27.820       2.440      16.022       0.000       0.000       0.000      38.530      -7.752      -0.287
   50      1      26.345       4.426      16.648       0.000       0.000       0.000      39.676      -7.744      -0.287
