  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.985       4.679      17.326       0.000       0.000       0.000      37.946      -9.044      -0.335
    2      1      20.682       4.609      18.551       0.000       0.000       0.000      34.913      -8.928      -0.331
    3      1      24.172       4.564      18.694       0.000       0.000       0.000      38.532      -8.898      -0.330
    4      1      21.174       4.516      18.012       0.000       0.000       0.000      34.814      -8.888      -0.329
    5      1      24.215       5.632      21.615       0.000       0.000       0.000      42.675      -8.788      -0.325
    6      1      24.500       3.594      15.436       0.000       0.000       0.000      34.844      -8.686      -0.322
    7      1      24.193       5.974      21.796       0.000       0.000       0.000      43.289      -8.674      -0.321
    8      1      24.981       3.563      15.828       0.000       0.000       0.000      35.854      -8.517      -0.315
    9      1      24.914       3.627      15.728       0.000       0.000       0.000      35.784      -8.485      -0.314
   10      1      23.529       3.444      16.163       0.000       0.000       0.000      34.709      -8.427      -0.312
   11      1      24.498       3.535      15.935       0.000       0.000       0.000      35.542      -8.425      -0.312
   12      1      23.552       6.464      18.265       0.000       0.000       0.000      39.872      -8.409      -0.311
   13      1      24.980       3.529      14.973       0.000       0.000       0.000      35.111      -8.371      -0.310
   14      1      24.379       3.600      15.481       0.000       0.000       0.000      35.100      -8.359      -0.310
   15      1      22.802       4.480      20.224       0.000       0.000       0.000      39.186      -8.320      -0.308
   16      1      24.359       3.573      15.420       0.000       0.000       0.000      35.037      -8.315      -0.308
   17      1      23.426       5.398      24.409       0.000       0.000       0.000      44.927      -8.307      -0.308
   18      1      26.081       3.754      15.273       0.000       0.000       0.000      36.815      -8.292      -0.307
   19      1      21.758       4.377      17.200       0.000       0.000       0.000      35.048      -8.287      -0.307
   20      1      24.581       5.886      21.959       0.000       0.000       0.000      44.143      -8.283      -0.307
   21      1      22.917       4.470      20.158       0.000       0.000       0.000      39.263      -8.282      -0.307
   22      1      21.603       4.461      17.085       0.000       0.000       0.000      34.868      -8.282      -0.307
   23      1      24.519       3.500      15.730       0.000       0.000       0.000      35.476      -8.272      -0.306
   24      1      24.357       3.545      15.727       0.000       0.000       0.000      35.360      -8.269      -0.306
   25      1      24.801       3.604      14.986       0.000       0.000       0.000      35.134      -8.256      -0.306
   26      1      23.402       4.523      17.295       0.000       0.000       0.000      36.967      -8.253      -0.306
   27      1      23.596       3.601      15.808       0.000       0.000       0.000      34.755      -8.250      -0.306
   28      1      21.586       4.462      17.173       0.000       0.000       0.000      34.989      -8.231      -0.305
   29      1      24.773       3.506      15.395       0.000       0.000       0.000      35.449      -8.226      -0.305
   30      1      22.896       4.422      19.986       0.000       0.000       0.000      39.080      -8.224      -0.305
   31      1      24.573       3.558      15.507       0.000       0.000       0.000      35.421      -8.217      -0.304
   32      1      24.450       3.549      15.382       0.000       0.000       0.000      35.166      -8.215      -0.304
   33      1      20.472       4.489      22.352       0.000       0.000       0.000      39.101      -8.212      -0.304
   34      1      21.161       4.548      18.048       0.000       0.000       0.000      35.583      -8.175      -0.303
   35      1      25.748       5.404      16.679       0.000       0.000       0.000      39.663      -8.168      -0.303
   36      1      22.732       4.465      20.443       0.000       0.000       0.000      39.474      -8.165      -0.302
   37      1      24.742       3.520      15.406       0.000       0.000       0.000      35.507      -8.161      -0.302
   38      1      24.655       3.553      15.241       0.000       0.000       0.000      35.289      -8.160      -0.302
   39      1      24.182       5.969      21.786       0.000       0.000       0.000      43.785      -8.151      -0.302
   40      1      23.393       3.525      16.054       0.000       0.000       0.000      34.835      -8.138      -0.301
   41      1      23.332       3.516      15.964       0.000       0.000       0.000      34.682      -8.130      -0.301
   42      1      24.655       3.499      15.542       0.000       0.000       0.000      35.569      -8.126      -0.301
   43      1      24.266       3.536      15.872       0.000       0.000       0.000      35.568      -8.106      -0.300
   44      1      24.754       3.554      15.577       0.000       0.000       0.000      35.784      -8.101      -0.300
   45      1      25.889       5.400      16.492       0.000       0.000       0.000      39.684      -8.097      -0.300
   46      1      24.836       3.627      15.772       0.000       0.000       0.000      36.140      -8.095      -0.300
   47      1      22.824       4.503      20.379       0.000       0.000       0.000      39.614      -8.093      -0.300
   48      1      21.257       4.717      21.405       0.000       0.000       0.000      39.291      -8.087      -0.300
   49      1      24.926       6.077      20.755       0.000       0.000       0.000      43.672      -8.086      -0.299
   50      1      24.723       3.530      15.406       0.000       0.000       0.000      35.573      -8.086      -0.299
