  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      21.886       4.706      17.086       0.000       0.000       0.000      34.230      -9.448      -0.350
    2      1      23.376       4.917      18.990       0.000       0.000       0.000      37.849      -9.434      -0.349
    3      1      21.382       4.739      17.333       0.000       0.000       0.000      34.041      -9.413      -0.349
    4      1      23.983       4.831      18.468       0.000       0.000       0.000      37.899      -9.383      -0.348
    5      1      24.292       4.856      18.104       0.000       0.000       0.000      38.037      -9.215      -0.341
    6      1      24.015       4.825      18.304       0.000       0.000       0.000      37.935      -9.209      -0.341
    7      1      21.296       4.702      17.531       0.000       0.000       0.000      34.334      -9.195      -0.341
    8      1      21.176       4.761      17.525       0.000       0.000       0.000      34.400      -9.062      -0.336
    9      1      24.065       5.939      21.821       0.000       0.000       0.000      42.764      -9.061      -0.336
   10      1      21.323       4.732      17.399       0.000       0.000       0.000      34.436      -9.019      -0.334
   11      1      21.621       4.725      17.172       0.000       0.000       0.000      34.522      -8.996      -0.333
   12      1      21.362       4.725      17.404       0.000       0.000       0.000      34.640      -8.851      -0.328
   13      1      23.803       5.925      22.029       0.000       0.000       0.000      42.931      -8.827      -0.327
   14      1      25.983       4.920      19.713       0.000       0.000       0.000      41.927      -8.689      -0.322
   15      1      21.655       4.694      17.042       0.000       0.000       0.000      34.734      -8.657      -0.321
   16      1      23.251       4.989      24.429       0.000       0.000       0.000      44.030      -8.639      -0.320
   17      1      23.236       4.976      24.435       0.000       0.000       0.000      44.080      -8.568      -0.317
   18      1      24.422       5.717      21.721       0.000       0.000       0.000      43.310      -8.550      -0.317
   19      1      24.200       3.719      15.627       0.000       0.000       0.000      35.025      -8.520      -0.316
   20      1      24.767       3.670      15.224       0.000       0.000       0.000      35.145      -8.516      -0.315
   21      1      24.589       3.752      15.195       0.000       0.000       0.000      35.025      -8.511      -0.315
   22      1      24.395       3.706      15.548       0.000       0.000       0.000      35.152      -8.496      -0.315
   23      1      24.545       3.709      15.367       0.000       0.000       0.000      35.146      -8.476      -0.314
   24      1      24.773       6.033      21.075       0.000       0.000       0.000      43.412      -8.468      -0.314
   25      1      26.336       6.166      17.068       0.000       0.000       0.000      41.111      -8.459      -0.313
   26      1      26.457       3.957      15.343       0.000       0.000       0.000      37.319      -8.437      -0.312
   27      1      24.651       3.660      15.319       0.000       0.000       0.000      35.198      -8.433      -0.312
   28      1      24.334       3.697      15.530       0.000       0.000       0.000      35.142      -8.420      -0.312
   29      1      24.478       3.697      15.460       0.000       0.000       0.000      35.221      -8.414      -0.312
   30      1      24.510       6.054      21.387       0.000       0.000       0.000      43.553      -8.397      -0.311
   31      1      24.664       3.759      15.153       0.000       0.000       0.000      35.203      -8.373      -0.310
   32      1      26.615       4.919      20.228       0.000       0.000       0.000      43.409      -8.353      -0.309
   33      1      24.391       3.701      15.488       0.000       0.000       0.000      35.239      -8.341      -0.309
   34      1      21.238       4.802      17.466       0.000       0.000       0.000      35.166      -8.339      -0.309
   35      1      23.264       4.654      19.150       0.000       0.000       0.000      38.737      -8.331      -0.309
   36      1      20.423       4.374      22.737       0.000       0.000       0.000      39.218      -8.316      -0.308
   37      1      23.207       4.641      19.077       0.000       0.000       0.000      38.614      -8.310      -0.308
   38      1      23.035       4.636      19.513       0.000       0.000       0.000      38.896      -8.287      -0.307
   39      1      23.480       4.676      19.060       0.000       0.000       0.000      38.933      -8.283      -0.307
   40      1      22.516       4.908      25.200       0.000       0.000       0.000      44.349      -8.275      -0.306
   41      1      24.347       5.990      21.156       0.000       0.000       0.000      43.219      -8.273      -0.306
   42      1      23.388       3.599      16.134       0.000       0.000       0.000      34.856      -8.265      -0.306
   43      1      24.347       3.717      15.440       0.000       0.000       0.000      35.248      -8.256      -0.306
   44      1      23.527       4.586      19.144       0.000       0.000       0.000      39.002      -8.255      -0.306
   45      1      24.279       3.678      15.575       0.000       0.000       0.000      35.307      -8.226      -0.305
   46      1      24.762       5.168      18.653       0.000       0.000       0.000      40.383      -8.200      -0.304
   47      1      22.086       5.715      17.549       0.000       0.000       0.000      37.160      -8.191      -0.303
   48      1      24.687       5.787      21.275       0.000       0.000       0.000      43.584      -8.165      -0.302
   49      1      24.386       6.292      22.126       0.000       0.000       0.000      44.665      -8.139      -0.301
   50      1      23.054       4.970      19.234       0.000       0.000       0.000      39.130      -8.128      -0.301
