  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      29.566       7.440      28.100       0.000       0.000       0.000      55.968      -9.138      -0.326
    2      1      28.023       6.259      32.827       0.000       0.000       0.000      58.100      -9.008      -0.322
    3      1      28.007       6.313      32.862       0.000       0.000       0.000      58.179      -9.003      -0.322
    4      1      28.605       7.463      28.872       0.000       0.000       0.000      55.963      -8.977      -0.321
    5      1      28.197       5.514      21.469       0.000       0.000       0.000      46.379      -8.802      -0.314
    6      1      28.159       5.588      21.625       0.000       0.000       0.000      46.588      -8.785      -0.314
    7      1      27.688       5.474      22.006       0.000       0.000       0.000      46.437      -8.731      -0.312
    8      1      28.258       5.400      21.637       0.000       0.000       0.000      46.582      -8.713      -0.311
    9      1      28.540       5.554      21.170       0.000       0.000       0.000      46.573      -8.691      -0.310
   10      1      28.329       5.432      21.488       0.000       0.000       0.000      46.586      -8.663      -0.309
   11      1      27.846       5.517      22.200       0.000       0.000       0.000      46.909      -8.654      -0.309
   12      1      27.885       5.422      21.973       0.000       0.000       0.000      46.626      -8.652      -0.309
   13      1      28.217       5.456      21.614       0.000       0.000       0.000      46.635      -8.652      -0.309
   14      1      31.996       6.811      24.307       0.000       0.000       0.000      54.549      -8.565      -0.306
   15      1      27.750       5.515      21.956       0.000       0.000       0.000      46.729      -8.492      -0.303
   16      1      30.327       7.693      28.233       0.000       0.000       0.000      57.774      -8.479      -0.303
   17      1      28.064       5.484      21.635       0.000       0.000       0.000      46.718      -8.465      -0.302
   18      1      27.276       5.441      22.593       0.000       0.000       0.000      46.848      -8.461      -0.302
   19      1      28.296       5.475      21.460       0.000       0.000       0.000      46.776      -8.455      -0.302
   20      1      26.857       6.451      26.015       0.000       0.000       0.000      50.896      -8.427      -0.301
   21      1      31.591       6.848      24.558       0.000       0.000       0.000      54.586      -8.411      -0.300
   22      1      26.778       6.817      24.578       0.000       0.000       0.000      49.790      -8.382      -0.299
   23      1      28.196       7.737      28.704       0.000       0.000       0.000      56.259      -8.378      -0.299
   24      1      27.571       5.525      22.447       0.000       0.000       0.000      47.231      -8.312      -0.297
   25      1      27.897       5.493      21.828       0.000       0.000       0.000      46.908      -8.310      -0.297
   26      1      31.018       5.913      21.509       0.000       0.000       0.000      50.133      -8.308      -0.297
   27      1      28.884       5.480      20.971       0.000       0.000       0.000      47.071      -8.264      -0.295
   28      1      28.986       7.067      24.286       0.000       0.000       0.000      52.085      -8.254      -0.295
   29      1      28.892       7.674      28.171       0.000       0.000       0.000      56.484      -8.253      -0.295
   30      1      28.022       6.420      32.324       0.000       0.000       0.000      58.547      -8.220      -0.294
   31      1      27.842       7.905      29.021       0.000       0.000       0.000      56.557      -8.210      -0.293
   32      1      29.213       6.539      25.982       0.000       0.000       0.000      53.527      -8.207      -0.293
   33      1      26.263       7.663      26.206       0.000       0.000       0.000      51.928      -8.205      -0.293
   34      1      26.658       7.605      25.858       0.000       0.000       0.000      51.921      -8.200      -0.293
   35      1      27.022       6.950      25.396       0.000       0.000       0.000      51.196      -8.172      -0.292
   36      1      28.431       7.379      29.196       0.000       0.000       0.000      56.837      -8.170      -0.292
   37      1      28.536       5.491      21.159       0.000       0.000       0.000      47.018      -8.167      -0.292
   38      1      26.289       6.801      24.867       0.000       0.000       0.000      49.797      -8.161      -0.291
   39      1      29.985       6.826      23.421       0.000       0.000       0.000      52.104      -8.129      -0.290
   40      1      29.856       5.729      21.514       0.000       0.000       0.000      48.988      -8.111      -0.290
   41      1      28.805       5.464      20.988       0.000       0.000       0.000      47.172      -8.085      -0.289
   42      1      27.708       5.454      22.105       0.000       0.000       0.000      47.185      -8.083      -0.289
   43      1      31.953       6.875      24.101       0.000       0.000       0.000      54.852      -8.076      -0.288
   44      1      29.599       5.792      21.806       0.000       0.000       0.000      49.130      -8.067      -0.288
   45      1      29.039       6.844      22.665       0.000       0.000       0.000      50.520      -8.028      -0.287
   46      1      28.706       5.452      21.083       0.000       0.000       0.000      47.214      -8.028      -0.287
   47      1      30.100       5.779      21.081       0.000       0.000       0.000      48.954      -8.005      -0.286
   48      1      28.099       6.811      23.599       0.000       0.000       0.000      50.515      -7.994      -0.286
   49      1      28.202       5.479      21.456       0.000       0.000       0.000      47.159      -7.978      -0.285
   50      1      28.193       5.469      21.522       0.000       0.000       0.000      47.206      -7.978      -0.285
