  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      30.732       6.724      19.421       0.000       0.000       0.000      48.506      -8.372      -0.279
    2      1      27.573       6.765      20.142       0.000       0.000       0.000      46.149      -8.331      -0.278
    3      1      32.400       7.847      20.263       0.000       0.000       0.000      52.319      -8.191      -0.273
    4      1      27.389       5.470      17.295       0.000       0.000       0.000      42.003      -8.151      -0.272
    5      1      25.570       7.949      18.860       0.000       0.000       0.000      44.232      -8.147      -0.272
    6      1      26.031       7.928      18.585       0.000       0.000       0.000      44.399      -8.145      -0.272
    7      1      31.081       6.724      19.081       0.000       0.000       0.000      48.756      -8.130      -0.271
    8      1      27.638       5.471      16.707       0.000       0.000       0.000      41.745      -8.072      -0.269
    9      1      27.601       5.512      16.808       0.000       0.000       0.000      41.922      -8.000      -0.267
   10      1      26.680       5.968      20.237       0.000       0.000       0.000      44.905      -7.980      -0.266
   11      1      27.538       5.502      16.666       0.000       0.000       0.000      41.728      -7.978      -0.266
   12      1      27.764       5.471      16.756       0.000       0.000       0.000      42.019      -7.971      -0.266
   13      1      27.609       5.533      16.644       0.000       0.000       0.000      41.854      -7.932      -0.264
   14      1      29.987       6.766      18.505       0.000       0.000       0.000      47.337      -7.921      -0.264
   15      1      25.350       6.213      21.850       0.000       0.000       0.000      45.499      -7.914      -0.264
   16      1      26.418       6.140      20.550       0.000       0.000       0.000      45.199      -7.909      -0.264
   17      1      28.001       5.478      16.229       0.000       0.000       0.000      41.828      -7.880      -0.263
   18      1      26.909       6.022      20.065       0.000       0.000       0.000      45.128      -7.867      -0.262
   19      1      22.669       6.423      20.365       0.000       0.000       0.000      41.626      -7.830      -0.261
   20      1      27.866       5.423      16.483       0.000       0.000       0.000      41.945      -7.826      -0.261
   21      1      27.910       5.426      16.380       0.000       0.000       0.000      41.891      -7.825      -0.261
   22      1      28.332       6.440      19.991       0.000       0.000       0.000      46.940      -7.823      -0.261
   23      1      27.646       5.487      16.675       0.000       0.000       0.000      41.985      -7.823      -0.261
   24      1      26.852       5.233      17.543       0.000       0.000       0.000      41.817      -7.811      -0.260
   25      1      27.459       5.440      17.280       0.000       0.000       0.000      42.398      -7.781      -0.259
   26      1      30.223       7.166      23.445       0.000       0.000       0.000      53.074      -7.760      -0.259
   27      1      28.089       5.401      16.390       0.000       0.000       0.000      42.135      -7.745      -0.258
   28      1      23.711       6.295      22.594       0.000       0.000       0.000      44.861      -7.739      -0.258
   29      1      28.638       6.981      17.887       0.000       0.000       0.000      45.775      -7.731      -0.258
   30      1      27.921       5.385      16.664       0.000       0.000       0.000      42.243      -7.726      -0.258
   31      1      24.242       6.246      22.110       0.000       0.000       0.000      44.880      -7.718      -0.257
   32      1      28.997       7.656      16.778       0.000       0.000       0.000      45.717      -7.713      -0.257
   33      1      27.613       5.477      16.968       0.000       0.000       0.000      42.357      -7.701      -0.257
   34      1      27.942       5.428      16.485       0.000       0.000       0.000      42.157      -7.698      -0.257
   35      1      26.696       6.114      23.543       0.000       0.000       0.000      48.656      -7.697      -0.257
   36      1      28.276       5.414      16.276       0.000       0.000       0.000      42.270      -7.696      -0.257
   37      1      26.165       6.578      20.944       0.000       0.000       0.000      46.001      -7.685      -0.256
   38      1      23.095       6.429      19.673       0.000       0.000       0.000      41.516      -7.681      -0.256
   39      1      28.769       5.774      16.924       0.000       0.000       0.000      43.790      -7.677      -0.256
   40      1      28.146       5.471      16.185       0.000       0.000       0.000      42.128      -7.673      -0.256
   41      1      27.716       5.446      16.513       0.000       0.000       0.000      42.013      -7.663      -0.255
   42      1      28.161       5.425      16.156       0.000       0.000       0.000      42.090      -7.651      -0.255
   43      1      24.353       6.147      22.342       0.000       0.000       0.000      45.221      -7.622      -0.254
   44      1      27.703       5.463      16.776       0.000       0.000       0.000      42.335      -7.608      -0.254
   45      1      27.019       5.558      17.075       0.000       0.000       0.000      42.047      -7.604      -0.253
   46      1      27.729       5.639      18.589       0.000       0.000       0.000      44.368      -7.589      -0.253
   47      1      26.271       6.162      23.932       0.000       0.000       0.000      48.778      -7.587      -0.253
   48      1      29.438       5.667      16.135       0.000       0.000       0.000      43.683      -7.557      -0.252
   49      1      27.776       6.617      19.997       0.000       0.000       0.000      46.840      -7.550      -0.252
   50      1      28.716       7.048      17.059       0.000       0.000       0.000      45.278      -7.544      -0.251
