  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.521       4.009      17.637       0.000       0.000       0.000      41.270      -8.897      -0.330
    2      1      25.732       4.152      17.621       0.000       0.000       0.000      38.936      -8.568      -0.317
    3      1      24.706       3.356      18.630       0.000       0.000       0.000      38.132      -8.560      -0.317
    4      1      24.936       3.393      18.564       0.000       0.000       0.000      38.404      -8.488      -0.314
    5      1      25.758       3.755      16.504       0.000       0.000       0.000      37.590      -8.427      -0.312
    6      1      25.513       2.746      15.227       0.000       0.000       0.000      35.079      -8.408      -0.311
    7      1      30.213       5.178      17.575       0.000       0.000       0.000      44.565      -8.401      -0.311
    8      1      22.054       3.538      20.894       0.000       0.000       0.000      38.128      -8.358      -0.310
    9      1      22.528       2.325      23.798       0.000       0.000       0.000      40.350      -8.301      -0.307
   10      1      32.518       5.097      23.078       0.000       0.000       0.000      52.396      -8.296      -0.307
   11      1      26.437       4.982      14.996       0.000       0.000       0.000      38.199      -8.215      -0.304
   12      1      25.647       2.781      14.811       0.000       0.000       0.000      35.040      -8.200      -0.304
   13      1      25.945       2.738      14.782       0.000       0.000       0.000      35.282      -8.182      -0.303
   14      1      25.680       2.799      15.176       0.000       0.000       0.000      35.477      -8.178      -0.303
   15      1      22.126       3.865      17.343       0.000       0.000       0.000      35.173      -8.161      -0.302
   16      1      25.975       2.756      14.610       0.000       0.000       0.000      35.202      -8.139      -0.301
   17      1      26.472       4.406      15.630       0.000       0.000       0.000      38.371      -8.137      -0.301
   18      1      24.636       5.216      16.508       0.000       0.000       0.000      38.250      -8.110      -0.300
   19      1      25.490       2.748      15.133       0.000       0.000       0.000      35.276      -8.095      -0.300
   20      1      25.123       2.984      15.639       0.000       0.000       0.000      35.670      -8.075      -0.299
   21      1      25.319       2.846      15.088       0.000       0.000       0.000      35.197      -8.056      -0.298
   22      1      26.358       4.433      15.558       0.000       0.000       0.000      38.294      -8.054      -0.298
   23      1      25.958       2.802      14.485       0.000       0.000       0.000      35.193      -8.052      -0.298
   24      1      25.867       2.799      14.715       0.000       0.000       0.000      35.354      -8.027      -0.297
   25      1      25.731       2.782      14.827       0.000       0.000       0.000      35.331      -8.008      -0.297
   26      1      32.742       5.156      22.632       0.000       0.000       0.000      52.532      -7.999      -0.296
   27      1      22.116       3.864      16.904       0.000       0.000       0.000      34.886      -7.998      -0.296
   28      1      23.260       3.682      21.860       0.000       0.000       0.000      40.817      -7.985      -0.296
   29      1      25.474       3.969      18.089       0.000       0.000       0.000      39.562      -7.970      -0.295
   30      1      25.866       2.768      14.678       0.000       0.000       0.000      35.343      -7.968      -0.295
   31      1      22.708       3.777      16.943       0.000       0.000       0.000      35.484      -7.944      -0.294
   32      1      26.061       2.744      14.542       0.000       0.000       0.000      35.411      -7.935      -0.294
   33      1      25.255       2.797      15.291       0.000       0.000       0.000      35.417      -7.927      -0.294
   34      1      25.986       2.848      14.682       0.000       0.000       0.000      35.593      -7.923      -0.293
   35      1      24.348       3.154      16.465       0.000       0.000       0.000      36.047      -7.921      -0.293
   36      1      21.907       3.766      17.651       0.000       0.000       0.000      35.404      -7.919      -0.293
   37      1      25.826       2.833      14.782       0.000       0.000       0.000      35.522      -7.919      -0.293
   38      1      27.623       4.397      15.013       0.000       0.000       0.000      39.124      -7.909      -0.293
   39      1      25.191       2.941      15.587       0.000       0.000       0.000      35.816      -7.903      -0.293
   40      1      27.275       4.255      23.725       0.000       0.000       0.000      47.354      -7.901      -0.293
   41      1      26.996       4.304      23.874       0.000       0.000       0.000      47.276      -7.899      -0.293
   42      1      25.429       2.811      15.002       0.000       0.000       0.000      35.345      -7.897      -0.292
   43      1      25.929       2.783      14.631       0.000       0.000       0.000      35.457      -7.886      -0.292
   44      1      25.731       3.682      16.353       0.000       0.000       0.000      37.884      -7.883      -0.292
   45      1      26.941       4.454      14.922       0.000       0.000       0.000      38.437      -7.879      -0.292
   46      1      24.084       5.155      16.739       0.000       0.000       0.000      38.118      -7.860      -0.291
   47      1      26.670       4.947      14.756       0.000       0.000       0.000      38.516      -7.857      -0.291
   48      1      26.730       4.487      15.036       0.000       0.000       0.000      38.400      -7.852      -0.291
   49      1      25.819       2.781      14.527       0.000       0.000       0.000      35.278      -7.851      -0.291
   50      1      25.540       4.049      18.190       0.000       0.000       0.000      39.933      -7.846      -0.291
