  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      32.947       6.149      26.192       0.000       0.000       0.000      56.824      -8.464      -0.313
    2      1      28.815       5.714      27.060       0.000       0.000       0.000      53.168      -8.421      -0.312
    3      1      28.619       5.693      28.038       0.000       0.000       0.000      54.196      -8.155      -0.302
    4      1      26.010       4.424      26.811       0.000       0.000       0.000      49.092      -8.152      -0.302
    5      1      33.810       5.489      20.816       0.000       0.000       0.000      51.971      -8.144      -0.302
    6      1      27.368       5.507      28.047       0.000       0.000       0.000      52.829      -8.093      -0.300
    7      1      29.177       5.593      27.658       0.000       0.000       0.000      54.336      -8.092      -0.300
    8      1      33.897       5.402      20.769       0.000       0.000       0.000      52.032      -8.035      -0.298
    9      1      35.584       4.006      17.276       0.000       0.000       0.000      48.846      -8.019      -0.297
   10      1      36.713       6.177      23.857       0.000       0.000       0.000      58.752      -7.994      -0.296
   11      1      28.895       5.586      27.772       0.000       0.000       0.000      54.272      -7.981      -0.296
   12      1      32.541       5.850      25.352       0.000       0.000       0.000      55.820      -7.924      -0.293
   13      1      33.673       5.425      20.889       0.000       0.000       0.000      52.088      -7.898      -0.293
   14      1      34.555       4.318      18.461       0.000       0.000       0.000      49.450      -7.885      -0.292
   15      1      34.516       4.348      18.420       0.000       0.000       0.000      49.426      -7.859      -0.291
   16      1      33.084       4.659      21.128       0.000       0.000       0.000      51.026      -7.845      -0.291
   17      1      27.521       5.516      27.789       0.000       0.000       0.000      52.983      -7.843      -0.290
   18      1      26.259       4.367      30.728       0.000       0.000       0.000      53.516      -7.838      -0.290
   19      1      32.948       4.493      21.367       0.000       0.000       0.000      50.973      -7.836      -0.290
   20      1      34.781       5.654      20.226       0.000       0.000       0.000      52.828      -7.832      -0.290
   21      1      27.513       5.541      27.895       0.000       0.000       0.000      53.153      -7.796      -0.289
   22      1      34.712       4.338      18.398       0.000       0.000       0.000      49.670      -7.778      -0.288
   23      1      31.653       6.322      22.556       0.000       0.000       0.000      52.763      -7.768      -0.288
   24      1      27.467       5.506      27.930       0.000       0.000       0.000      53.152      -7.751      -0.287
   25      1      27.102       5.628      28.095       0.000       0.000       0.000      53.146      -7.680      -0.284
   26      1      34.554       5.217      20.100       0.000       0.000       0.000      52.208      -7.663      -0.284
   27      1      27.734       3.776      29.879       0.000       0.000       0.000      53.726      -7.663      -0.284
   28      1      35.990       6.107      25.215       0.000       0.000       0.000      59.652      -7.659      -0.284
   29      1      30.624       6.290      23.733       0.000       0.000       0.000      52.993      -7.653      -0.283
   30      1      36.152       4.252      18.079       0.000       0.000       0.000      50.831      -7.652      -0.283
   31      1      27.195       5.540      28.136       0.000       0.000       0.000      53.226      -7.644      -0.283
   32      1      32.631       4.574      21.612       0.000       0.000       0.000      51.185      -7.633      -0.283
   33      1      27.703       5.600      27.655       0.000       0.000       0.000      53.334      -7.624      -0.282
   34      1      34.731       4.329      18.341       0.000       0.000       0.000      49.779      -7.623      -0.282
   35      1      34.343       4.157      18.213       0.000       0.000       0.000      49.104      -7.609      -0.282
   36      1      26.443       4.365      30.396       0.000       0.000       0.000      53.598      -7.605      -0.282
   37      1      24.633       4.500      29.261       0.000       0.000       0.000      50.797      -7.597      -0.281
   38      1      44.206       6.790      30.035       0.000       0.000       0.000      73.436      -7.596      -0.281
   39      1      29.450       5.681      26.567       0.000       0.000       0.000      54.109      -7.590      -0.281
   40      1      35.796       4.962      24.482       0.000       0.000       0.000      57.653      -7.587      -0.281
   41      1      32.780       5.304      28.713       0.000       0.000       0.000      59.225      -7.572      -0.280
   42      1      28.531       5.401      27.057       0.000       0.000       0.000      53.419      -7.570      -0.280
   43      1      33.803       5.840      26.465       0.000       0.000       0.000      58.545      -7.563      -0.280
   44      1      34.863       4.874      21.029       0.000       0.000       0.000      53.211      -7.556      -0.280
   45      1      33.497       4.431      20.977       0.000       0.000       0.000      51.350      -7.556      -0.280
   46      1      33.048       6.329      22.700       0.000       0.000       0.000      54.526      -7.550      -0.280
   47      1      34.512       4.993      20.359       0.000       0.000       0.000      52.316      -7.549      -0.280
   48      1      29.992       6.251      23.921       0.000       0.000       0.000      52.616      -7.548      -0.280
   49      1      34.259       4.159      18.248       0.000       0.000       0.000      49.123      -7.543      -0.279
   50      1      29.004       5.355      27.237       0.000       0.000       0.000      54.053      -7.542      -0.279
