  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.680       6.767      24.360       0.000       0.000       0.000      51.073      -8.734      -0.336
    2      1      28.201       6.819      24.615       0.000       0.000       0.000      50.946      -8.689      -0.334
    3      1      32.598       6.137      18.655       0.000       0.000       0.000      48.783      -8.607      -0.331
    4      1      32.392       7.198      19.614       0.000       0.000       0.000      50.643      -8.560      -0.329
    5      1      29.978       6.131      17.522       0.000       0.000       0.000      45.433      -8.198      -0.315
    6      1      29.564       4.896      13.771       0.000       0.000       0.000      40.036      -8.195      -0.315
    7      1      27.894       7.189      24.739       0.000       0.000       0.000      51.664      -8.158      -0.314
    8      1      27.712       4.694      15.474       0.000       0.000       0.000      39.727      -8.152      -0.314
    9      1      28.508       7.234      24.275       0.000       0.000       0.000      51.871      -8.146      -0.313
   10      1      29.772       4.948      13.481       0.000       0.000       0.000      40.082      -8.118      -0.312
   11      1      31.957       7.301      20.006       0.000       0.000       0.000      51.163      -8.102      -0.312
   12      1      32.057       7.181      20.050       0.000       0.000       0.000      51.192      -8.096      -0.311
   13      1      30.252       6.077      17.276       0.000       0.000       0.000      45.525      -8.080      -0.311
   14      1      28.226       5.040      27.035       0.000       0.000       0.000      52.245      -8.056      -0.310
   15      1      28.107       5.092      27.072       0.000       0.000       0.000      52.220      -8.052      -0.310
   16      1      28.240       5.062      27.109       0.000       0.000       0.000      52.372      -8.038      -0.309
   17      1      30.394       6.108      17.092       0.000       0.000       0.000      45.604      -7.990      -0.307
   18      1      31.015       6.148      16.400       0.000       0.000       0.000      45.574      -7.990      -0.307
   19      1      32.333       7.086      19.683       0.000       0.000       0.000      51.132      -7.970      -0.307
   20      1      32.578       7.719      16.604       0.000       0.000       0.000      48.939      -7.962      -0.306
   21      1      28.085       4.612      14.145       0.000       0.000       0.000      38.941      -7.901      -0.304
   22      1      29.990       6.123      17.409       0.000       0.000       0.000      45.624      -7.899      -0.304
   23      1      28.361       4.588      13.842       0.000       0.000       0.000      38.897      -7.895      -0.304
   24      1      28.155       6.851      24.605       0.000       0.000       0.000      51.742      -7.869      -0.303
   25      1      27.762       4.604      14.503       0.000       0.000       0.000      39.003      -7.866      -0.303
   26      1      28.507       4.581      13.771       0.000       0.000       0.000      39.011      -7.848      -0.302
   27      1      28.167       4.715      13.854       0.000       0.000       0.000      38.910      -7.826      -0.301
   28      1      28.003       4.624      14.039       0.000       0.000       0.000      38.873      -7.793      -0.300
   29      1      28.201       4.634      13.950       0.000       0.000       0.000      38.993      -7.792      -0.300
   30      1      28.327       4.541      13.869       0.000       0.000       0.000      38.961      -7.776      -0.299
   31      1      26.234       5.927      19.151       0.000       0.000       0.000      43.541      -7.770      -0.299
   32      1      31.862       6.077      18.119       0.000       0.000       0.000      48.297      -7.761      -0.299
   33      1      31.776       6.019      18.287       0.000       0.000       0.000      48.321      -7.761      -0.298
   34      1      27.989       4.649      14.021       0.000       0.000       0.000      38.906      -7.752      -0.298
   35      1      27.742       4.724      14.564       0.000       0.000       0.000      39.291      -7.740      -0.298
   36      1      27.822       4.658      14.551       0.000       0.000       0.000      39.300      -7.731      -0.297
   37      1      27.779       4.700      14.229       0.000       0.000       0.000      38.978      -7.730      -0.297
   38      1      28.016       4.624      13.947       0.000       0.000       0.000      38.861      -7.725      -0.297
   39      1      28.411       4.621      13.676       0.000       0.000       0.000      38.991      -7.716      -0.297
   40      1      29.459       6.123      18.208       0.000       0.000       0.000      46.078      -7.712      -0.297
   41      1      28.208       5.428      20.908       0.000       0.000       0.000      46.846      -7.698      -0.296
   42      1      31.682       6.067      18.250       0.000       0.000       0.000      48.306      -7.693      -0.296
   43      1      27.667       4.618      14.611       0.000       0.000       0.000      39.218      -7.678      -0.295
   44      1      28.897       4.640      13.270       0.000       0.000       0.000      39.173      -7.634      -0.294
   45      1      32.179       6.995      19.928       0.000       0.000       0.000      51.481      -7.621      -0.293
   46      1      28.255       4.596      13.914       0.000       0.000       0.000      39.145      -7.620      -0.293
   47      1      27.260       4.648      14.992       0.000       0.000       0.000      39.293      -7.607      -0.293
   48      1      27.703       4.678      14.556       0.000       0.000       0.000      39.337      -7.601      -0.292
   49      1      27.845       4.609      14.116       0.000       0.000       0.000      38.974      -7.597      -0.292
   50      1      27.628       4.652      14.712       0.000       0.000       0.000      39.405      -7.587      -0.292
