  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.044       7.598      29.689       0.000       0.000       0.000      56.405      -8.925      -0.319
    2      1      28.927       7.031      29.205       0.000       0.000       0.000      56.447      -8.716      -0.311
    3      1      27.379       6.167      33.674       0.000       0.000       0.000      58.655      -8.565      -0.306
    4      1      28.885       7.492      28.741       0.000       0.000       0.000      56.578      -8.540      -0.305
    5      1      28.112       7.317      29.403       0.000       0.000       0.000      56.350      -8.483      -0.303
    6      1      29.293       6.761      24.334       0.000       0.000       0.000      51.947      -8.441      -0.301
    7      1      27.719       5.322      22.496       0.000       0.000       0.000      47.125      -8.411      -0.300
    8      1      26.495       6.925      26.329       0.000       0.000       0.000      51.471      -8.278      -0.296
    9      1      26.271       6.859      25.696       0.000       0.000       0.000      50.589      -8.237      -0.294
   10      1      27.716       5.312      22.512       0.000       0.000       0.000      47.305      -8.234      -0.294
   11      1      28.397       6.653      23.807       0.000       0.000       0.000      50.648      -8.209      -0.293
   12      1      28.365       5.248      21.969       0.000       0.000       0.000      47.389      -8.192      -0.293
   13      1      28.097       5.325      21.982       0.000       0.000       0.000      47.227      -8.178      -0.292
   14      1      28.508       6.382      32.278       0.000       0.000       0.000      58.996      -8.172      -0.292
   15      1      28.128       7.711      29.228       0.000       0.000       0.000      56.932      -8.136      -0.291
   16      1      27.947       5.272      22.333       0.000       0.000       0.000      47.423      -8.128      -0.290
   17      1      26.682       6.622      25.381       0.000       0.000       0.000      50.606      -8.079      -0.289
   18      1      27.525       6.079      25.636       0.000       0.000       0.000      51.166      -8.074      -0.288
   19      1      28.653       4.652      22.200       0.000       0.000       0.000      47.432      -8.073      -0.288
   20      1      32.919       6.624      24.629       0.000       0.000       0.000      56.123      -8.049      -0.287
   21      1      28.273       5.390      21.874       0.000       0.000       0.000      47.497      -8.041      -0.287
   22      1      28.003       5.381      22.360       0.000       0.000       0.000      47.712      -8.032      -0.287
   23      1      27.896       5.401      22.167       0.000       0.000       0.000      47.434      -8.029      -0.287
   24      1      30.381       7.279      29.075       0.000       0.000       0.000      58.716      -8.020      -0.286
   25      1      26.590       6.255      25.248       0.000       0.000       0.000      50.093      -8.000      -0.286
   26      1      31.927       6.712      24.962       0.000       0.000       0.000      55.619      -7.982      -0.285
   27      1      31.775       6.847      24.762       0.000       0.000       0.000      55.404      -7.980      -0.285
   28      1      27.588       5.439      23.077       0.000       0.000       0.000      48.135      -7.969      -0.285
   29      1      30.368       8.011      26.193       0.000       0.000       0.000      56.624      -7.949      -0.284
   30      1      28.349       5.344      22.161       0.000       0.000       0.000      47.918      -7.936      -0.283
   31      1      26.711       6.584      25.279       0.000       0.000       0.000      50.643      -7.931      -0.283
   32      1      28.426       4.630      22.435       0.000       0.000       0.000      47.564      -7.927      -0.283
   33      1      31.157       7.798      38.033       0.000       0.000       0.000      69.064      -7.924      -0.283
   34      1      27.238       6.418      24.961       0.000       0.000       0.000      50.694      -7.924      -0.283
   35      1      27.568       5.416      22.570       0.000       0.000       0.000      47.633      -7.920      -0.283
   36      1      28.073       5.436      22.042       0.000       0.000       0.000      47.632      -7.919      -0.283
   37      1      28.510       4.477      22.428       0.000       0.000       0.000      47.505      -7.910      -0.283
   38      1      31.238       5.637      21.897       0.000       0.000       0.000      50.884      -7.888      -0.282
   39      1      26.914       7.841      25.542       0.000       0.000       0.000      52.410      -7.888      -0.282
   40      1      26.590       7.862      25.903       0.000       0.000       0.000      52.468      -7.887      -0.282
   41      1      27.944       5.453      22.153       0.000       0.000       0.000      47.667      -7.884      -0.282
   42      1      27.749       5.495      22.680       0.000       0.000       0.000      48.043      -7.881      -0.281
   43      1      31.879       6.753      24.708       0.000       0.000       0.000      55.464      -7.876      -0.281
   44      1      26.947       6.579      25.068       0.000       0.000       0.000      50.742      -7.852      -0.280
   45      1      31.471       6.206      28.060       0.000       0.000       0.000      57.891      -7.847      -0.280
   46      1      27.311       6.584      24.674       0.000       0.000       0.000      50.725      -7.844      -0.280
   47      1      28.548       7.252      28.947       0.000       0.000       0.000      56.909      -7.838      -0.280
   48      1      27.758       5.360      22.357       0.000       0.000       0.000      47.640      -7.835      -0.280
   49      1      27.359       7.861      25.104       0.000       0.000       0.000      52.511      -7.813      -0.279
   50      1      26.869       6.804      25.554       0.000       0.000       0.000      51.417      -7.810      -0.279
