  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      31.748       6.056      22.963       0.000       0.000       0.000      51.229      -9.538      -0.329
    2      1      31.749       6.057      23.021       0.000       0.000       0.000      51.651      -9.176      -0.316
    3      1      32.301       6.141      22.422       0.000       0.000       0.000      51.814      -9.051      -0.312
    4      1      33.690       6.203      20.083       0.000       0.000       0.000      51.083      -8.893      -0.307
    5      1      32.326       6.074      22.416       0.000       0.000       0.000      52.140      -8.676      -0.299
    6      1      32.689       6.344      19.460       0.000       0.000       0.000      49.887      -8.606      -0.297
    7      1      26.954       7.356      21.106       0.000       0.000       0.000      46.898      -8.519      -0.294
    8      1      29.459       6.821      20.434       0.000       0.000       0.000      48.235      -8.479      -0.292
    9      1      26.505       8.067      19.912       0.000       0.000       0.000      46.014      -8.469      -0.292
   10      1      34.207       6.130      19.585       0.000       0.000       0.000      51.475      -8.446      -0.291
   11      1      27.282       7.868      21.583       0.000       0.000       0.000      48.317      -8.416      -0.290
   12      1      30.782       5.223      16.129       0.000       0.000       0.000      43.758      -8.375      -0.289
   13      1      28.644       6.168      18.516       0.000       0.000       0.000      44.963      -8.365      -0.288
   14      1      26.481       6.820      24.530       0.000       0.000       0.000      49.472      -8.358      -0.288
   15      1      28.448       6.801      27.740       0.000       0.000       0.000      54.637      -8.352      -0.288
   16      1      28.225       5.970      27.729       0.000       0.000       0.000      53.587      -8.338      -0.288
   17      1      29.030       7.173      23.917       0.000       0.000       0.000      51.786      -8.334      -0.287
   18      1      30.017       5.869      20.586       0.000       0.000       0.000      48.161      -8.312      -0.287
   19      1      27.371       6.707      24.279       0.000       0.000       0.000      50.073      -8.283      -0.286
   20      1      30.111       6.007      19.478       0.000       0.000       0.000      47.327      -8.269      -0.285
   21      1      28.718       4.903      16.442       0.000       0.000       0.000      41.802      -8.260      -0.285
   22      1      25.752       6.693      20.919       0.000       0.000       0.000      45.105      -8.260      -0.285
   23      1      28.518       4.869      16.615       0.000       0.000       0.000      41.750      -8.251      -0.285
   24      1      29.516       5.255      17.286       0.000       0.000       0.000      43.879      -8.178      -0.282
   25      1      30.830       6.693      19.077       0.000       0.000       0.000      48.424      -8.176      -0.282
   26      1      33.346       7.261      32.314       0.000       0.000       0.000      64.751      -8.170      -0.282
   27      1      28.879       4.941      16.370       0.000       0.000       0.000      42.036      -8.155      -0.281
   28      1      28.008       4.810      17.320       0.000       0.000       0.000      41.989      -8.150      -0.281
   29      1      30.085       4.970      16.556       0.000       0.000       0.000      43.463      -8.147      -0.281
   30      1      29.922       6.991      19.670       0.000       0.000       0.000      48.437      -8.146      -0.281
   31      1      27.869       4.848      17.747       0.000       0.000       0.000      42.320      -8.145      -0.281
   32      1      28.720       4.925      16.471       0.000       0.000       0.000      41.984      -8.132      -0.280
   33      1      28.652       4.864      16.509       0.000       0.000       0.000      41.900      -8.125      -0.280
   34      1      28.334       4.784      17.339       0.000       0.000       0.000      42.387      -8.069      -0.278
   35      1      29.085       4.887      16.136       0.000       0.000       0.000      42.068      -8.040      -0.277
   36      1      30.219       4.909      16.449       0.000       0.000       0.000      43.538      -8.038      -0.277
   37      1      30.447       5.980      19.124       0.000       0.000       0.000      47.529      -8.021      -0.277
   38      1      31.029       5.790      16.601       0.000       0.000       0.000      45.399      -8.021      -0.277
   39      1      31.722       5.489      16.197       0.000       0.000       0.000      45.404      -8.004      -0.276
   40      1      28.959       6.795      18.736       0.000       0.000       0.000      46.486      -8.003      -0.276
   41      1      29.697       7.291      23.005       0.000       0.000       0.000      52.009      -7.984      -0.275
   42      1      29.825       7.690      18.832       0.000       0.000       0.000      48.363      -7.983      -0.275
   43      1      30.642       6.260      17.803       0.000       0.000       0.000      46.735      -7.970      -0.275
   44      1      28.875       4.844      16.762       0.000       0.000       0.000      42.551      -7.930      -0.273
   45      1      30.700       5.043      16.047       0.000       0.000       0.000      43.874      -7.916      -0.273
   46      1      28.602       4.875      16.579       0.000       0.000       0.000      42.151      -7.905      -0.273
   47      1      30.665       6.017      27.109       0.000       0.000       0.000      55.888      -7.903      -0.273
   48      1      26.291       7.846      22.076       0.000       0.000       0.000      48.313      -7.900      -0.272
   49      1      27.477       7.429      19.644       0.000       0.000       0.000      46.657      -7.893      -0.272
   50      1      30.586       6.302      17.869       0.000       0.000       0.000      46.873      -7.884      -0.272
