  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      12.672       2.602      21.868       0.000       0.000       0.000      27.951      -9.191      -0.340
    2      1      13.730       3.485      20.181       0.000       0.000       0.000      28.380      -9.016      -0.334
    3      1      13.067       1.575      20.922       0.000       0.000       0.000      26.647      -8.916      -0.330
    4      1      12.650       2.666      21.788       0.000       0.000       0.000      28.205      -8.899      -0.330
    5      1      13.553       1.546      18.031       0.000       0.000       0.000      24.234      -8.895      -0.329
    6      1      13.857       1.551      17.702       0.000       0.000       0.000      24.233      -8.877      -0.329
    7      1      13.397       1.648      18.168       0.000       0.000       0.000      24.341      -8.872      -0.329
    8      1      12.761       1.608      18.802       0.000       0.000       0.000      24.340      -8.830      -0.327
    9      1      13.821       1.542      18.152       0.000       0.000       0.000      24.720      -8.795      -0.326
   10      1      13.351       4.247      23.556       0.000       0.000       0.000      32.376      -8.778      -0.325
   11      1      13.009       3.492      20.924       0.000       0.000       0.000      28.663      -8.762      -0.325
   12      1      15.614       1.702      17.637       0.000       0.000       0.000      26.226      -8.726      -0.323
   13      1      14.915       3.501      18.931       0.000       0.000       0.000      28.623      -8.725      -0.323
   14      1      12.275       1.636      18.641       0.000       0.000       0.000      23.836      -8.716      -0.323
   15      1      13.355       4.092      23.588       0.000       0.000       0.000      32.339      -8.696      -0.322
   16      1      13.519       1.624      17.879       0.000       0.000       0.000      24.360      -8.661      -0.321
   17      1      14.848       1.867      17.500       0.000       0.000       0.000      25.569      -8.646      -0.320
   18      1      13.550       1.592      17.851       0.000       0.000       0.000      24.360      -8.633      -0.320
   19      1      10.651       3.777      20.081       0.000       0.000       0.000      25.896      -8.613      -0.319
   20      1      12.406       2.970      20.834       0.000       0.000       0.000      27.602      -8.609      -0.319
   21      1      14.506       3.049      20.406       0.000       0.000       0.000      29.375      -8.586      -0.318
   22      1      15.848       2.889      19.458       0.000       0.000       0.000      29.627      -8.568      -0.317
   23      1      14.668       3.451      19.100       0.000       0.000       0.000      28.661      -8.559      -0.317
   24      1      15.091       1.846      17.253       0.000       0.000       0.000      25.644      -8.546      -0.317
   25      1      15.527       2.929      19.509       0.000       0.000       0.000      29.423      -8.543      -0.316
   26      1      13.034       3.464      26.684       0.000       0.000       0.000      34.693      -8.489      -0.314
   27      1      13.836       1.510      18.237       0.000       0.000       0.000      25.095      -8.487      -0.314
   28      1      12.703       1.516      18.900       0.000       0.000       0.000      24.641      -8.478      -0.314
   29      1      11.867       3.285      20.716       0.000       0.000       0.000      27.396      -8.471      -0.314
   30      1      12.327       1.530      18.286       0.000       0.000       0.000      23.679      -8.464      -0.313
   31      1      15.838       1.757      17.706       0.000       0.000       0.000      26.839      -8.461      -0.313
   32      1      12.486       1.590      18.237       0.000       0.000       0.000      23.858      -8.455      -0.313
   33      1      13.113       3.004      20.155       0.000       0.000       0.000      27.819      -8.453      -0.313
   34      1      13.012       4.440      23.364       0.000       0.000       0.000      32.363      -8.452      -0.313
   35      1      11.144       3.723      19.931       0.000       0.000       0.000      26.362      -8.436      -0.312
   36      1      15.622       1.737      17.736       0.000       0.000       0.000      26.663      -8.433      -0.312
   37      1      14.430       3.088      20.303       0.000       0.000       0.000      29.411      -8.409      -0.311
   38      1      11.129       3.701      19.940       0.000       0.000       0.000      26.369      -8.401      -0.311
   39      1      11.684       2.836      19.313       0.000       0.000       0.000      25.435      -8.398      -0.311
   40      1      15.631       1.718      17.459       0.000       0.000       0.000      26.411      -8.396      -0.311
   41      1      12.782       3.445      26.898       0.000       0.000       0.000      34.738      -8.387      -0.311
   42      1      13.948       1.493      18.211       0.000       0.000       0.000      25.266      -8.386      -0.311
   43      1      12.059       3.397      26.968       0.000       0.000       0.000      34.049      -8.375      -0.310
   44      1      11.452       3.314      21.155       0.000       0.000       0.000      27.571      -8.351      -0.309
   45      1      12.993       2.678      21.473       0.000       0.000       0.000      28.807      -8.337      -0.309
   46      1      13.986       3.452      19.484       0.000       0.000       0.000      28.606      -8.316      -0.308
   47      1      13.710       1.577      17.790       0.000       0.000       0.000      24.773      -8.304      -0.308
   48      1      13.738       1.616      17.718       0.000       0.000       0.000      24.770      -8.302      -0.307
   49      1      12.405       3.461      26.342       0.000       0.000       0.000      33.913      -8.295      -0.307
   50      1      12.418       1.520      18.683       0.000       0.000       0.000      24.328      -8.293      -0.307
