  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      27.332       7.034      19.110       0.000       0.000       0.000      45.588      -7.887      -0.303
    2      1      26.963       7.106      19.454       0.000       0.000       0.000      45.647      -7.877      -0.303
    3      1      29.022       5.578      27.043       0.000       0.000       0.000      53.854      -7.788      -0.300
    4      1      28.651       7.379      23.349       0.000       0.000       0.000      51.641      -7.738      -0.298
    5      1      27.867       4.607      14.259       0.000       0.000       0.000      39.001      -7.733      -0.297
    6      1      28.223       4.619      13.830       0.000       0.000       0.000      38.995      -7.677      -0.295
    7      1      28.161       4.649      14.026       0.000       0.000       0.000      39.159      -7.677      -0.295
    8      1      28.035       4.646      13.969       0.000       0.000       0.000      38.982      -7.668      -0.295
    9      1      28.006       4.831      14.690       0.000       0.000       0.000      39.876      -7.651      -0.294
   10      1      27.916       4.541      14.459       0.000       0.000       0.000      39.301      -7.616      -0.293
   11      1      28.241       4.657      13.913       0.000       0.000       0.000      39.210      -7.602      -0.292
   12      1      27.139       4.593      15.130       0.000       0.000       0.000      39.269      -7.593      -0.292
   13      1      27.735       4.634      14.315       0.000       0.000       0.000      39.106      -7.578      -0.291
   14      1      27.976       4.765      14.565       0.000       0.000       0.000      39.740      -7.566      -0.291
   15      1      27.643       4.620      14.681       0.000       0.000       0.000      39.380      -7.564      -0.291
   16      1      26.929       4.620      15.413       0.000       0.000       0.000      39.409      -7.554      -0.291
   17      1      29.349       4.814      13.949       0.000       0.000       0.000      40.565      -7.547      -0.290
   18      1      29.537       4.819      13.728       0.000       0.000       0.000      40.542      -7.542      -0.290
   19      1      29.669       5.931      19.983       0.000       0.000       0.000      48.049      -7.534      -0.290
   20      1      27.773       4.584      14.395       0.000       0.000       0.000      39.221      -7.531      -0.290
   21      1      27.947       4.646      14.090       0.000       0.000       0.000      39.155      -7.530      -0.290
   22      1      26.983       5.513      16.805       0.000       0.000       0.000      41.810      -7.490      -0.288
   23      1      28.755       4.751      13.469       0.000       0.000       0.000      39.497      -7.478      -0.288
   24      1      28.261       4.634      13.880       0.000       0.000       0.000      39.321      -7.454      -0.287
   25      1      28.256       4.691      13.866       0.000       0.000       0.000      39.360      -7.453      -0.287
   26      1      28.243       4.686      13.868       0.000       0.000       0.000      39.345      -7.453      -0.287
   27      1      26.134       5.954      19.508       0.000       0.000       0.000      44.149      -7.447      -0.286
   28      1      28.069       4.568      14.334       0.000       0.000       0.000      39.551      -7.420      -0.285
   29      1      28.063       4.634      14.089       0.000       0.000       0.000      39.369      -7.417      -0.285
   30      1      27.917       4.624      14.307       0.000       0.000       0.000      39.432      -7.417      -0.285
   31      1      27.240       5.493      16.342       0.000       0.000       0.000      41.659      -7.416      -0.285
   32      1      29.330       4.830      14.002       0.000       0.000       0.000      40.750      -7.412      -0.285
   33      1      28.183       4.671      13.969       0.000       0.000       0.000      39.421      -7.402      -0.285
   34      1      28.546       5.601      16.319       0.000       0.000       0.000      43.068      -7.398      -0.285
   35      1      27.042       5.442      16.384       0.000       0.000       0.000      41.486      -7.382      -0.284
   36      1      27.947       4.574      14.340       0.000       0.000       0.000      39.496      -7.365      -0.283
   37      1      28.462       5.057      26.797       0.000       0.000       0.000      52.953      -7.363      -0.283
   38      1      28.382       5.077      26.830       0.000       0.000       0.000      52.934      -7.356      -0.283
   39      1      28.081       4.641      13.962       0.000       0.000       0.000      39.329      -7.354      -0.283
   40      1      28.165       4.618      13.907       0.000       0.000       0.000      39.337      -7.353      -0.283
   41      1      27.793       4.655      14.583       0.000       0.000       0.000      39.684      -7.346      -0.283
   42      1      27.397       5.382      16.254       0.000       0.000       0.000      41.687      -7.345      -0.283
   43      1      27.234       5.487      16.362       0.000       0.000       0.000      41.740      -7.343      -0.282
   44      1      28.631       4.669      13.444       0.000       0.000       0.000      39.404      -7.341      -0.282
   45      1      28.186       4.670      13.876       0.000       0.000       0.000      39.399      -7.333      -0.282
   46      1      28.417       5.647      16.327       0.000       0.000       0.000      43.065      -7.325      -0.282
   47      1      27.994       4.648      14.075       0.000       0.000       0.000      39.396      -7.321      -0.282
   48      1      28.384       4.659      13.797       0.000       0.000       0.000      39.523      -7.317      -0.281
   49      1      27.198       5.416      16.253       0.000       0.000       0.000      41.559      -7.307      -0.281
   50      1      28.862       6.820      24.122       0.000       0.000       0.000      52.499      -7.305      -0.281
