  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      25.151       4.436      15.374       0.000       0.000       0.000      35.520      -9.442      -0.350
    2      1      25.487       5.611      17.039       0.000       0.000       0.000      38.806      -9.330      -0.346
    3      1      25.493       4.294      15.309       0.000       0.000       0.000      35.784      -9.311      -0.345
    4      1      22.468       6.402      17.730       0.000       0.000       0.000      37.318      -9.281      -0.344
    5      1      25.069       4.347      15.570       0.000       0.000       0.000      35.818      -9.168      -0.340
    6      1      26.423       6.151      16.492       0.000       0.000       0.000      39.929      -9.137      -0.338
    7      1      25.144       4.335      15.396       0.000       0.000       0.000      35.739      -9.136      -0.338
    8      1      25.415       4.366      15.131       0.000       0.000       0.000      35.806      -9.106      -0.337
    9      1      25.391       4.324      15.167       0.000       0.000       0.000      35.820      -9.063      -0.336
   10      1      25.028       4.347      15.684       0.000       0.000       0.000      36.004      -9.055      -0.335
   11      1      24.748       4.320      16.019       0.000       0.000       0.000      36.033      -9.055      -0.335
   12      1      25.320       4.309      15.233       0.000       0.000       0.000      35.815      -9.047      -0.335
   13      1      24.938       4.345      15.793       0.000       0.000       0.000      36.028      -9.047      -0.335
   14      1      25.070       4.350      15.516       0.000       0.000       0.000      35.904      -9.033      -0.335
   15      1      26.853       4.553      15.000       0.000       0.000       0.000      37.386      -9.020      -0.334
   16      1      26.525       4.550      15.217       0.000       0.000       0.000      37.276      -9.017      -0.334
   17      1      26.427       6.189      16.297       0.000       0.000       0.000      39.960      -8.954      -0.332
   18      1      23.948       6.141      24.516       0.000       0.000       0.000      45.707      -8.898      -0.330
   19      1      24.965       4.332      15.094       0.000       0.000       0.000      35.496      -8.895      -0.329
   20      1      24.626       4.227      15.487       0.000       0.000       0.000      35.447      -8.892      -0.329
   21      1      23.869       4.298      16.146       0.000       0.000       0.000      35.423      -8.890      -0.329
   22      1      24.819       4.368      15.113       0.000       0.000       0.000      35.411      -8.888      -0.329
   23      1      26.120       6.201      16.684       0.000       0.000       0.000      40.120      -8.885      -0.329
   24      1      26.358       6.267      16.445       0.000       0.000       0.000      40.207      -8.864      -0.328
   25      1      24.183       4.221      15.791       0.000       0.000       0.000      35.343      -8.851      -0.328
   26      1      26.231       5.184      19.607       0.000       0.000       0.000      42.176      -8.846      -0.328
   27      1      27.429       5.416      17.615       0.000       0.000       0.000      41.616      -8.844      -0.328
   28      1      24.578       4.319      15.424       0.000       0.000       0.000      35.487      -8.833      -0.327
   29      1      25.693       6.159      17.144       0.000       0.000       0.000      40.176      -8.820      -0.327
   30      1      27.197       5.402      17.625       0.000       0.000       0.000      41.425      -8.799      -0.326
   31      1      22.721       5.136      17.056       0.000       0.000       0.000      36.117      -8.796      -0.326
   32      1      25.777       6.177      17.358       0.000       0.000       0.000      40.546      -8.766      -0.325
   33      1      25.542       5.142      18.277       0.000       0.000       0.000      40.229      -8.732      -0.323
   34      1      25.118       4.360      15.328       0.000       0.000       0.000      36.084      -8.722      -0.323
   35      1      23.986       6.043      24.882       0.000       0.000       0.000      46.189      -8.722      -0.323
   36      1      25.007       4.344      15.041       0.000       0.000       0.000      35.672      -8.720      -0.323
   37      1      24.651       4.283      15.477       0.000       0.000       0.000      35.703      -8.709      -0.323
   38      1      27.448       5.349      17.712       0.000       0.000       0.000      41.821      -8.688      -0.322
   39      1      21.915       5.200      17.319       0.000       0.000       0.000      35.761      -8.673      -0.321
   40      1      24.182       6.432      22.183       0.000       0.000       0.000      44.218      -8.579      -0.318
   41      1      26.762       4.551      15.188       0.000       0.000       0.000      37.928      -8.573      -0.318
   42      1      24.156       4.232      15.966       0.000       0.000       0.000      35.793      -8.561      -0.317
   43      1      24.007       5.146      19.001       0.000       0.000       0.000      39.602      -8.551      -0.317
   44      1      25.423       4.309      15.098       0.000       0.000       0.000      36.334      -8.496      -0.315
   45      1      23.955       4.280      16.067       0.000       0.000       0.000      35.848      -8.454      -0.313
   46      1      27.026       8.099      19.103       0.000       0.000       0.000      45.778      -8.450      -0.313
   47      1      24.039       4.334      15.943       0.000       0.000       0.000      35.875      -8.442      -0.313
   48      1      27.166       4.516      14.651       0.000       0.000       0.000      37.927      -8.406      -0.311
   49      1      22.008       4.952      19.223       0.000       0.000       0.000      37.836      -8.347      -0.309
   50      1      25.218       6.469      21.741       0.000       0.000       0.000      45.089      -8.339      -0.309
