  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.603       6.697      23.527       0.000       0.000       0.000      50.201      -8.627      -0.308
    2      1      28.702       6.704      23.422       0.000       0.000       0.000      50.233      -8.595      -0.307
    3      1      26.948       5.344      23.682       0.000       0.000       0.000      47.670      -8.304      -0.297
    4      1      27.219       6.599      24.740       0.000       0.000       0.000      50.299      -8.259      -0.295
    5      1      29.544       6.761      22.799       0.000       0.000       0.000      50.847      -8.257      -0.295
    6      1      29.055       5.531      22.219       0.000       0.000       0.000      48.599      -8.205      -0.293
    7      1      26.646       6.591      25.447       0.000       0.000       0.000      50.687      -7.996      -0.286
    8      1      28.477       4.607      22.303       0.000       0.000       0.000      47.418      -7.969      -0.285
    9      1      27.871       5.312      22.429       0.000       0.000       0.000      47.651      -7.961      -0.284
   10      1      26.233       7.831      26.400       0.000       0.000       0.000      52.504      -7.960      -0.284
   11      1      29.295       6.404      26.459       0.000       0.000       0.000      54.215      -7.943      -0.284
   12      1      27.255       6.620      24.681       0.000       0.000       0.000      50.656      -7.900      -0.282
   13      1      29.689       7.448      29.624       0.000       0.000       0.000      58.875      -7.886      -0.282
   14      1      27.491       5.320      23.018       0.000       0.000       0.000      47.961      -7.868      -0.281
   15      1      26.882       7.469      26.247       0.000       0.000       0.000      52.733      -7.865      -0.281
   16      1      27.419       6.512      24.594       0.000       0.000       0.000      50.663      -7.861      -0.281
   17      1      32.480       6.693      24.160       0.000       0.000       0.000      55.505      -7.830      -0.280
   18      1      26.085       6.962      25.568       0.000       0.000       0.000      50.788      -7.827      -0.280
   19      1      30.830       5.703      21.967       0.000       0.000       0.000      50.673      -7.827      -0.280
   20      1      26.746       6.797      25.426       0.000       0.000       0.000      51.171      -7.799      -0.279
   21      1      28.351       5.522      22.201       0.000       0.000       0.000      48.290      -7.783      -0.278
   22      1      27.500       6.830      24.863       0.000       0.000       0.000      51.410      -7.783      -0.278
   23      1      26.368       7.492      25.707       0.000       0.000       0.000      51.801      -7.766      -0.277
   24      1      27.711       5.359      22.455       0.000       0.000       0.000      47.766      -7.759      -0.277
   25      1      28.006       5.353      22.189       0.000       0.000       0.000      47.805      -7.744      -0.277
   26      1      30.052       5.593      21.609       0.000       0.000       0.000      49.511      -7.743      -0.277
   27      1      28.102       5.309      22.022       0.000       0.000       0.000      47.703      -7.730      -0.276
   28      1      27.731       7.380      30.080       0.000       0.000       0.000      57.463      -7.728      -0.276
   29      1      28.747       4.551      22.146       0.000       0.000       0.000      47.721      -7.724      -0.276
   30      1      29.571       6.728      24.269       0.000       0.000       0.000      52.845      -7.723      -0.276
   31      1      27.940       5.448      22.247       0.000       0.000       0.000      47.918      -7.717      -0.276
   32      1      26.387       6.874      25.433       0.000       0.000       0.000      51.003      -7.692      -0.275
   33      1      28.865       5.304      21.431       0.000       0.000       0.000      47.927      -7.673      -0.274
   34      1      26.880       6.448      25.256       0.000       0.000       0.000      50.920      -7.664      -0.274
   35      1      28.361       5.431      21.736       0.000       0.000       0.000      47.873      -7.656      -0.273
   36      1      28.435       5.503      21.985       0.000       0.000       0.000      48.273      -7.649      -0.273
   37      1      28.374       5.408      21.792       0.000       0.000       0.000      47.946      -7.627      -0.272
   38      1      28.260       6.747      23.875       0.000       0.000       0.000      51.262      -7.620      -0.272
   39      1      28.494       5.360      21.673       0.000       0.000       0.000      47.907      -7.620      -0.272
   40      1      27.765       4.386      23.526       0.000       0.000       0.000      48.077      -7.599      -0.271
   41      1      28.293       8.449      28.491       0.000       0.000       0.000      57.641      -7.591      -0.271
   42      1      26.388       7.588      25.387       0.000       0.000       0.000      51.777      -7.586      -0.271
   43      1      28.691       4.411      22.360       0.000       0.000       0.000      47.890      -7.572      -0.270
   44      1      28.317       5.319      21.850       0.000       0.000       0.000      47.923      -7.564      -0.270
   45      1      27.610       5.415      22.832       0.000       0.000       0.000      48.304      -7.553      -0.270
   46      1      29.175       6.323      26.887       0.000       0.000       0.000      54.834      -7.551      -0.270
   47      1      26.832       7.880      25.620       0.000       0.000       0.000      52.788      -7.544      -0.269
   48      1      30.401       5.827      22.222       0.000       0.000       0.000      50.905      -7.544      -0.269
   49      1      28.514       7.465      29.445       0.000       0.000       0.000      57.886      -7.539      -0.269
   50      1      26.985       6.612      25.036       0.000       0.000       0.000      51.098      -7.535      -0.269
