  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      27.747       6.231      18.212       0.000       0.000       0.000      43.617      -8.573      -0.318
    2      1      24.053       3.642      14.909       0.000       0.000       0.000      34.280      -8.325      -0.308
    3      1      23.676       3.694      14.881       0.000       0.000       0.000      33.978      -8.273      -0.306
    4      1      22.437       4.835      19.199       0.000       0.000       0.000      38.262      -8.208      -0.304
    5      1      24.097       3.890      14.831       0.000       0.000       0.000      34.626      -8.192      -0.303
    6      1      23.821       3.712      14.741       0.000       0.000       0.000      34.154      -8.120      -0.301
    7      1      23.885       4.807      16.673       0.000       0.000       0.000      37.255      -8.110      -0.300
    8      1      24.532       3.763      14.371       0.000       0.000       0.000      34.587      -8.079      -0.299
    9      1      24.115       4.852      18.762       0.000       0.000       0.000      39.655      -8.074      -0.299
   10      1      25.456       5.315      14.615       0.000       0.000       0.000      37.342      -8.043      -0.298
   11      1      23.790       3.731      14.850       0.000       0.000       0.000      34.349      -8.021      -0.297
   12      1      25.474       3.943      14.326       0.000       0.000       0.000      35.744      -7.999      -0.296
   13      1      27.886       6.130      17.930       0.000       0.000       0.000      43.972      -7.974      -0.295
   14      1      23.771       4.987      17.997       0.000       0.000       0.000      38.798      -7.956      -0.295
   15      1      26.202       3.849      13.800       0.000       0.000       0.000      35.895      -7.956      -0.295
   16      1      27.958       6.054      18.025       0.000       0.000       0.000      44.097      -7.939      -0.294
   17      1      21.023       3.418      23.589       0.000       0.000       0.000      40.094      -7.936      -0.294
   18      1      30.379       5.968      23.030       0.000       0.000       0.000      51.455      -7.922      -0.293
   19      1      22.368       5.735      17.440       0.000       0.000       0.000      37.626      -7.917      -0.293
   20      1      24.653       3.699      14.875       0.000       0.000       0.000      35.342      -7.884      -0.292
   21      1      20.081       4.780      17.539       0.000       0.000       0.000      34.543      -7.857      -0.291
   22      1      22.787       3.606      16.054       0.000       0.000       0.000      34.616      -7.831      -0.290
   23      1      22.277       4.788      16.963       0.000       0.000       0.000      36.197      -7.830      -0.290
   24      1      23.197       5.041      18.790       0.000       0.000       0.000      39.200      -7.827      -0.290
   25      1      27.056       4.994      17.340       0.000       0.000       0.000      41.565      -7.825      -0.290
   26      1      24.528       4.707      18.469       0.000       0.000       0.000      39.900      -7.803      -0.289
   27      1      24.600       4.892      18.068       0.000       0.000       0.000      39.762      -7.797      -0.289
   28      1      23.808       3.693      14.761       0.000       0.000       0.000      34.465      -7.797      -0.289
   29      1      21.809       6.080      17.325       0.000       0.000       0.000      37.425      -7.788      -0.288
   30      1      23.802       3.648      14.882       0.000       0.000       0.000      34.548      -7.784      -0.288
   31      1      21.987       4.787      17.420       0.000       0.000       0.000      36.422      -7.771      -0.288
   32      1      21.927       4.755      17.289       0.000       0.000       0.000      36.202      -7.769      -0.288
   33      1      22.643       4.667      16.793       0.000       0.000       0.000      36.337      -7.766      -0.288
   34      1      20.155       4.738      17.973       0.000       0.000       0.000      35.104      -7.762      -0.287
   35      1      23.291       3.667      15.741       0.000       0.000       0.000      34.945      -7.753      -0.287
   36      1      24.844       5.821      14.843       0.000       0.000       0.000      37.760      -7.748      -0.287
   37      1      21.405       4.664      16.690       0.000       0.000       0.000      35.018      -7.740      -0.287
   38      1      23.296       3.911      15.343       0.000       0.000       0.000      34.815      -7.735      -0.286
   39      1      27.696       6.195      18.098       0.000       0.000       0.000      44.264      -7.725      -0.286
   40      1      25.057       4.823      17.768       0.000       0.000       0.000      39.930      -7.719      -0.286
   41      1      24.985       5.324      21.872       0.000       0.000       0.000      44.492      -7.689      -0.285
   42      1      24.972       4.579      24.424       0.000       0.000       0.000      46.298      -7.677      -0.284
   43      1      24.015       4.807      16.547       0.000       0.000       0.000      37.701      -7.669      -0.284
   44      1      21.823       4.811      17.318       0.000       0.000       0.000      36.286      -7.666      -0.284
   45      1      22.468       4.600      16.763       0.000       0.000       0.000      36.179      -7.651      -0.283
   46      1      22.448       4.678      16.629       0.000       0.000       0.000      36.106      -7.650      -0.283
   47      1      23.100       4.559      17.911       0.000       0.000       0.000      37.924      -7.647      -0.283
   48      1      25.608       3.959      14.399       0.000       0.000       0.000      36.323      -7.642      -0.283
   49      1      22.600       4.709      16.828       0.000       0.000       0.000      36.495      -7.642      -0.283
   50      1      22.431       4.621      16.688       0.000       0.000       0.000      36.122      -7.617      -0.282
