  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      31.648       6.070      23.029       0.000       0.000       0.000      51.854      -8.893      -0.307
    2      1      28.327       5.992      22.351       0.000       0.000       0.000      47.987      -8.684      -0.299
    3      1      30.602       5.740      27.675       0.000       0.000       0.000      55.450      -8.566      -0.295
    4      1      30.051       6.949      22.017       0.000       0.000       0.000      50.553      -8.464      -0.292
    5      1      30.684       5.231      16.020       0.000       0.000       0.000      43.516      -8.419      -0.290
    6      1      29.768       5.333      16.585       0.000       0.000       0.000      43.436      -8.250      -0.284
    7      1      30.111       6.175      17.097       0.000       0.000       0.000      45.182      -8.200      -0.283
    8      1      29.774       6.186      17.330       0.000       0.000       0.000      45.103      -8.187      -0.282
    9      1      32.056       6.089      22.573       0.000       0.000       0.000      52.548      -8.169      -0.282
   10      1      29.762       5.334      16.595       0.000       0.000       0.000      43.564      -8.127      -0.280
   11      1      28.896       4.996      16.420       0.000       0.000       0.000      42.199      -8.113      -0.280
   12      1      25.763       7.924      20.901       0.000       0.000       0.000      46.483      -8.106      -0.280
   13      1      29.696       6.623      22.090       0.000       0.000       0.000      50.304      -8.105      -0.279
   14      1      25.809       7.943      20.661       0.000       0.000       0.000      46.314      -8.098      -0.279
   15      1      29.373       5.094      17.656       0.000       0.000       0.000      44.029      -8.094      -0.279
   16      1      30.296       5.102      16.378       0.000       0.000       0.000      43.693      -8.083      -0.279
   17      1      27.225       6.529      24.535       0.000       0.000       0.000      50.211      -8.078      -0.279
   18      1      32.741       6.606      19.066       0.000       0.000       0.000      50.358      -8.055      -0.278
   19      1      28.796       7.187      24.113       0.000       0.000       0.000      52.053      -8.043      -0.277
   20      1      26.372       6.690      20.254       0.000       0.000       0.000      45.304      -8.013      -0.276
   21      1      29.049       4.953      16.143       0.000       0.000       0.000      42.180      -7.964      -0.275
   22      1      28.627       6.131      18.496       0.000       0.000       0.000      45.293      -7.962      -0.275
   23      1      30.397       5.039      16.322       0.000       0.000       0.000      43.797      -7.960      -0.274
   24      1      30.294       5.155      16.351       0.000       0.000       0.000      43.840      -7.960      -0.274
   25      1      30.499       5.071      16.206       0.000       0.000       0.000      43.818      -7.959      -0.274
   26      1      29.834       7.641      19.032       0.000       0.000       0.000      48.548      -7.958      -0.274
   27      1      29.543       4.947      17.531       0.000       0.000       0.000      44.073      -7.949      -0.274
   28      1      29.304       4.880      15.978       0.000       0.000       0.000      42.220      -7.942      -0.274
   29      1      30.991       5.171      15.768       0.000       0.000       0.000      43.990      -7.940      -0.274
   30      1      29.321       4.862      16.006       0.000       0.000       0.000      42.261      -7.928      -0.273
   31      1      27.095       7.489      20.168       0.000       0.000       0.000      46.825      -7.926      -0.273
   32      1      29.195       8.075      24.042       0.000       0.000       0.000      53.389      -7.924      -0.273
   33      1      28.581       4.857      16.663       0.000       0.000       0.000      42.186      -7.916      -0.273
   34      1      26.046       7.968      20.339       0.000       0.000       0.000      46.452      -7.901      -0.272
   35      1      27.361       7.485      19.877       0.000       0.000       0.000      46.832      -7.892      -0.272
   36      1      27.353       7.497      19.775       0.000       0.000       0.000      46.734      -7.890      -0.272
   37      1      28.366       4.878      17.214       0.000       0.000       0.000      42.568      -7.890      -0.272
   38      1      27.253       7.411      19.826       0.000       0.000       0.000      46.610      -7.880      -0.272
   39      1      27.757       7.365      19.408       0.000       0.000       0.000      46.657      -7.873      -0.271
   40      1      29.659       5.118      17.143       0.000       0.000       0.000      44.052      -7.868      -0.271
   41      1      28.058       7.396      19.122       0.000       0.000       0.000      46.711      -7.865      -0.271
   42      1      28.602       7.503      19.593       0.000       0.000       0.000      47.836      -7.863      -0.271
   43      1      28.261       4.869      16.998       0.000       0.000       0.000      42.265      -7.862      -0.271
   44      1      29.328       7.652      19.384       0.000       0.000       0.000      48.508      -7.856      -0.271
   45      1      30.548       5.957      27.332       0.000       0.000       0.000      55.983      -7.855      -0.271
   46      1      27.517       7.559      19.543       0.000       0.000       0.000      46.772      -7.848      -0.271
   47      1      29.808       6.435      18.383       0.000       0.000       0.000      46.781      -7.845      -0.271
   48      1      27.237       7.498      19.921       0.000       0.000       0.000      46.825      -7.831      -0.270
   49      1      28.289       4.766      17.148       0.000       0.000       0.000      42.374      -7.828      -0.270
   50      1      27.449       7.531      19.700       0.000       0.000       0.000      46.867      -7.813      -0.269
