  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      26.058       5.388      16.502       0.000       0.000       0.000      37.454     -10.494      -0.375
    2      1      24.779       3.552      15.488       0.000       0.000       0.000      33.327     -10.491      -0.375
    3      1      25.328       3.487      15.228       0.000       0.000       0.000      33.566     -10.478      -0.374
    4      1      25.058       4.977      18.085       0.000       0.000       0.000      37.679     -10.441      -0.373
    5      1      24.545       3.539      15.713       0.000       0.000       0.000      33.430     -10.367      -0.370
    6      1      24.533       3.509      15.853       0.000       0.000       0.000      33.530     -10.365      -0.370
    7      1      24.817       3.419      15.627       0.000       0.000       0.000      33.508     -10.355      -0.370
    8      1      24.790       3.438      15.665       0.000       0.000       0.000      33.579     -10.314      -0.368
    9      1      24.964       3.522      15.344       0.000       0.000       0.000      33.516     -10.314      -0.368
   10      1      25.081       3.474      15.442       0.000       0.000       0.000      33.701     -10.297      -0.368
   11      1      24.376       3.494      15.863       0.000       0.000       0.000      33.555     -10.178      -0.363
   12      1      24.991       3.605      15.253       0.000       0.000       0.000      33.694     -10.154      -0.363
   13      1      24.886       3.639      15.306       0.000       0.000       0.000      33.772     -10.059      -0.359
   14      1      24.849       3.542      15.624       0.000       0.000       0.000      33.972     -10.042      -0.359
   15      1      25.003       3.618      15.143       0.000       0.000       0.000      33.723     -10.041      -0.359
   16      1      25.090       3.583      15.329       0.000       0.000       0.000      33.968     -10.035      -0.358
   17      1      23.516       5.218      19.211       0.000       0.000       0.000      37.926     -10.020      -0.358
   18      1      24.663       3.561      15.741       0.000       0.000       0.000      33.963     -10.002      -0.357
   19      1      25.040       3.487      15.395       0.000       0.000       0.000      33.924      -9.999      -0.357
   20      1      24.908       3.530      15.475       0.000       0.000       0.000      33.936      -9.976      -0.356
   21      1      24.760       6.304      20.973       0.000       0.000       0.000      42.086      -9.951      -0.355
   22      1      24.792       5.947      21.534       0.000       0.000       0.000      42.338      -9.935      -0.355
   23      1      24.568       3.621      15.780       0.000       0.000       0.000      34.036      -9.933      -0.355
   24      1      26.652       4.700      17.350       0.000       0.000       0.000      38.865      -9.837      -0.351
   25      1      27.131       4.728      17.211       0.000       0.000       0.000      39.267      -9.804      -0.350
   26      1      24.261       6.213      21.459       0.000       0.000       0.000      42.159      -9.773      -0.349
   27      1      28.231       4.790      18.119       0.000       0.000       0.000      41.417      -9.723      -0.347
   28      1      24.740       3.581      15.274       0.000       0.000       0.000      33.897      -9.699      -0.346
   29      1      24.226       3.472      15.695       0.000       0.000       0.000      33.697      -9.696      -0.346
   30      1      25.604       5.318      17.071       0.000       0.000       0.000      38.326      -9.667      -0.345
   31      1      24.738       4.594      16.181       0.000       0.000       0.000      35.852      -9.661      -0.345
   32      1      27.586       3.822      14.146       0.000       0.000       0.000      35.894      -9.659      -0.345
   33      1      25.887       5.793      17.846       0.000       0.000       0.000      39.876      -9.650      -0.345
   34      1      24.828       3.534      15.426       0.000       0.000       0.000      34.165      -9.622      -0.344
   35      1      25.731       5.327      16.849       0.000       0.000       0.000      38.303      -9.604      -0.343
   36      1      24.384       4.649      16.409       0.000       0.000       0.000      35.858      -9.584      -0.342
   37      1      25.890       5.455      16.807       0.000       0.000       0.000      38.569      -9.584      -0.342
   38      1      26.451       4.712      17.530       0.000       0.000       0.000      39.110      -9.583      -0.342
   39      1      24.665       5.902      21.680       0.000       0.000       0.000      42.679      -9.567      -0.342
   40      1      26.820       4.651      17.531       0.000       0.000       0.000      39.440      -9.562      -0.341
   41      1      26.656       4.652      17.416       0.000       0.000       0.000      39.163      -9.562      -0.341
   42      1      24.998       3.552      14.998       0.000       0.000       0.000      34.001      -9.546      -0.341
   43      1      24.940       3.543      15.185       0.000       0.000       0.000      34.143      -9.526      -0.340
   44      1      25.412       5.835      20.927       0.000       0.000       0.000      42.650      -9.523      -0.340
   45      1      26.181       6.015      21.577       0.000       0.000       0.000      44.268      -9.505      -0.339
   46      1      24.558       3.551      15.691       0.000       0.000       0.000      34.310      -9.490      -0.339
   47      1      27.415       4.695      16.750       0.000       0.000       0.000      39.379      -9.482      -0.339
   48      1      27.159       3.766      14.390       0.000       0.000       0.000      35.844      -9.471      -0.338
   49      1      25.063       3.520      15.070       0.000       0.000       0.000      34.183      -9.470      -0.338
   50      1      26.744       3.717      14.872       0.000       0.000       0.000      35.871      -9.462      -0.338
