  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.638       4.068      14.606       0.000       0.000       0.000      32.666     -10.646      -0.394
    2      1      24.312       4.113      14.905       0.000       0.000       0.000      32.745     -10.585      -0.392
    3      1      24.604       4.069      14.651       0.000       0.000       0.000      32.738     -10.585      -0.392
    4      1      24.305       4.129      14.952       0.000       0.000       0.000      33.033     -10.353      -0.383
    5      1      24.736       4.049      14.504       0.000       0.000       0.000      32.964     -10.324      -0.382
    6      1      24.615       4.069      14.591       0.000       0.000       0.000      32.973     -10.302      -0.382
    7      1      25.546       5.603      15.051       0.000       0.000       0.000      36.072     -10.128      -0.375
    8      1      24.883       4.018      14.416       0.000       0.000       0.000      33.225     -10.092      -0.374
    9      1      27.434       6.215      20.861       0.000       0.000       0.000      44.466     -10.044      -0.372
   10      1      23.728       4.101      15.385       0.000       0.000       0.000      33.209     -10.005      -0.371
   11      1      27.515       6.202      20.838       0.000       0.000       0.000      44.569      -9.987      -0.370
   12      1      24.263       4.032      15.295       0.000       0.000       0.000      33.605      -9.985      -0.370
   13      1      28.163       6.452      18.416       0.000       0.000       0.000      43.057      -9.974      -0.369
   14      1      25.547       5.584      15.058       0.000       0.000       0.000      36.246      -9.942      -0.368
   15      1      24.029       4.124      15.152       0.000       0.000       0.000      33.375      -9.930      -0.368
   16      1      24.341       5.352      17.787       0.000       0.000       0.000      37.575      -9.905      -0.367
   17      1      25.322       6.205      14.781       0.000       0.000       0.000      36.408      -9.901      -0.367
   18      1      24.471       6.805      18.802       0.000       0.000       0.000      40.177      -9.901      -0.367
   19      1      24.408       4.060      14.850       0.000       0.000       0.000      33.418      -9.900      -0.367
   20      1      26.900       5.322      16.401       0.000       0.000       0.000      38.726      -9.897      -0.367
   21      1      24.685       3.971      14.488       0.000       0.000       0.000      33.260      -9.884      -0.366
   22      1      23.757       4.200      15.352       0.000       0.000       0.000      33.445      -9.864      -0.365
   23      1      24.667       4.043      14.686       0.000       0.000       0.000      33.562      -9.835      -0.364
   24      1      25.354       6.146      14.860       0.000       0.000       0.000      36.535      -9.825      -0.364
   25      1      29.341       6.266      24.827       0.000       0.000       0.000      50.638      -9.796      -0.363
   26      1      23.766       4.044      15.444       0.000       0.000       0.000      33.464      -9.790      -0.363
   27      1      23.341       5.765      18.598       0.000       0.000       0.000      37.928      -9.777      -0.362
   28      1      30.020       6.281      24.033       0.000       0.000       0.000      50.584      -9.750      -0.361
   29      1      25.952       5.659      14.646       0.000       0.000       0.000      36.511      -9.745      -0.361
   30      1      24.668       3.959      14.473       0.000       0.000       0.000      33.358      -9.742      -0.361
   31      1      24.552       4.049      14.633       0.000       0.000       0.000      33.496      -9.738      -0.361
   32      1      26.055       5.681      14.681       0.000       0.000       0.000      36.779      -9.637      -0.357
   33      1      23.863       5.340      18.131       0.000       0.000       0.000      37.704      -9.630      -0.357
   34      1      24.540       5.186      17.966       0.000       0.000       0.000      38.065      -9.628      -0.357
   35      1      26.153       4.178      14.556       0.000       0.000       0.000      35.264      -9.623      -0.356
   36      1      24.668       3.989      14.646       0.000       0.000       0.000      33.751      -9.552      -0.354
   37      1      20.511       5.031      17.677       0.000       0.000       0.000      33.681      -9.539      -0.353
   38      1      23.838       4.153      15.244       0.000       0.000       0.000      33.720      -9.515      -0.352
   39      1      27.026       6.447      21.352       0.000       0.000       0.000      45.345      -9.480      -0.351
   40      1      28.336       6.460      18.474       0.000       0.000       0.000      43.799      -9.471      -0.351
   41      1      21.135       5.116      17.261       0.000       0.000       0.000      34.063      -9.450      -0.350
   42      1      20.970       4.990      17.087       0.000       0.000       0.000      33.611      -9.436      -0.349
   43      1      25.666       5.682      14.984       0.000       0.000       0.000      36.901      -9.431      -0.349
   44      1      25.645       5.669      14.989       0.000       0.000       0.000      36.885      -9.418      -0.349
   45      1      23.968       5.124      19.390       0.000       0.000       0.000      39.098      -9.383      -0.348
   46      1      23.706       3.739      15.682       0.000       0.000       0.000      33.776      -9.351      -0.346
   47      1      25.525       5.643      15.070       0.000       0.000       0.000      36.899      -9.340      -0.346
   48      1      24.113       3.673      15.319       0.000       0.000       0.000      33.788      -9.317      -0.345
   49      1      24.461       3.990      14.650       0.000       0.000       0.000      33.852      -9.249      -0.343
   50      1      24.407       5.211      18.075       0.000       0.000       0.000      38.450      -9.243      -0.342
