  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      16.130       2.847      19.583       0.000       0.000       0.000      28.771      -9.790      -0.363
    2      1      15.547       2.823      19.588       0.000       0.000       0.000      28.171      -9.788      -0.363
    3      1      13.118       2.607      21.844       0.000       0.000       0.000      27.868      -9.701      -0.359
    4      1      13.147       4.213      23.738       0.000       0.000       0.000      31.481      -9.618      -0.356
    5      1      13.743       4.243      26.161       0.000       0.000       0.000      34.592      -9.555      -0.354
    6      1      12.832       2.580      22.028       0.000       0.000       0.000      27.980      -9.460      -0.350
    7      1      13.353       1.626      18.059       0.000       0.000       0.000      23.620      -9.418      -0.349
    8      1      12.343       1.565      18.972       0.000       0.000       0.000      23.464      -9.416      -0.349
    9      1      12.287       2.884      21.216       0.000       0.000       0.000      27.085      -9.302      -0.345
   10      1      13.228       3.547      21.319       0.000       0.000       0.000      28.955      -9.140      -0.339
   11      1      13.504       1.610      18.062       0.000       0.000       0.000      24.036      -9.140      -0.339
   12      1      14.186       1.382      18.598       0.000       0.000       0.000      25.034      -9.132      -0.338
   13      1      12.515       1.583      18.522       0.000       0.000       0.000      23.500      -9.120      -0.338
   14      1      13.623       1.631      17.917       0.000       0.000       0.000      24.066      -9.106      -0.337
   15      1      12.970       2.786      21.591       0.000       0.000       0.000      28.258      -9.089      -0.337
   16      1      15.972       2.849      19.794       0.000       0.000       0.000      29.580      -9.036      -0.335
   17      1      13.938       1.594      17.963       0.000       0.000       0.000      24.584      -8.911      -0.330
   18      1      16.119       2.797      19.469       0.000       0.000       0.000      29.477      -8.909      -0.330
   19      1      13.472       4.504      23.608       0.000       0.000       0.000      32.678      -8.907      -0.330
   20      1      12.914       2.692      21.500       0.000       0.000       0.000      28.239      -8.866      -0.328
   21      1      13.500       2.919      21.072       0.000       0.000       0.000      28.626      -8.865      -0.328
   22      1      12.571       1.479      20.962       0.000       0.000       0.000      26.149      -8.863      -0.328
   23      1      13.471       1.612      17.918       0.000       0.000       0.000      24.153      -8.849      -0.328
   24      1      13.029       1.568      18.005       0.000       0.000       0.000      23.755      -8.846      -0.328
   25      1      13.487       1.611      17.590       0.000       0.000       0.000      23.846      -8.841      -0.327
   26      1      14.668       2.828      22.193       0.000       0.000       0.000      30.851      -8.838      -0.327
   27      1      13.973       3.145      20.661       0.000       0.000       0.000      28.949      -8.829      -0.327
   28      1      13.063       2.897      21.184       0.000       0.000       0.000      28.315      -8.829      -0.327
   29      1      12.190       1.595      18.384       0.000       0.000       0.000      23.341      -8.827      -0.327
   30      1      13.950       4.017      24.041       0.000       0.000       0.000      33.198      -8.811      -0.326
   31      1      13.718       1.538      18.369       0.000       0.000       0.000      24.842      -8.782      -0.325
   32      1      13.631       1.624      17.727       0.000       0.000       0.000      24.207      -8.774      -0.325
   33      1      12.947       2.816      21.342       0.000       0.000       0.000      28.334      -8.771      -0.325
   34      1      10.797       3.760      20.595       0.000       0.000       0.000      26.389      -8.764      -0.325
   35      1      16.248       2.789      20.169       0.000       0.000       0.000      30.445      -8.761      -0.324
   36      1      11.363       3.082      21.695       0.000       0.000       0.000      27.380      -8.760      -0.324
   37      1      12.329       1.501      18.376       0.000       0.000       0.000      23.475      -8.731      -0.323
   38      1      12.245       2.796      20.981       0.000       0.000       0.000      27.330      -8.692      -0.322
   39      1      12.814       3.026      20.386       0.000       0.000       0.000      27.536      -8.690      -0.322
   40      1      12.268       3.458      26.490       0.000       0.000       0.000      33.535      -8.681      -0.322
   41      1      10.091       3.507      23.884       0.000       0.000       0.000      28.834      -8.648      -0.320
   42      1      15.650       2.820      19.500       0.000       0.000       0.000      29.346      -8.623      -0.319
   43      1      11.713       2.807      21.728       0.000       0.000       0.000      27.651      -8.598      -0.318
   44      1      13.708       3.477      20.807       0.000       0.000       0.000      29.406      -8.586      -0.318
   45      1      12.893       3.574      21.368       0.000       0.000       0.000      29.250      -8.586      -0.318
   46      1      15.780       2.830      19.931       0.000       0.000       0.000      29.965      -8.576      -0.318
   47      1      13.463       1.775      17.700       0.000       0.000       0.000      24.371      -8.568      -0.317
   48      1      13.542       1.542      18.544       0.000       0.000       0.000      25.060      -8.567      -0.317
   49      1      11.913       2.793      21.271       0.000       0.000       0.000      27.423      -8.555      -0.317
   50      1      12.671       3.051      20.369       0.000       0.000       0.000      27.546      -8.545      -0.316
