  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.229       4.965      18.581       0.000       0.000       0.000      37.180     -10.595      -0.392
    2      1      24.216       4.984      18.511       0.000       0.000       0.000      37.209     -10.502      -0.389
    3      1      26.747       4.795      20.012       0.000       0.000       0.000      41.079     -10.475      -0.388
    4      1      24.588       4.952      18.303       0.000       0.000       0.000      37.448     -10.396      -0.385
    5      1      26.252       5.143      18.027       0.000       0.000       0.000      39.073     -10.349      -0.383
    6      1      24.098       3.512      16.081       0.000       0.000       0.000      33.464     -10.227      -0.379
    7      1      24.376       3.582      15.637       0.000       0.000       0.000      33.565     -10.030      -0.371
    8      1      24.393       3.612      15.666       0.000       0.000       0.000      33.646     -10.025      -0.371
    9      1      24.518       3.633      15.489       0.000       0.000       0.000      33.662      -9.978      -0.370
   10      1      24.400       3.590      15.754       0.000       0.000       0.000      33.796      -9.948      -0.368
   11      1      24.506       5.751      21.700       0.000       0.000       0.000      42.044      -9.912      -0.367
   12      1      24.100       3.570      15.819       0.000       0.000       0.000      33.623      -9.866      -0.365
   13      1      24.016       6.347      21.638       0.000       0.000       0.000      42.253      -9.747      -0.361
   14      1      24.582       3.582      15.660       0.000       0.000       0.000      34.120      -9.704      -0.359
   15      1      24.559       3.495      15.421       0.000       0.000       0.000      33.792      -9.682      -0.359
   16      1      24.237       3.540      15.752       0.000       0.000       0.000      33.851      -9.679      -0.358
   17      1      24.123       3.604      15.803       0.000       0.000       0.000      33.905      -9.625      -0.356
   18      1      23.638       3.575      15.852       0.000       0.000       0.000      33.453      -9.613      -0.356
   19      1      26.476       4.724      17.550       0.000       0.000       0.000      39.143      -9.607      -0.356
   20      1      24.452       5.845      21.621       0.000       0.000       0.000      42.317      -9.601      -0.356
   21      1      24.147       5.923      21.805       0.000       0.000       0.000      42.311      -9.565      -0.354
   22      1      24.533       3.535      15.331       0.000       0.000       0.000      33.847      -9.552      -0.354
   23      1      22.377       4.612      17.763       0.000       0.000       0.000      35.232      -9.520      -0.353
   24      1      25.652       6.696      19.593       0.000       0.000       0.000      42.423      -9.518      -0.353
   25      1      24.611       5.825      21.567       0.000       0.000       0.000      42.492      -9.511      -0.352
   26      1      24.295       3.535      15.559       0.000       0.000       0.000      33.889      -9.500      -0.352
   27      1      23.625       3.524      16.013       0.000       0.000       0.000      33.662      -9.500      -0.352
   28      1      24.632       3.578      16.042       0.000       0.000       0.000      34.763      -9.489      -0.351
   29      1      24.689       3.555      15.289       0.000       0.000       0.000      34.096      -9.437      -0.350
   30      1      25.541       5.477      17.058       0.000       0.000       0.000      38.642      -9.434      -0.349
   31      1      22.467       4.607      17.558       0.000       0.000       0.000      35.199      -9.432      -0.349
   32      1      24.376       3.614      15.629       0.000       0.000       0.000      34.193      -9.426      -0.349
   33      1      24.407       3.537      15.428       0.000       0.000       0.000      33.994      -9.379      -0.347
   34      1      23.677       3.495      15.846       0.000       0.000       0.000      33.650      -9.368      -0.347
   35      1      24.702       3.521      15.322       0.000       0.000       0.000      34.189      -9.357      -0.347
   36      1      24.974       3.557      14.935       0.000       0.000       0.000      34.118      -9.347      -0.346
   37      1      26.380       3.764      15.157       0.000       0.000       0.000      35.980      -9.321      -0.345
   38      1      22.877       4.627      16.989       0.000       0.000       0.000      35.175      -9.319      -0.345
   39      1      24.606       5.700      22.232       0.000       0.000       0.000      43.226      -9.312      -0.345
   40      1      24.558       3.425      15.537       0.000       0.000       0.000      34.232      -9.287      -0.344
   41      1      24.724       6.347      21.606       0.000       0.000       0.000      43.486      -9.190      -0.340
   42      1      22.999       4.688      16.821       0.000       0.000       0.000      35.318      -9.190      -0.340
   43      1      25.021       3.551      14.899       0.000       0.000       0.000      34.292      -9.180      -0.340
   44      1      23.132       4.631      16.703       0.000       0.000       0.000      35.295      -9.171      -0.340
   45      1      24.324       6.231      21.292       0.000       0.000       0.000      42.693      -9.153      -0.339
   46      1      27.571       4.743      17.558       0.000       0.000       0.000      40.745      -9.127      -0.338
   47      1      26.090       3.691      15.704       0.000       0.000       0.000      36.370      -9.115      -0.338
   48      1      25.525       5.305      16.944       0.000       0.000       0.000      38.685      -9.088      -0.337
   49      1      26.003       3.728      15.382       0.000       0.000       0.000      36.025      -9.087      -0.337
   50      1      23.486       3.623      16.828       0.000       0.000       0.000      34.850      -9.087      -0.337
