  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.876       4.401      29.177       0.000       0.000       0.000      50.352      -8.102      -0.300
    2      1      34.569       4.324      18.356       0.000       0.000       0.000      49.212      -8.038      -0.298
    3      1      25.017       4.185      29.546       0.000       0.000       0.000      50.762      -7.985      -0.296
    4      1      33.037       6.389      22.250       0.000       0.000       0.000      53.827      -7.849      -0.291
    5      1      34.517       4.363      18.421       0.000       0.000       0.000      49.455      -7.846      -0.291
    6      1      34.386       6.212      25.963       0.000       0.000       0.000      58.728      -7.834      -0.290
    7      1      33.107       4.790      20.240       0.000       0.000       0.000      50.399      -7.739      -0.287
    8      1      25.632       4.456      27.220       0.000       0.000       0.000      49.591      -7.718      -0.286
    9      1      34.705       4.327      18.399       0.000       0.000       0.000      49.728      -7.703      -0.285
   10      1      29.181       5.573      27.659       0.000       0.000       0.000      54.777      -7.637      -0.283
   11      1      31.588       6.306      22.600       0.000       0.000       0.000      52.875      -7.618      -0.282
   12      1      34.542       4.327      18.396       0.000       0.000       0.000      49.651      -7.614      -0.282
   13      1      31.249       6.244      22.997       0.000       0.000       0.000      52.881      -7.609      -0.282
   14      1      32.095       4.592      22.256       0.000       0.000       0.000      51.350      -7.593      -0.281
   15      1      26.116       3.991      30.983       0.000       0.000       0.000      53.504      -7.586      -0.281
   16      1      33.310       4.883      21.612       0.000       0.000       0.000      52.223      -7.582      -0.281
   17      1      29.911       5.650      25.097       0.000       0.000       0.000      53.090      -7.568      -0.280
   18      1      33.251       5.771      28.975       0.000       0.000       0.000      60.429      -7.567      -0.280
   19      1      40.086       4.524      22.919       0.000       0.000       0.000      59.972      -7.557      -0.280
   20      1      35.293       4.868      19.989       0.000       0.000       0.000      52.593      -7.557      -0.280
   21      1      25.381       4.047      31.876       0.000       0.000       0.000      53.760      -7.545      -0.279
   22      1      31.948       4.691      22.255       0.000       0.000       0.000      51.369      -7.525      -0.279
   23      1      33.034       6.485      21.916       0.000       0.000       0.000      53.915      -7.520      -0.279
   24      1      32.280       5.897      25.607       0.000       0.000       0.000      56.268      -7.515      -0.278
   25      1      24.496       5.175      25.119       0.000       0.000       0.000      47.285      -7.505      -0.278
   26      1      32.089       5.885      25.758       0.000       0.000       0.000      56.232      -7.500      -0.278
   27      1      31.421       6.414      22.786       0.000       0.000       0.000      53.135      -7.485      -0.277
   28      1      33.944       5.323      20.656       0.000       0.000       0.000      52.439      -7.484      -0.277
   29      1      33.908       4.143      18.317       0.000       0.000       0.000      48.887      -7.482      -0.277
   30      1      30.792       6.186      23.665       0.000       0.000       0.000      53.162      -7.481      -0.277
   31      1      36.527       6.049      30.163       0.000       0.000       0.000      65.270      -7.469      -0.277
   32      1      33.354       4.419      22.111       0.000       0.000       0.000      52.431      -7.453      -0.276
   33      1      31.341       6.389      22.253       0.000       0.000       0.000      52.534      -7.450      -0.276
   34      1      47.620       6.133      29.206       0.000       0.000       0.000      75.510      -7.449      -0.276
   35      1      28.760       5.797      27.207       0.000       0.000       0.000      54.373      -7.392      -0.274
   36      1      33.590       5.389      20.940       0.000       0.000       0.000      52.535      -7.384      -0.273
   37      1      32.969       4.830      20.072       0.000       0.000       0.000      50.487      -7.384      -0.273
   38      1      34.728       4.991      20.496       0.000       0.000       0.000      52.834      -7.380      -0.273
   39      1      31.253       4.452      23.414       0.000       0.000       0.000      51.749      -7.371      -0.273
   40      1      28.463       5.713      25.472       0.000       0.000       0.000      52.293      -7.355      -0.272
   41      1      25.096       5.127      25.176       0.000       0.000       0.000      48.053      -7.346      -0.272
   42      1      31.668       6.254      22.632       0.000       0.000       0.000      53.218      -7.336      -0.272
   43      1      34.616       4.227      18.046       0.000       0.000       0.000      49.556      -7.334      -0.272
   44      1      32.967       4.822      20.070       0.000       0.000       0.000      50.532      -7.327      -0.271
   45      1      33.826       4.151      18.720       0.000       0.000       0.000      49.371      -7.325      -0.271
   46      1      32.594       4.493      21.713       0.000       0.000       0.000      51.479      -7.322      -0.271
   47      1      34.877       4.887      20.121       0.000       0.000       0.000      52.564      -7.321      -0.271
   48      1      30.161       5.053      28.285       0.000       0.000       0.000      56.181      -7.319      -0.271
   49      1      34.019       4.217      18.495       0.000       0.000       0.000      49.430      -7.301      -0.270
   50      1      32.509       4.474      22.127       0.000       0.000       0.000      51.810      -7.301      -0.270
