  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      25.848       2.999      15.205       0.000       0.000       0.000      35.987      -8.065      -0.288
    2      1      25.599       2.944      15.522       0.000       0.000       0.000      36.003      -8.062      -0.288
    3      1      25.936       3.227      15.713       0.000       0.000       0.000      36.839      -8.037      -0.287
    4      1      25.468       4.122      18.044       0.000       0.000       0.000      39.629      -8.005      -0.286
    5      1      25.357       4.127      17.903       0.000       0.000       0.000      39.445      -7.942      -0.284
    6      1      23.584       5.027      17.630       0.000       0.000       0.000      38.308      -7.933      -0.283
    7      1      27.323       3.173      15.266       0.000       0.000       0.000      37.830      -7.932      -0.283
    8      1      25.495       2.881      15.894       0.000       0.000       0.000      36.353      -7.916      -0.283
    9      1      26.136       3.141      15.684       0.000       0.000       0.000      37.056      -7.904      -0.282
   10      1      27.320       3.238      15.268       0.000       0.000       0.000      37.936      -7.891      -0.282
   11      1      24.076       4.791      24.876       0.000       0.000       0.000      45.854      -7.889      -0.282
   12      1      21.982       4.112      18.050       0.000       0.000       0.000      36.339      -7.805      -0.279
   13      1      27.351       4.728      16.466       0.000       0.000       0.000      40.744      -7.800      -0.279
   14      1      23.606       4.871      25.257       0.000       0.000       0.000      45.942      -7.792      -0.278
   15      1      25.551       3.245      16.053       0.000       0.000       0.000      37.063      -7.786      -0.278
   16      1      25.561       3.062      15.529       0.000       0.000       0.000      36.374      -7.778      -0.278
   17      1      27.805       3.205      14.616       0.000       0.000       0.000      37.875      -7.751      -0.277
   18      1      26.012       4.111      17.338       0.000       0.000       0.000      39.727      -7.734      -0.276
   19      1      26.186       2.959      15.116       0.000       0.000       0.000      36.529      -7.731      -0.276
   20      1      26.097       3.011      15.080       0.000       0.000       0.000      36.465      -7.723      -0.276
   21      1      25.859       5.589      20.895       0.000       0.000       0.000      44.631      -7.712      -0.275
   22      1      24.117       4.952      17.224       0.000       0.000       0.000      38.584      -7.709      -0.275
   23      1      25.931       2.986      15.281       0.000       0.000       0.000      36.490      -7.709      -0.275
   24      1      23.859       4.964      17.411       0.000       0.000       0.000      38.545      -7.690      -0.275
   25      1      26.174       3.011      15.430       0.000       0.000       0.000      36.947      -7.668      -0.274
   26      1      25.464       3.003      15.622       0.000       0.000       0.000      36.426      -7.663      -0.274
   27      1      26.082       5.253      21.222       0.000       0.000       0.000      44.902      -7.655      -0.273
   28      1      23.685       4.123      17.749       0.000       0.000       0.000      37.904      -7.653      -0.273
   29      1      25.625       3.004      15.678       0.000       0.000       0.000      36.656      -7.651      -0.273
   30      1      25.557       2.992      15.687       0.000       0.000       0.000      36.591      -7.645      -0.273
   31      1      25.989       3.024      15.144       0.000       0.000       0.000      36.546      -7.611      -0.272
   32      1      26.701       3.085      14.885       0.000       0.000       0.000      37.075      -7.597      -0.271
   33      1      27.036       3.184      16.307       0.000       0.000       0.000      38.945      -7.582      -0.271
   34      1      25.363       3.092      15.875       0.000       0.000       0.000      36.784      -7.545      -0.269
   35      1      25.341       4.144      18.143       0.000       0.000       0.000      40.092      -7.536      -0.269
   36      1      25.174       2.984      15.995       0.000       0.000       0.000      36.627      -7.527      -0.269
   37      1      22.194       4.824      21.188       0.000       0.000       0.000      40.681      -7.524      -0.269
   38      1      23.915       4.215      17.718       0.000       0.000       0.000      38.325      -7.522      -0.269
   39      1      22.486       4.083      17.450       0.000       0.000       0.000      36.528      -7.490      -0.268
   40      1      22.551       4.044      17.465       0.000       0.000       0.000      36.585      -7.476      -0.267
   41      1      25.890       2.948      15.417       0.000       0.000       0.000      36.785      -7.469      -0.267
   42      1      24.992       4.056      16.898       0.000       0.000       0.000      38.497      -7.449      -0.266
   43      1      21.701       4.781      21.603       0.000       0.000       0.000      40.642      -7.444      -0.266
   44      1      24.625       2.893      16.110       0.000       0.000       0.000      36.185      -7.443      -0.266
   45      1      25.827       3.036      15.314       0.000       0.000       0.000      36.746      -7.431      -0.265
   46      1      27.509       4.785      16.287       0.000       0.000       0.000      41.151      -7.431      -0.265
   47      1      25.479       4.131      18.006       0.000       0.000       0.000      40.188      -7.428      -0.265
   48      1      26.149       2.992      15.159       0.000       0.000       0.000      36.875      -7.425      -0.265
   49      1      22.913       3.985      17.122       0.000       0.000       0.000      36.597      -7.423      -0.265
   50      1      23.113       5.000      20.350       0.000       0.000       0.000      41.054      -7.409      -0.265
