  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      29.272       7.467      28.302       0.000       0.000       0.000      56.440      -8.600      -0.307
    2      1      28.694       5.464      21.108       0.000       0.000       0.000      46.742      -8.524      -0.304
    3      1      28.794       5.449      21.111       0.000       0.000       0.000      46.858      -8.496      -0.303
    4      1      28.767       6.875      22.938       0.000       0.000       0.000      50.092      -8.488      -0.303
    5      1      27.341       6.889      25.077       0.000       0.000       0.000      50.871      -8.436      -0.301
    6      1      28.191       5.529      21.494       0.000       0.000       0.000      46.778      -8.436      -0.301
    7      1      27.961       5.540      21.787       0.000       0.000       0.000      46.867      -8.420      -0.301
    8      1      27.929       5.492      21.732       0.000       0.000       0.000      46.738      -8.415      -0.301
    9      1      28.463       5.465      21.244       0.000       0.000       0.000      46.776      -8.396      -0.300
   10      1      30.435       6.191      27.499       0.000       0.000       0.000      55.729      -8.395      -0.300
   11      1      31.202       6.843      25.391       0.000       0.000       0.000      55.047      -8.390      -0.300
   12      1      28.145       5.579      21.571       0.000       0.000       0.000      46.919      -8.375      -0.299
   13      1      31.086       7.931      37.434       0.000       0.000       0.000      68.099      -8.351      -0.298
   14      1      27.341       6.870      25.077       0.000       0.000       0.000      50.941      -8.348      -0.298
   15      1      28.315       5.490      21.360       0.000       0.000       0.000      46.830      -8.335      -0.298
   16      1      28.065       5.530      21.590       0.000       0.000       0.000      46.854      -8.332      -0.298
   17      1      27.959       5.425      21.861       0.000       0.000       0.000      46.916      -8.329      -0.297
   18      1      28.418       5.482      21.326       0.000       0.000       0.000      46.925      -8.302      -0.296
   19      1      28.274       5.525      21.360       0.000       0.000       0.000      46.861      -8.298      -0.296
   20      1      27.861       5.529      21.952       0.000       0.000       0.000      47.054      -8.288      -0.296
   21      1      28.232       5.450      21.634       0.000       0.000       0.000      47.028      -8.287      -0.296
   22      1      27.912       5.373      22.009       0.000       0.000       0.000      47.027      -8.267      -0.295
   23      1      27.970       5.505      22.104       0.000       0.000       0.000      47.335      -8.243      -0.294
   24      1      28.321       5.469      21.399       0.000       0.000       0.000      46.968      -8.221      -0.294
   25      1      29.938       6.716      24.724       0.000       0.000       0.000      53.160      -8.219      -0.294
   26      1      28.049       5.463      21.662       0.000       0.000       0.000      46.966      -8.208      -0.293
   27      1      28.193       5.512      21.456       0.000       0.000       0.000      46.955      -8.207      -0.293
   28      1      28.289       5.425      21.576       0.000       0.000       0.000      47.088      -8.201      -0.293
   29      1      27.844       5.447      22.014       0.000       0.000       0.000      47.108      -8.198      -0.293
   30      1      27.041       7.607      25.565       0.000       0.000       0.000      52.027      -8.186      -0.292
   31      1      30.410       5.669      20.994       0.000       0.000       0.000      48.895      -8.179      -0.292
   32      1      27.821       5.442      21.985       0.000       0.000       0.000      47.075      -8.173      -0.292
   33      1      27.526       5.466      22.378       0.000       0.000       0.000      47.208      -8.162      -0.291
   34      1      32.049       6.896      24.043       0.000       0.000       0.000      54.858      -8.130      -0.290
   35      1      28.153       5.481      21.685       0.000       0.000       0.000      47.196      -8.123      -0.290
   36      1      28.054       5.584      22.091       0.000       0.000       0.000      47.618      -8.111      -0.290
   37      1      27.757       6.744      24.810       0.000       0.000       0.000      51.210      -8.101      -0.289
   38      1      31.717       6.796      24.654       0.000       0.000       0.000      55.068      -8.100      -0.289
   39      1      31.693       6.864      24.553       0.000       0.000       0.000      55.015      -8.096      -0.289
   40      1      28.113       5.628      22.023       0.000       0.000       0.000      47.669      -8.095      -0.289
   41      1      32.811       6.762      23.942       0.000       0.000       0.000      55.424      -8.090      -0.289
   42      1      27.475       5.617      22.738       0.000       0.000       0.000      47.753      -8.077      -0.288
   43      1      28.613       5.840      32.282       0.000       0.000       0.000      58.668      -8.067      -0.288
   44      1      27.714       5.551      22.328       0.000       0.000       0.000      47.527      -8.067      -0.288
   45      1      25.274       6.976      25.959       0.000       0.000       0.000      50.168      -8.041      -0.287
   46      1      27.647       5.548      22.395       0.000       0.000       0.000      47.569      -8.020      -0.286
   47      1      27.849       6.735      24.735       0.000       0.000       0.000      51.308      -8.011      -0.286
   48      1      29.263       7.060      23.969       0.000       0.000       0.000      52.308      -7.984      -0.285
   49      1      28.233       5.492      21.563       0.000       0.000       0.000      47.317      -7.972      -0.285
   50      1      27.732       6.830      24.125       0.000       0.000       0.000      50.723      -7.964      -0.284
