  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      25.851       2.846      14.841       0.000       0.000       0.000      34.878      -8.660      -0.321
    2      1      26.230       2.844      14.296       0.000       0.000       0.000      35.005      -8.364      -0.310
    3      1      25.851       2.830      14.674       0.000       0.000       0.000      35.089      -8.266      -0.306
    4      1      30.957       5.051      24.303       0.000       0.000       0.000      52.136      -8.176      -0.303
    5      1      25.120       2.875      15.380       0.000       0.000       0.000      35.295      -8.080      -0.299
    6      1      27.102       3.121      14.679       0.000       0.000       0.000      36.843      -8.059      -0.298
    7      1      24.823       3.937      18.862       0.000       0.000       0.000      39.589      -8.033      -0.298
    8      1      26.892       4.375      15.086       0.000       0.000       0.000      38.406      -7.948      -0.294
    9      1      25.811       2.773      14.841       0.000       0.000       0.000      35.483      -7.942      -0.294
   10      1      24.864       2.952      15.556       0.000       0.000       0.000      35.437      -7.935      -0.294
   11      1      26.060       2.759      14.705       0.000       0.000       0.000      35.617      -7.907      -0.293
   12      1      25.792       2.663      15.084       0.000       0.000       0.000      35.654      -7.885      -0.292
   13      1      24.484       3.104      16.041       0.000       0.000       0.000      35.749      -7.881      -0.292
   14      1      27.037       4.366      14.911       0.000       0.000       0.000      38.437      -7.878      -0.292
   15      1      25.393       2.866      15.620       0.000       0.000       0.000      36.015      -7.865      -0.291
   16      1      26.486       4.940      14.952       0.000       0.000       0.000      38.542      -7.835      -0.290
   17      1      25.791       2.725      14.900       0.000       0.000       0.000      35.631      -7.785      -0.288
   18      1      25.823       2.876      15.277       0.000       0.000       0.000      36.198      -7.777      -0.288
   19      1      21.957       3.920      17.447       0.000       0.000       0.000      35.617      -7.706      -0.285
   20      1      26.279       2.833      14.327       0.000       0.000       0.000      35.752      -7.687      -0.285
   21      1      27.513       2.999      14.216       0.000       0.000       0.000      37.054      -7.673      -0.284
   22      1      24.550       4.748      18.341       0.000       0.000       0.000      39.969      -7.671      -0.284
   23      1      23.925       3.600      17.027       0.000       0.000       0.000      36.884      -7.668      -0.284
   24      1      24.139       3.979      19.471       0.000       0.000       0.000      39.926      -7.663      -0.284
   25      1      23.642       4.796      18.231       0.000       0.000       0.000      39.012      -7.656      -0.284
   26      1      25.717       2.791      14.885       0.000       0.000       0.000      35.743      -7.650      -0.283
   27      1      23.824       3.550      17.096       0.000       0.000       0.000      36.830      -7.640      -0.283
   28      1      23.555       3.463      21.978       0.000       0.000       0.000      41.361      -7.635      -0.283
   29      1      24.093       4.776      18.010       0.000       0.000       0.000      39.263      -7.616      -0.282
   30      1      25.240       4.417      18.420       0.000       0.000       0.000      40.480      -7.597      -0.281
   31      1      25.691       3.680      16.350       0.000       0.000       0.000      38.124      -7.596      -0.281
   32      1      25.262       2.947      15.499       0.000       0.000       0.000      36.115      -7.592      -0.281
   33      1      25.516       2.795      14.999       0.000       0.000       0.000      35.723      -7.586      -0.281
   34      1      24.842       4.430      18.730       0.000       0.000       0.000      40.422      -7.580      -0.281
   35      1      25.577       2.762      14.916       0.000       0.000       0.000      35.679      -7.577      -0.281
   36      1      23.715       3.646      17.274       0.000       0.000       0.000      37.081      -7.554      -0.280
   37      1      25.141       2.906      15.336       0.000       0.000       0.000      35.837      -7.546      -0.279
   38      1      24.713       4.374      17.698       0.000       0.000       0.000      39.244      -7.540      -0.279
   39      1      23.886       3.605      17.057       0.000       0.000       0.000      37.015      -7.534      -0.279
   40      1      25.113       3.248      18.322       0.000       0.000       0.000      39.149      -7.533      -0.279
   41      1      26.346       3.824      17.633       0.000       0.000       0.000      40.281      -7.522      -0.279
   42      1      25.468       3.878      16.743       0.000       0.000       0.000      38.569      -7.519      -0.278
   43      1      22.356       2.368      23.689       0.000       0.000       0.000      40.899      -7.514      -0.278
   44      1      24.438       5.237      16.685       0.000       0.000       0.000      38.848      -7.512      -0.278
   45      1      23.841       4.760      18.282       0.000       0.000       0.000      39.373      -7.511      -0.278
   46      1      25.397       3.648      16.853       0.000       0.000       0.000      38.393      -7.505      -0.278
   47      1      23.213       3.519      22.240       0.000       0.000       0.000      41.469      -7.502      -0.278
   48      1      28.483       4.909      21.161       0.000       0.000       0.000      47.054      -7.499      -0.278
   49      1      25.849       2.828      14.729       0.000       0.000       0.000      35.909      -7.498      -0.278
   50      1      23.895       3.617      16.957       0.000       0.000       0.000      36.975      -7.494      -0.278
