  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      25.262       4.732      28.716       0.000       0.000       0.000      50.402      -8.308      -0.308
    2      1      28.599       4.476      26.684       0.000       0.000       0.000      51.550      -8.209      -0.304
    3      1      24.631       4.475      29.285       0.000       0.000       0.000      50.237      -8.154      -0.302
    4      1      36.308       5.975      28.114       0.000       0.000       0.000      62.410      -7.987      -0.296
    5      1      32.883       5.802      25.815       0.000       0.000       0.000      56.558      -7.942      -0.294
    6      1      34.597       4.326      18.332       0.000       0.000       0.000      49.321      -7.936      -0.294
    7      1      27.349       5.539      27.887       0.000       0.000       0.000      52.841      -7.935      -0.294
    8      1      36.309       4.392      21.168       0.000       0.000       0.000      53.998      -7.872      -0.292
    9      1      31.371       6.058      26.987       0.000       0.000       0.000      56.583      -7.833      -0.290
   10      1      33.212       4.746      20.103       0.000       0.000       0.000      50.256      -7.804      -0.289
   11      1      26.615       4.227      30.385       0.000       0.000       0.000      53.429      -7.798      -0.289
   12      1      29.071       5.551      27.736       0.000       0.000       0.000      54.649      -7.709      -0.286
   13      1      33.159       4.753      21.967       0.000       0.000       0.000      52.215      -7.663      -0.284
   14      1      33.254       4.908      21.645       0.000       0.000       0.000      52.168      -7.639      -0.283
   15      1      32.760       4.658      22.507       0.000       0.000       0.000      52.286      -7.639      -0.283
   16      1      88.725       3.893      35.577       0.000       0.000       0.000     120.584      -7.611      -0.282
   17      1      33.454       4.157      18.800       0.000       0.000       0.000      48.813      -7.598      -0.281
   18      1      26.626       5.836      25.752       0.000       0.000       0.000      50.618      -7.596      -0.281
   19      1      33.242       4.863      20.816       0.000       0.000       0.000      51.330      -7.591      -0.281
   20      1      34.354       4.125      18.249       0.000       0.000       0.000      49.142      -7.586      -0.281
   21      1      33.154       4.816      19.995       0.000       0.000       0.000      50.383      -7.583      -0.281
   22      1      33.406       4.843      20.669       0.000       0.000       0.000      51.339      -7.578      -0.281
   23      1      34.093       5.815      26.389       0.000       0.000       0.000      58.734      -7.563      -0.280
   24      1      33.206       4.741      20.127       0.000       0.000       0.000      50.523      -7.551      -0.280
   25      1      31.522       6.311      22.670       0.000       0.000       0.000      52.960      -7.543      -0.279
   26      1      29.994       5.431      25.009       0.000       0.000       0.000      52.898      -7.537      -0.279
   27      1      32.997       4.665      21.167       0.000       0.000       0.000      51.310      -7.519      -0.278
   28      1      33.550       4.983      21.285       0.000       0.000       0.000      52.303      -7.515      -0.278
   29      1      35.025       4.782      20.265       0.000       0.000       0.000      52.559      -7.513      -0.278
   30      1      33.233       4.770      19.905       0.000       0.000       0.000      50.401      -7.508      -0.278
   31      1      33.783       5.269      20.797       0.000       0.000       0.000      52.342      -7.507      -0.278
   32      1      33.015       6.379      22.019       0.000       0.000       0.000      53.910      -7.503      -0.278
   33      1      31.722       4.881      25.308       0.000       0.000       0.000      54.411      -7.499      -0.278
   34      1      33.834       5.927      25.608       0.000       0.000       0.000      57.873      -7.496      -0.278
   35      1      34.695       4.320      18.413       0.000       0.000       0.000      49.940      -7.487      -0.277
   36      1      40.424       5.695      28.821       0.000       0.000       0.000      67.458      -7.482      -0.277
   37      1      33.928       4.623      21.857       0.000       0.000       0.000      52.932      -7.476      -0.277
   38      1      35.013       4.830      20.238       0.000       0.000       0.000      52.608      -7.474      -0.277
   39      1      23.969       5.155      29.921       0.000       0.000       0.000      51.587      -7.458      -0.276
   40      1      31.167       6.350      22.433       0.000       0.000       0.000      52.499      -7.451      -0.276
   41      1      32.225       6.668      23.188       0.000       0.000       0.000      54.633      -7.449      -0.276
   42      1      33.040       4.826      19.989       0.000       0.000       0.000      50.412      -7.442      -0.276
   43      1      34.005       5.844      26.274       0.000       0.000       0.000      58.687      -7.436      -0.275
   44      1      33.082       4.689      21.099       0.000       0.000       0.000      51.434      -7.436      -0.275
   45      1      34.363       5.851      26.106       0.000       0.000       0.000      58.892      -7.429      -0.275
   46      1      27.082       5.578      28.150       0.000       0.000       0.000      53.388      -7.423      -0.275
   47      1      33.116       4.980      24.803       0.000       0.000       0.000      55.476      -7.422      -0.275
   48      1      32.497       4.684      21.783       0.000       0.000       0.000      51.552      -7.412      -0.275
   49      1      33.939       4.178      18.380       0.000       0.000       0.000      49.090      -7.406      -0.274
   50      1      26.168       4.090      30.877       0.000       0.000       0.000      53.733      -7.402      -0.274
