  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.895       5.444      20.982       0.000       0.000       0.000      46.687      -8.634      -0.308
    2      1      31.389       7.923      37.348       0.000       0.000       0.000      68.100      -8.560      -0.306
    3      1      28.360       5.473      21.319       0.000       0.000       0.000      46.638      -8.514      -0.304
    4      1      28.189       5.516      21.566       0.000       0.000       0.000      46.765      -8.507      -0.304
    5      1      28.637       5.541      21.030       0.000       0.000       0.000      46.709      -8.500      -0.304
    6      1      29.414       6.927      22.338       0.000       0.000       0.000      50.199      -8.480      -0.303
    7      1      29.074       5.417      20.910       0.000       0.000       0.000      46.972      -8.428      -0.301
    8      1      28.777       7.705      28.144       0.000       0.000       0.000      56.202      -8.424      -0.301
    9      1      28.213       5.537      21.474       0.000       0.000       0.000      46.804      -8.420      -0.301
   10      1      27.662       6.907      24.781       0.000       0.000       0.000      50.951      -8.399      -0.300
   11      1      27.541       6.929      24.845       0.000       0.000       0.000      50.929      -8.386      -0.299
   12      1      29.028       6.838      22.683       0.000       0.000       0.000      50.195      -8.355      -0.298
   13      1      27.892       5.519      21.762       0.000       0.000       0.000      46.847      -8.325      -0.297
   14      1      29.790       6.768      24.756       0.000       0.000       0.000      53.018      -8.297      -0.296
   15      1      28.202       5.505      21.479       0.000       0.000       0.000      46.912      -8.273      -0.295
   16      1      27.994       5.498      21.729       0.000       0.000       0.000      46.950      -8.269      -0.295
   17      1      28.311       5.476      21.453       0.000       0.000       0.000      46.983      -8.257      -0.295
   18      1      28.331       5.441      21.421       0.000       0.000       0.000      46.942      -8.252      -0.295
   19      1      28.377       5.475      21.375       0.000       0.000       0.000      47.016      -8.211      -0.293
   20      1      28.584       5.531      21.200       0.000       0.000       0.000      47.121      -8.193      -0.293
   21      1      27.860       5.432      21.902       0.000       0.000       0.000      47.045      -8.150      -0.291
   22      1      27.938       5.452      21.882       0.000       0.000       0.000      47.149      -8.123      -0.290
   23      1      28.032       5.488      21.633       0.000       0.000       0.000      47.031      -8.121      -0.290
   24      1      27.840       5.487      21.969       0.000       0.000       0.000      47.183      -8.113      -0.290
   25      1      31.800       6.822      24.679       0.000       0.000       0.000      55.221      -8.081      -0.289
   26      1      27.586       5.502      22.437       0.000       0.000       0.000      47.455      -8.070      -0.288
   27      1      30.606       5.751      21.606       0.000       0.000       0.000      49.908      -8.055      -0.288
   28      1      28.125       5.489      21.587       0.000       0.000       0.000      47.149      -8.053      -0.288
   29      1      27.716       5.480      22.146       0.000       0.000       0.000      47.291      -8.051      -0.288
   30      1      27.525       5.480      22.521       0.000       0.000       0.000      47.489      -8.037      -0.287
   31      1      28.695       7.057      24.636       0.000       0.000       0.000      52.359      -8.029      -0.287
   32      1      27.835       6.771      24.636       0.000       0.000       0.000      51.229      -8.013      -0.286
   33      1      27.836       5.488      21.859       0.000       0.000       0.000      47.181      -8.002      -0.286
   34      1      28.597       5.387      21.749       0.000       0.000       0.000      47.745      -7.989      -0.285
   35      1      29.502       6.788      22.620       0.000       0.000       0.000      50.922      -7.988      -0.285
   36      1      28.579       5.489      21.185       0.000       0.000       0.000      47.293      -7.960      -0.284
   37      1      29.893       5.728      21.507       0.000       0.000       0.000      49.173      -7.955      -0.284
   38      1      29.665       6.903      26.485       0.000       0.000       0.000      55.101      -7.952      -0.284
   39      1      26.985       7.916      24.702       0.000       0.000       0.000      51.669      -7.933      -0.283
   40      1      28.938       7.021      24.390       0.000       0.000       0.000      52.443      -7.906      -0.282
   41      1      28.316       6.436      26.922       0.000       0.000       0.000      53.776      -7.898      -0.282
   42      1      27.668       5.500      22.375       0.000       0.000       0.000      47.656      -7.887      -0.282
   43      1      29.130       7.057      24.098       0.000       0.000       0.000      52.411      -7.875      -0.281
   44      1      30.359       5.700      20.964       0.000       0.000       0.000      49.162      -7.861      -0.281
   45      1      28.561       5.534      21.142       0.000       0.000       0.000      47.418      -7.819      -0.279
   46      1      30.206       5.737      21.039       0.000       0.000       0.000      49.164      -7.818      -0.279
   47      1      28.275       5.489      21.366       0.000       0.000       0.000      47.312      -7.818      -0.279
   48      1      29.148       6.849      22.586       0.000       0.000       0.000      50.767      -7.815      -0.279
   49      1      29.162       6.903      22.406       0.000       0.000       0.000      50.661      -7.811      -0.279
   50      1      28.394       5.452      21.886       0.000       0.000       0.000      47.925      -7.807      -0.279
