  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      22.487       6.222      16.822       0.000       0.000       0.000      36.880      -8.651      -0.320
    2      1      23.714       3.605      15.327       0.000       0.000       0.000      34.268      -8.378      -0.310
    3      1      19.995       4.779      17.623       0.000       0.000       0.000      34.022      -8.374      -0.310
    4      1      23.761       3.661      15.106       0.000       0.000       0.000      34.184      -8.343      -0.309
    5      1      24.082       3.662      14.761       0.000       0.000       0.000      34.169      -8.336      -0.309
    6      1      24.220       3.661      14.596       0.000       0.000       0.000      34.259      -8.218      -0.304
    7      1      22.386       4.672      16.911       0.000       0.000       0.000      35.793      -8.176      -0.303
    8      1      23.498       3.729      15.068       0.000       0.000       0.000      34.169      -8.126      -0.301
    9      1      24.315       3.733      14.477       0.000       0.000       0.000      34.442      -8.083      -0.299
   10      1      19.888       4.886      17.856       0.000       0.000       0.000      34.582      -8.047      -0.298
   11      1      25.148       3.723      15.460       0.000       0.000       0.000      36.314      -8.016      -0.297
   12      1      22.568       6.185      16.827       0.000       0.000       0.000      37.569      -8.010      -0.297
   13      1      23.914       3.840      14.826       0.000       0.000       0.000      34.572      -8.007      -0.297
   14      1      25.201       3.683      15.046       0.000       0.000       0.000      35.933      -7.997      -0.296
   15      1      23.932       3.665      15.020       0.000       0.000       0.000      34.641      -7.976      -0.295
   16      1      22.538       6.173      16.878       0.000       0.000       0.000      37.629      -7.960      -0.295
   17      1      24.601       3.733      14.289       0.000       0.000       0.000      34.668      -7.955      -0.295
   18      1      23.036       4.344      18.594       0.000       0.000       0.000      38.052      -7.922      -0.293
   19      1      23.468       3.771      15.188       0.000       0.000       0.000      34.506      -7.921      -0.293
   20      1      22.347       4.706      17.057       0.000       0.000       0.000      36.191      -7.919      -0.293
   21      1      24.554       5.267      15.393       0.000       0.000       0.000      37.303      -7.912      -0.293
   22      1      23.571       5.245      17.469       0.000       0.000       0.000      38.380      -7.905      -0.293
   23      1      22.846       3.802      15.512       0.000       0.000       0.000      34.277      -7.881      -0.292
   24      1      21.189       4.502      22.372       0.000       0.000       0.000      40.191      -7.872      -0.292
   25      1      24.166       3.735      14.513       0.000       0.000       0.000      34.549      -7.866      -0.291
   26      1      23.400       3.704      15.150       0.000       0.000       0.000      34.401      -7.853      -0.291
   27      1      21.638       4.616      21.762       0.000       0.000       0.000      40.174      -7.843      -0.290
   28      1      24.187       4.451      16.336       0.000       0.000       0.000      37.133      -7.841      -0.290
   29      1      23.944       4.632      17.118       0.000       0.000       0.000      37.855      -7.839      -0.290
   30      1      24.400       3.609      14.425       0.000       0.000       0.000      34.599      -7.835      -0.290
   31      1      21.378       4.617      22.017       0.000       0.000       0.000      40.184      -7.827      -0.290
   32      1      23.682       4.675      17.382       0.000       0.000       0.000      37.921      -7.818      -0.290
   33      1      22.725       5.518      18.795       0.000       0.000       0.000      39.223      -7.815      -0.289
   34      1      21.946       5.769      18.338       0.000       0.000       0.000      38.243      -7.811      -0.289
   35      1      23.864       3.540      15.315       0.000       0.000       0.000      34.911      -7.809      -0.289
   36      1      22.869       3.863      15.795       0.000       0.000       0.000      34.720      -7.807      -0.289
   37      1      24.227       3.872      14.969       0.000       0.000       0.000      35.265      -7.803      -0.289
   38      1      26.313       3.886      13.687       0.000       0.000       0.000      36.090      -7.796      -0.289
   39      1      22.687       4.979      19.143       0.000       0.000       0.000      39.021      -7.788      -0.288
   40      1      24.148       4.406      16.452       0.000       0.000       0.000      37.222      -7.783      -0.288
   41      1      24.088       3.633      14.794       0.000       0.000       0.000      34.735      -7.780      -0.288
   42      1      24.083       3.646      14.493       0.000       0.000       0.000      34.447      -7.775      -0.288
   43      1      23.631       4.488      16.959       0.000       0.000       0.000      37.307      -7.771      -0.288
   44      1      20.484       4.750      17.311       0.000       0.000       0.000      34.784      -7.761      -0.287
   45      1      23.925       3.694      14.637       0.000       0.000       0.000      34.500      -7.756      -0.287
   46      1      22.272       6.170      17.219       0.000       0.000       0.000      37.915      -7.747      -0.287
   47      1      22.433       4.638      16.740       0.000       0.000       0.000      36.078      -7.734      -0.286
   48      1      24.039       3.665      14.561       0.000       0.000       0.000      34.532      -7.733      -0.286
   49      1      23.534       3.732      15.032       0.000       0.000       0.000      34.567      -7.732      -0.286
   50      1      28.107       5.894      25.621       0.000       0.000       0.000      51.897      -7.725      -0.286
