  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.379       5.890      21.682       0.000       0.000       0.000      43.564      -8.387      -0.311
    2      1      25.321       5.414      17.115       0.000       0.000       0.000      39.552      -8.297      -0.307
    3      1      21.154       4.517      18.175       0.000       0.000       0.000      35.560      -8.286      -0.307
    4      1      21.696       4.493      17.105       0.000       0.000       0.000      35.022      -8.272      -0.306
    5      1      23.913       3.502      15.594       0.000       0.000       0.000      34.827      -8.182      -0.303
    6      1      26.095       5.389      16.443       0.000       0.000       0.000      39.760      -8.167      -0.302
    7      1      24.640       3.505      15.622       0.000       0.000       0.000      35.625      -8.142      -0.302
    8      1      23.888       3.579      16.131       0.000       0.000       0.000      35.545      -8.053      -0.298
    9      1      21.271       4.510      17.634       0.000       0.000       0.000      35.371      -8.043      -0.298
   10      1      24.637       3.748      15.944       0.000       0.000       0.000      36.289      -8.040      -0.298
   11      1      25.526       5.342      16.752       0.000       0.000       0.000      39.597      -8.022      -0.297
   12      1      21.271       4.535      17.984       0.000       0.000       0.000      35.776      -8.013      -0.297
   13      1      27.343       4.772      16.628       0.000       0.000       0.000      40.770      -7.973      -0.295
   14      1      21.419       4.540      17.627       0.000       0.000       0.000      35.617      -7.969      -0.295
   15      1      23.631       3.433      15.920       0.000       0.000       0.000      35.030      -7.954      -0.295
   16      1      24.878       5.817      21.300       0.000       0.000       0.000      44.064      -7.932      -0.294
   17      1      24.778       3.473      15.472       0.000       0.000       0.000      35.792      -7.931      -0.294
   18      1      24.573       3.570      15.229       0.000       0.000       0.000      35.476      -7.896      -0.292
   19      1      24.801       5.905      21.195       0.000       0.000       0.000      44.006      -7.895      -0.292
   20      1      23.101       4.797      24.693       0.000       0.000       0.000      44.701      -7.889      -0.292
   21      1      24.577       3.590      15.442       0.000       0.000       0.000      35.746      -7.862      -0.291
   22      1      21.100       4.563      18.092       0.000       0.000       0.000      35.894      -7.861      -0.291
   23      1      23.126       6.305      18.477       0.000       0.000       0.000      40.050      -7.859      -0.291
   24      1      24.472       3.494      15.998       0.000       0.000       0.000      36.141      -7.822      -0.290
   25      1      22.259       5.488      17.277       0.000       0.000       0.000      37.205      -7.820      -0.290
   26      1      25.406       3.637      14.779       0.000       0.000       0.000      36.003      -7.819      -0.290
   27      1      21.457       4.508      17.647       0.000       0.000       0.000      35.799      -7.812      -0.289
   28      1      23.855       4.627      18.344       0.000       0.000       0.000      39.024      -7.803      -0.289
   29      1      23.697       3.376      16.103       0.000       0.000       0.000      35.406      -7.769      -0.288
   30      1      24.778       3.532      15.328       0.000       0.000       0.000      35.892      -7.746      -0.287
   31      1      20.733       4.703      21.527       0.000       0.000       0.000      39.217      -7.745      -0.287
   32      1      23.773       3.563      16.308       0.000       0.000       0.000      35.907      -7.736      -0.287
   33      1      24.386       3.509      15.665       0.000       0.000       0.000      35.824      -7.736      -0.287
   34      1      23.562       4.663      18.616       0.000       0.000       0.000      39.110      -7.731      -0.286
   35      1      23.456       3.516      16.079       0.000       0.000       0.000      35.326      -7.725      -0.286
   36      1      23.565       3.570      15.828       0.000       0.000       0.000      35.247      -7.716      -0.286
   37      1      24.663       3.472      15.537       0.000       0.000       0.000      35.971      -7.701      -0.285
   38      1      24.939       3.492      15.286       0.000       0.000       0.000      36.016      -7.701      -0.285
   39      1      23.461       3.537      16.058       0.000       0.000       0.000      35.360      -7.696      -0.285
   40      1      24.217       5.871      21.273       0.000       0.000       0.000      43.665      -7.696      -0.285
   41      1      23.214       4.548      17.512       0.000       0.000       0.000      37.585      -7.690      -0.285
   42      1      23.069       4.803      24.723       0.000       0.000       0.000      44.910      -7.685      -0.285
   43      1      24.389       4.400      17.782       0.000       0.000       0.000      38.896      -7.676      -0.284
   44      1      23.308       4.583      17.389       0.000       0.000       0.000      37.605      -7.675      -0.284
   45      1      21.667       4.794      20.878       0.000       0.000       0.000      39.667      -7.673      -0.284
   46      1      25.513       5.117      17.856       0.000       0.000       0.000      40.821      -7.665      -0.284
   47      1      24.215       3.444      16.096       0.000       0.000       0.000      36.091      -7.664      -0.284
   48      1      21.609       4.453      17.563       0.000       0.000       0.000      35.965      -7.659      -0.284
   49      1      24.870       4.385      17.133       0.000       0.000       0.000      38.730      -7.658      -0.284
   50      1      23.693       4.639      18.242       0.000       0.000       0.000      38.918      -7.656      -0.284
