  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      31.756       6.088      22.890       0.000       0.000       0.000      52.003      -8.730      -0.301
    2      1      28.180       5.847      22.576       0.000       0.000       0.000      48.035      -8.569      -0.295
    3      1      29.425       6.622      22.349       0.000       0.000       0.000      49.938      -8.458      -0.292
    4      1      29.957       6.943      22.063       0.000       0.000       0.000      50.635      -8.329      -0.287
    5      1      26.908       7.270      20.891       0.000       0.000       0.000      46.770      -8.299      -0.286
    6      1      28.592       6.577      19.623       0.000       0.000       0.000      46.590      -8.202      -0.283
    7      1      28.832       8.267      24.338       0.000       0.000       0.000      53.249      -8.187      -0.282
    8      1      29.192       4.895      16.113       0.000       0.000       0.000      42.013      -8.187      -0.282
    9      1      29.842       5.160      16.847       0.000       0.000       0.000      43.699      -8.150      -0.281
   10      1      26.706       7.344      20.908       0.000       0.000       0.000      46.811      -8.147      -0.281
   11      1      29.251       8.468      23.735       0.000       0.000       0.000      53.331      -8.123      -0.280
   12      1      29.590       6.441      18.526       0.000       0.000       0.000      46.435      -8.121      -0.280
   13      1      30.362       5.126      16.309       0.000       0.000       0.000      43.678      -8.119      -0.280
   14      1      29.614       5.117      17.269       0.000       0.000       0.000      43.885      -8.115      -0.280
   15      1      28.149       5.036      17.351       0.000       0.000       0.000      42.430      -8.105      -0.279
   16      1      30.217       5.079      16.546       0.000       0.000       0.000      43.760      -8.082      -0.279
   17      1      30.161       5.104      16.494       0.000       0.000       0.000      43.700      -8.059      -0.278
   18      1      33.264       7.518      24.257       0.000       0.000       0.000      57.000      -8.038      -0.277
   19      1      30.210       5.110      16.467       0.000       0.000       0.000      43.751      -8.036      -0.277
   20      1      29.584       6.184      17.570       0.000       0.000       0.000      45.307      -8.031      -0.277
   21      1      25.247       7.854      21.594       0.000       0.000       0.000      46.685      -8.010      -0.276
   22      1      28.699       5.764      27.761       0.000       0.000       0.000      54.218      -8.006      -0.276
   23      1      28.543       6.097      27.272       0.000       0.000       0.000      53.913      -7.999      -0.276
   24      1      30.355       5.123      16.284       0.000       0.000       0.000      43.767      -7.995      -0.276
   25      1      30.768       5.074      15.957       0.000       0.000       0.000      43.824      -7.975      -0.275
   26      1      27.546       4.876      18.018       0.000       0.000       0.000      42.474      -7.966      -0.275
   27      1      28.305       5.715      28.249       0.000       0.000       0.000      54.313      -7.955      -0.274
   28      1      29.945       7.677      18.781       0.000       0.000       0.000      48.449      -7.955      -0.274
   29      1      29.043       4.821      16.238       0.000       0.000       0.000      42.148      -7.954      -0.274
   30      1      28.834       8.251      24.361       0.000       0.000       0.000      53.492      -7.954      -0.274
   31      1      29.140       8.116      24.110       0.000       0.000       0.000      53.422      -7.945      -0.274
   32      1      26.740       7.387      20.864       0.000       0.000       0.000      47.052      -7.939      -0.274
   33      1      29.247       4.965      17.706       0.000       0.000       0.000      43.987      -7.931      -0.273
   34      1      28.677       7.182      24.307       0.000       0.000       0.000      52.239      -7.928      -0.273
   35      1      28.842       6.765      18.861       0.000       0.000       0.000      46.544      -7.925      -0.273
   36      1      27.369       7.683      19.589       0.000       0.000       0.000      46.721      -7.920      -0.273
   37      1      26.781       7.365      20.741       0.000       0.000       0.000      46.969      -7.917      -0.273
   38      1      27.367       7.459      19.718       0.000       0.000       0.000      46.629      -7.916      -0.273
   39      1      27.798       7.253      20.515       0.000       0.000       0.000      47.673      -7.892      -0.272
   40      1      27.114       7.461      19.950       0.000       0.000       0.000      46.632      -7.892      -0.272
   41      1      27.317       7.018      20.635       0.000       0.000       0.000      47.083      -7.887      -0.272
   42      1      27.116       7.629      19.947       0.000       0.000       0.000      46.812      -7.880      -0.272
   43      1      28.880       4.880      16.333       0.000       0.000       0.000      42.214      -7.879      -0.272
   44      1      28.590       4.930      16.623       0.000       0.000       0.000      42.282      -7.861      -0.271
   45      1      27.280       7.370      19.898       0.000       0.000       0.000      46.688      -7.860      -0.271
   46      1      29.712       5.818      21.061       0.000       0.000       0.000      48.732      -7.858      -0.271
   47      1      28.549       7.625      23.907       0.000       0.000       0.000      52.223      -7.857      -0.271
   48      1      28.828       4.887      16.472       0.000       0.000       0.000      42.346      -7.842      -0.270
   49      1      29.182       7.303      26.709       0.000       0.000       0.000      55.355      -7.839      -0.270
   50      1      29.001       6.173      18.074       0.000       0.000       0.000      45.415      -7.833      -0.270
