  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      26.376       3.076      15.636       0.000       0.000       0.000      37.027      -8.061      -0.288
    2      1      25.644       2.932      15.503       0.000       0.000       0.000      36.041      -8.038      -0.287
    3      1      25.546       3.194      16.068       0.000       0.000       0.000      36.794      -8.014      -0.286
    4      1      27.264       3.214      15.314       0.000       0.000       0.000      37.888      -7.903      -0.282
    5      1      26.381       3.140      15.523       0.000       0.000       0.000      37.164      -7.879      -0.281
    6      1      27.546       5.263      22.512       0.000       0.000       0.000      47.495      -7.825      -0.279
    7      1      26.190       2.940      15.178       0.000       0.000       0.000      36.487      -7.821      -0.279
    8      1      26.285       3.005      15.365       0.000       0.000       0.000      36.843      -7.811      -0.279
    9      1      25.539       3.189      16.214       0.000       0.000       0.000      37.144      -7.798      -0.279
   10      1      25.884       2.990      15.168       0.000       0.000       0.000      36.262      -7.779      -0.278
   11      1      27.359       4.795      16.297       0.000       0.000       0.000      40.686      -7.766      -0.277
   12      1      25.113       4.183      18.370       0.000       0.000       0.000      39.905      -7.762      -0.277
   13      1      26.913       4.817      16.763       0.000       0.000       0.000      40.732      -7.761      -0.277
   14      1      26.576       5.193      21.176       0.000       0.000       0.000      45.193      -7.752      -0.277
   15      1      25.887       2.985      15.837       0.000       0.000       0.000      36.971      -7.737      -0.276
   16      1      26.907       5.110      20.709       0.000       0.000       0.000      45.015      -7.711      -0.275
   17      1      23.754       5.015      17.524       0.000       0.000       0.000      38.588      -7.705      -0.275
   18      1      23.971       4.854      24.902       0.000       0.000       0.000      46.033      -7.694      -0.275
   19      1      24.489       2.994      16.186       0.000       0.000       0.000      35.978      -7.692      -0.275
   20      1      24.305       3.011      16.298       0.000       0.000       0.000      35.926      -7.689      -0.275
   21      1      25.717       3.014      15.303       0.000       0.000       0.000      36.345      -7.689      -0.275
   22      1      25.912       3.139      15.856       0.000       0.000       0.000      37.230      -7.678      -0.274
   23      1      26.137       2.971      15.353       0.000       0.000       0.000      36.787      -7.675      -0.274
   24      1      26.217       2.941      15.104       0.000       0.000       0.000      36.591      -7.671      -0.274
   25      1      26.337       2.915      15.038       0.000       0.000       0.000      36.628      -7.663      -0.274
   26      1      24.003       5.684      29.227       0.000       0.000       0.000      51.266      -7.648      -0.273
   27      1      25.639       3.051      15.385       0.000       0.000       0.000      36.453      -7.622      -0.272
   28      1      26.977       4.115      19.904       0.000       0.000       0.000      43.392      -7.605      -0.272
   29      1      26.063       3.158      15.612       0.000       0.000       0.000      37.228      -7.604      -0.272
   30      1      22.437       4.773      21.141       0.000       0.000       0.000      40.751      -7.601      -0.271
   31      1      25.462       3.014      15.621       0.000       0.000       0.000      36.500      -7.598      -0.271
   32      1      23.870       4.798      25.118       0.000       0.000       0.000      46.214      -7.571      -0.270
   33      1      26.032       3.002      15.222       0.000       0.000       0.000      36.696      -7.561      -0.270
   34      1      26.245       5.350      20.961       0.000       0.000       0.000      45.003      -7.553      -0.270
   35      1      24.041       5.869      18.600       0.000       0.000       0.000      40.964      -7.545      -0.269
   36      1      22.648       4.036      17.136       0.000       0.000       0.000      36.290      -7.531      -0.269
   37      1      26.491       2.985      14.912       0.000       0.000       0.000      36.867      -7.521      -0.269
   38      1      22.807       4.078      16.955       0.000       0.000       0.000      36.325      -7.515      -0.268
   39      1      26.057       3.113      15.789       0.000       0.000       0.000      37.455      -7.505      -0.268
   40      1      22.411       4.073      17.335       0.000       0.000       0.000      36.323      -7.496      -0.268
   41      1      24.202       4.168      24.484       0.000       0.000       0.000      45.359      -7.495      -0.268
   42      1      25.789       3.067      15.254       0.000       0.000       0.000      36.626      -7.483      -0.267
   43      1      22.704       4.030      17.072       0.000       0.000       0.000      36.338      -7.468      -0.267
   44      1      24.798       2.969      15.841       0.000       0.000       0.000      36.155      -7.453      -0.266
   45      1      27.169       4.818      16.377       0.000       0.000       0.000      40.918      -7.446      -0.266
   46      1      22.047       4.857      21.172       0.000       0.000       0.000      40.642      -7.434      -0.265
   47      1      27.880       3.220      14.661       0.000       0.000       0.000      38.328      -7.432      -0.265
   48      1      27.230       5.505      17.484       0.000       0.000       0.000      42.798      -7.421      -0.265
   49      1      27.781       3.160      14.985       0.000       0.000       0.000      38.518      -7.409      -0.265
   50      1      27.527       3.203      14.942       0.000       0.000       0.000      38.264      -7.409      -0.265
