  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      15.234       2.984      19.797       0.000       0.000       0.000      28.403      -9.613      -0.356
    2      1      15.721       2.977      19.122       0.000       0.000       0.000      28.296      -9.524      -0.353
    3      1      13.279       3.289      26.864       0.000       0.000       0.000      34.087      -9.345      -0.346
    4      1      12.928       4.294      24.082       0.000       0.000       0.000      32.016      -9.287      -0.344
    5      1      13.738       1.572      17.812       0.000       0.000       0.000      23.886      -9.236      -0.342
    6      1      12.521       3.297      27.449       0.000       0.000       0.000      34.083      -9.184      -0.340
    7      1      13.961       3.132      20.698       0.000       0.000       0.000      28.619      -9.172      -0.340
    8      1      15.242       2.872      19.878       0.000       0.000       0.000      28.823      -9.168      -0.340
    9      1      15.046       1.963      21.227       0.000       0.000       0.000      29.105      -9.131      -0.338
   10      1      13.911       1.452      18.171       0.000       0.000       0.000      24.435      -9.100      -0.337
   11      1      13.479       1.663      17.918       0.000       0.000       0.000      23.967      -9.094      -0.337
   12      1      13.359       1.658      18.071       0.000       0.000       0.000      24.025      -9.063      -0.336
   13      1      15.161       1.716      17.871       0.000       0.000       0.000      25.694      -9.055      -0.335
   14      1      12.944       2.968      20.382       0.000       0.000       0.000      27.286      -9.008      -0.334
   15      1      12.502       3.441      26.469       0.000       0.000       0.000      33.411      -9.000      -0.333
   16      1      13.006       2.815      21.520       0.000       0.000       0.000      28.343      -8.998      -0.333
   17      1    1376.767       4.123      26.115       0.000       0.000       0.000    1398.025      -8.979      -0.333
   18      1      13.974       1.565      18.013       0.000       0.000       0.000      24.581      -8.971      -0.332
   19      1      13.695       1.604      17.796       0.000       0.000       0.000      24.131      -8.964      -0.332
   20      1      15.871       2.767      20.003       0.000       0.000       0.000      29.682      -8.959      -0.332
   21      1      14.005       1.585      17.924       0.000       0.000       0.000      24.581      -8.934      -0.331
   22      1      11.910       2.702      21.409       0.000       0.000       0.000      27.101      -8.921      -0.330
   23      1      13.543       1.614      17.847       0.000       0.000       0.000      24.107      -8.897      -0.330
   24      1      12.144       1.594      18.331       0.000       0.000       0.000      23.177      -8.892      -0.329
   25      1      13.993       1.393      18.469       0.000       0.000       0.000      25.009      -8.846      -0.328
   26      1      15.654       1.724      17.868       0.000       0.000       0.000      26.414      -8.832      -0.327
   27      1      12.421       2.795      18.722       0.000       0.000       0.000      25.121      -8.817      -0.327
   28      1      14.124       3.125      20.427       0.000       0.000       0.000      28.859      -8.816      -0.327
   29      1      13.801       1.544      18.280       0.000       0.000       0.000      24.809      -8.815      -0.326
   30      1      13.164       4.570      23.894       0.000       0.000       0.000      32.821      -8.807      -0.326
   31      1      12.806       1.574      18.192       0.000       0.000       0.000      23.765      -8.807      -0.326
   32      1      11.959       3.413      26.887       0.000       0.000       0.000      33.463      -8.796      -0.326
   33      1      14.989       1.767      17.922       0.000       0.000       0.000      25.900      -8.778      -0.325
   34      1      13.471       1.600      17.941       0.000       0.000       0.000      24.242      -8.770      -0.325
   35      1      15.124       1.797      17.303       0.000       0.000       0.000      25.480      -8.744      -0.324
   36      1      13.529       1.603      17.854       0.000       0.000       0.000      24.243      -8.742      -0.324
   37      1      15.064       1.814      17.208       0.000       0.000       0.000      25.357      -8.729      -0.323
   38      1      13.662       1.551      17.882       0.000       0.000       0.000      24.415      -8.681      -0.322
   39      1      11.859       3.227      20.845       0.000       0.000       0.000      27.258      -8.672      -0.321
   40      1      10.119       4.457      24.645       0.000       0.000       0.000      30.560      -8.662      -0.321
   41      1      14.865       3.414      18.974       0.000       0.000       0.000      28.599      -8.654      -0.321
   42      1      15.535       1.823      17.274       0.000       0.000       0.000      25.981      -8.651      -0.320
   43      1      12.207       2.770      21.290       0.000       0.000       0.000      27.623      -8.644      -0.320
   44      1      16.276       2.840      18.727       0.000       0.000       0.000      29.200      -8.643      -0.320
   45      1      13.360       1.554      17.723       0.000       0.000       0.000      24.017      -8.619      -0.319
   46      1      15.170       2.918      19.677       0.000       0.000       0.000      29.182      -8.583      -0.318
   47      1      13.677       3.514      19.701       0.000       0.000       0.000      28.322      -8.569      -0.317
   48      1      12.885       2.840      18.833       0.000       0.000       0.000      25.993      -8.565      -0.317
   49      1      12.089       1.531      18.774       0.000       0.000       0.000      23.831      -8.563      -0.317
   50      1      12.601       3.034      20.398       0.000       0.000       0.000      27.479      -8.554      -0.317
