  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.004       7.395      29.813       0.000       0.000       0.000      56.770      -8.442      -0.301
    2      1      31.590       6.836      24.928       0.000       0.000       0.000      54.993      -8.360      -0.299
    3      1      27.497       5.416      22.768       0.000       0.000       0.000      47.421      -8.261      -0.295
    4      1      27.062       7.477      26.023       0.000       0.000       0.000      52.312      -8.251      -0.295
    5      1      26.783       6.591      25.351       0.000       0.000       0.000      50.552      -8.174      -0.292
    6      1      27.634       5.407      24.608       0.000       0.000       0.000      49.524      -8.124      -0.290
    7      1      29.255       6.793      22.857       0.000       0.000       0.000      50.801      -8.104      -0.289
    8      1      26.790       6.595      25.294       0.000       0.000       0.000      50.609      -8.070      -0.288
    9      1      28.954       5.486      22.440       0.000       0.000       0.000      48.842      -8.039      -0.287
   10      1      28.729       6.784      23.344       0.000       0.000       0.000      50.820      -8.037      -0.287
   11      1      28.040       5.327      22.193       0.000       0.000       0.000      47.531      -8.029      -0.287
   12      1      27.381       5.338      23.249       0.000       0.000       0.000      47.941      -8.027      -0.287
   13      1      29.298       5.459      22.163       0.000       0.000       0.000      48.903      -8.017      -0.286
   14      1      27.123       6.606      24.914       0.000       0.000       0.000      50.629      -8.013      -0.286
   15      1      26.663       6.607      25.317       0.000       0.000       0.000      50.603      -7.985      -0.285
   16      1      27.224       6.540      24.900       0.000       0.000       0.000      50.688      -7.976      -0.285
   17      1      25.005       6.356      27.140       0.000       0.000       0.000      50.538      -7.963      -0.284
   18      1      28.584       7.277      29.258       0.000       0.000       0.000      57.159      -7.961      -0.284
   19      1      26.919       6.608      25.103       0.000       0.000       0.000      50.669      -7.960      -0.284
   20      1      28.202       5.350      22.020       0.000       0.000       0.000      47.624      -7.948      -0.284
   21      1      28.207       4.513      22.646       0.000       0.000       0.000      47.423      -7.942      -0.284
   22      1      28.425       5.349      21.752       0.000       0.000       0.000      47.585      -7.941      -0.284
   23      1      28.459       5.334      21.684       0.000       0.000       0.000      47.536      -7.941      -0.284
   24      1      28.235       7.392      29.627       0.000       0.000       0.000      57.330      -7.925      -0.283
   25      1      27.682       5.378      22.575       0.000       0.000       0.000      47.723      -7.913      -0.283
   26      1      28.873       6.210      25.713       0.000       0.000       0.000      52.901      -7.895      -0.282
   27      1      28.067       5.353      21.992       0.000       0.000       0.000      47.520      -7.892      -0.282
   28      1      26.905       6.511      25.337       0.000       0.000       0.000      50.869      -7.883      -0.282
   29      1      28.087       5.418      22.043       0.000       0.000       0.000      47.677      -7.871      -0.281
   30      1      27.405       6.569      24.567       0.000       0.000       0.000      50.679      -7.862      -0.281
   31      1      27.383       5.366      22.853       0.000       0.000       0.000      47.744      -7.859      -0.281
   32      1      27.856       5.346      22.204       0.000       0.000       0.000      47.550      -7.856      -0.281
   33      1      27.581       7.114      25.924       0.000       0.000       0.000      52.775      -7.844      -0.280
   34      1      28.462       5.356      21.667       0.000       0.000       0.000      47.642      -7.843      -0.280
   35      1      27.046       6.520      25.000       0.000       0.000       0.000      50.787      -7.778      -0.278
   36      1      26.878       7.845      25.586       0.000       0.000       0.000      52.536      -7.773      -0.278
   37      1      26.418       6.372      30.304       0.000       0.000       0.000      55.325      -7.769      -0.277
   38      1      29.184       5.541      21.994       0.000       0.000       0.000      48.957      -7.761      -0.277
   39      1      28.420       5.358      21.774       0.000       0.000       0.000      47.799      -7.753      -0.277
   40      1      26.942       7.852      25.501       0.000       0.000       0.000      52.551      -7.744      -0.277
   41      1      27.802       5.369      22.364       0.000       0.000       0.000      47.796      -7.739      -0.276
   42      1      27.293       6.504      24.791       0.000       0.000       0.000      50.856      -7.732      -0.276
   43      1      27.371       6.503      24.664       0.000       0.000       0.000      50.807      -7.730      -0.276
   44      1      27.355       6.526      24.644       0.000       0.000       0.000      50.808      -7.717      -0.276
   45      1      29.854       5.673      21.768       0.000       0.000       0.000      49.579      -7.716      -0.276
   46      1      29.753       5.672      21.853       0.000       0.000       0.000      49.580      -7.698      -0.275
   47      1      28.723       6.930      24.645       0.000       0.000       0.000      52.606      -7.692      -0.275
   48      1      27.357       6.509      24.657       0.000       0.000       0.000      50.848      -7.675      -0.274
   49      1      27.892       6.199      32.912       0.000       0.000       0.000      59.333      -7.670      -0.274
   50      1      27.352       6.786      25.045       0.000       0.000       0.000      51.513      -7.670      -0.274
