  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      26.008       6.361      17.058       0.000       0.000       0.000      40.206      -9.221      -0.329
    2      1      23.816       4.783      17.748       0.000       0.000       0.000      37.134      -9.213      -0.329
    3      1      27.961       4.923      16.761       0.000       0.000       0.000      40.561      -9.083      -0.324
    4      1      25.707       4.039      15.936       0.000       0.000       0.000      36.645      -9.038      -0.323
    5      1      29.755       6.307      18.143       0.000       0.000       0.000      45.181      -9.024      -0.322
    6      1      21.050       5.045      18.128       0.000       0.000       0.000      35.394      -8.829      -0.315
    7      1      25.865       3.875      15.439       0.000       0.000       0.000      36.357      -8.821      -0.315
    8      1      20.953       5.057      18.077       0.000       0.000       0.000      35.322      -8.766      -0.313
    9      1      24.956       4.815      16.876       0.000       0.000       0.000      37.901      -8.746      -0.312
   10      1      28.635       4.882      16.369       0.000       0.000       0.000      41.159      -8.726      -0.312
   11      1      25.282       4.195      16.150       0.000       0.000       0.000      36.915      -8.712      -0.311
   12      1      26.375       4.863      16.797       0.000       0.000       0.000      39.344      -8.692      -0.310
   13      1      28.805       3.905      14.460       0.000       0.000       0.000      38.480      -8.690      -0.310
   14      1      25.778       4.035      15.856       0.000       0.000       0.000      36.992      -8.678      -0.310
   15      1      23.205       5.011      18.627       0.000       0.000       0.000      38.252      -8.591      -0.307
   16      1      24.962       5.581      18.910       0.000       0.000       0.000      40.944      -8.509      -0.304
   17      1      25.402       3.948      15.771       0.000       0.000       0.000      36.617      -8.504      -0.304
   18      1      25.596       4.138      15.776       0.000       0.000       0.000      37.038      -8.472      -0.303
   19      1      25.079       3.965      16.222       0.000       0.000       0.000      36.810      -8.457      -0.302
   20      1      26.539       5.611      16.293       0.000       0.000       0.000      40.008      -8.434      -0.301
   21      1      32.473       6.144      23.529       0.000       0.000       0.000      53.745      -8.400      -0.300
   22      1      25.523       4.750      18.492       0.000       0.000       0.000      40.398      -8.367      -0.299
   23      1      25.535       4.807      21.982       0.000       0.000       0.000      43.969      -8.355      -0.298
   24      1      32.072       6.121      23.720       0.000       0.000       0.000      53.564      -8.348      -0.298
   25      1      26.354       4.909      16.460       0.000       0.000       0.000      39.390      -8.332      -0.298
   26      1      27.007       4.115      15.862       0.000       0.000       0.000      38.653      -8.330      -0.298
   27      1      26.782       5.132      19.170       0.000       0.000       0.000      42.759      -8.325      -0.297
   28      1      25.876       4.358      18.126       0.000       0.000       0.000      40.047      -8.313      -0.297
   29      1      22.338       3.642      24.191       0.000       0.000       0.000      41.879      -8.291      -0.296
   30      1      33.652       6.137      24.194       0.000       0.000       0.000      55.695      -8.288      -0.296
   31      1      31.928       6.425      18.039       0.000       0.000       0.000      48.118      -8.273      -0.295
   32      1      26.219       5.156      19.532       0.000       0.000       0.000      42.635      -8.272      -0.295
   33      1      24.104       4.986      21.087       0.000       0.000       0.000      41.908      -8.269      -0.295
   34      1      23.832       4.944      17.367       0.000       0.000       0.000      37.890      -8.252      -0.295
   35      1      26.951       3.876      14.404       0.000       0.000       0.000      36.988      -8.242      -0.294
   36      1      27.700       3.811      15.527       0.000       0.000       0.000      38.804      -8.234      -0.294
   37      1      24.928       4.722      16.510       0.000       0.000       0.000      37.941      -8.218      -0.294
   38      1      24.157       4.453      20.521       0.000       0.000       0.000      40.933      -8.198      -0.293
   39      1      25.464       4.020      15.823       0.000       0.000       0.000      37.110      -8.196      -0.293
   40      1      24.385       4.805      17.015       0.000       0.000       0.000      38.020      -8.186      -0.292
   41      1      28.447       3.803      14.695       0.000       0.000       0.000      38.761      -8.184      -0.292
   42      1      29.853       4.081      14.173       0.000       0.000       0.000      39.930      -8.178      -0.292
   43      1      25.819       4.404      21.888       0.000       0.000       0.000      43.983      -8.128      -0.290
   44      1      26.114       3.917      14.886       0.000       0.000       0.000      36.793      -8.123      -0.290
   45      1      24.825       4.751      16.605       0.000       0.000       0.000      38.083      -8.098      -0.289
   46      1      26.449       4.971      16.288       0.000       0.000       0.000      39.611      -8.097      -0.289
   47      1      25.046       4.774      16.931       0.000       0.000       0.000      38.670      -8.081      -0.289
   48      1      28.361       4.017      14.028       0.000       0.000       0.000      38.330      -8.076      -0.288
   49      1      28.479       5.717      21.564       0.000       0.000       0.000      47.685      -8.075      -0.288
   50      1      25.275       3.992      15.849       0.000       0.000       0.000      37.054      -8.061      -0.288
