  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      27.029       7.116      19.409       0.000       0.000       0.000      45.676      -7.877      -0.303
    2      1      26.715       7.064      19.706       0.000       0.000       0.000      45.644      -7.840      -0.302
    3      1      32.440       7.745      16.659       0.000       0.000       0.000      49.020      -7.824      -0.301
    4      1      28.156       7.076      24.043       0.000       0.000       0.000      51.494      -7.781      -0.299
    5      1      29.380       5.550      26.582       0.000       0.000       0.000      53.754      -7.757      -0.298
    6      1      28.732       7.400      23.242       0.000       0.000       0.000      51.633      -7.741      -0.298
    7      1      25.893       5.953      19.646       0.000       0.000       0.000      43.791      -7.701      -0.296
    8      1      28.124       4.629      13.930       0.000       0.000       0.000      38.992      -7.690      -0.296
    9      1      28.289       4.681      13.865       0.000       0.000       0.000      39.160      -7.674      -0.295
   10      1      28.218       4.578      14.055       0.000       0.000       0.000      39.183      -7.667      -0.295
   11      1      28.154       4.634      13.885       0.000       0.000       0.000      39.057      -7.616      -0.293
   12      1      25.975       5.877      22.769       0.000       0.000       0.000      47.013      -7.608      -0.293
   13      1      28.496       6.795      24.416       0.000       0.000       0.000      52.103      -7.604      -0.292
   14      1      28.062       4.668      13.947       0.000       0.000       0.000      39.075      -7.602      -0.292
   15      1      28.591       4.645      13.595       0.000       0.000       0.000      39.230      -7.601      -0.292
   16      1      28.745       7.383      23.276       0.000       0.000       0.000      51.805      -7.600      -0.292
   17      1      27.509       4.678      14.674       0.000       0.000       0.000      39.270      -7.590      -0.292
   18      1      30.143       4.861      13.211       0.000       0.000       0.000      40.633      -7.581      -0.292
   19      1      27.219       4.642      15.184       0.000       0.000       0.000      39.502      -7.543      -0.290
   20      1      29.724       4.858      13.522       0.000       0.000       0.000      40.566      -7.539      -0.290
   21      1      32.038       7.081      19.875       0.000       0.000       0.000      51.456      -7.538      -0.290
   22      1      27.804       4.751      14.638       0.000       0.000       0.000      39.663      -7.531      -0.290
   23      1      27.818       4.613      14.504       0.000       0.000       0.000      39.407      -7.528      -0.290
   24      1      27.775       4.618      14.314       0.000       0.000       0.000      39.180      -7.527      -0.289
   25      1      25.721       5.921      23.051       0.000       0.000       0.000      47.167      -7.526      -0.289
   26      1      28.094       4.627      14.083       0.000       0.000       0.000      39.283      -7.521      -0.289
   27      1      29.351       4.876      13.877       0.000       0.000       0.000      40.584      -7.520      -0.289
   28      1      28.843       7.107      23.814       0.000       0.000       0.000      52.256      -7.508      -0.289
   29      1      27.878       4.663      14.273       0.000       0.000       0.000      39.324      -7.490      -0.288
   30      1      27.890       4.642      14.298       0.000       0.000       0.000      39.372      -7.459      -0.287
   31      1      28.207       4.598      13.994       0.000       0.000       0.000      39.354      -7.445      -0.286
   32      1      29.154       5.619      15.683       0.000       0.000       0.000      43.012      -7.444      -0.286
   33      1      28.134       4.632      14.008       0.000       0.000       0.000      39.330      -7.444      -0.286
   34      1      28.136       5.440      21.028       0.000       0.000       0.000      47.172      -7.432      -0.286
   35      1      29.573       4.844      13.672       0.000       0.000       0.000      40.662      -7.427      -0.286
   36      1      32.522       7.001      19.529       0.000       0.000       0.000      51.630      -7.423      -0.285
   37      1      28.084       5.422      21.186       0.000       0.000       0.000      47.271      -7.421      -0.285
   38      1      27.806       4.632      14.554       0.000       0.000       0.000      39.581      -7.411      -0.285
   39      1      32.654       7.050      19.346       0.000       0.000       0.000      51.645      -7.406      -0.285
   40      1      27.925       4.571      14.393       0.000       0.000       0.000      39.483      -7.406      -0.285
   41      1      29.456       4.855      13.838       0.000       0.000       0.000      40.758      -7.392      -0.284
   42      1      27.331       4.542      15.038       0.000       0.000       0.000      39.525      -7.386      -0.284
   43      1      27.951       4.619      14.119       0.000       0.000       0.000      39.320      -7.368      -0.283
   44      1      31.847       6.049      18.176       0.000       0.000       0.000      48.709      -7.364      -0.283
   45      1      28.199       4.663      13.934       0.000       0.000       0.000      39.432      -7.363      -0.283
   46      1      29.600       4.847      13.654       0.000       0.000       0.000      40.739      -7.362      -0.283
   47      1      27.251       5.531      16.306       0.000       0.000       0.000      41.730      -7.357      -0.283
   48      1      27.659       4.688      14.608       0.000       0.000       0.000      39.603      -7.353      -0.283
   49      1      27.516       4.673      14.757       0.000       0.000       0.000      39.603      -7.344      -0.282
   50      1      27.654       4.666      14.624       0.000       0.000       0.000      39.608      -7.336      -0.282
