  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      23.725       4.779      19.205       0.000       0.000       0.000      38.699      -9.010      -0.322
    2      1      23.485       4.827      19.148       0.000       0.000       0.000      38.516      -8.944      -0.319
    3      1      24.631       3.738      16.461       0.000       0.000       0.000      35.906      -8.924      -0.319
    4      1      24.293       3.739      16.845       0.000       0.000       0.000      36.021      -8.856      -0.316
    5      1      24.323       3.681      16.783       0.000       0.000       0.000      35.970      -8.816      -0.315
    6      1      24.796       3.481      15.840       0.000       0.000       0.000      35.311      -8.806      -0.315
    7      1      24.538       3.497      16.006       0.000       0.000       0.000      35.285      -8.756      -0.313
    8      1      23.904       3.708      17.039       0.000       0.000       0.000      35.920      -8.731      -0.312
    9      1      24.342       3.491      16.202       0.000       0.000       0.000      35.307      -8.728      -0.312
   10      1      24.466       3.481      16.171       0.000       0.000       0.000      35.410      -8.708      -0.311
   11      1      24.838       6.351      21.977       0.000       0.000       0.000      44.470      -8.695      -0.311
   12      1      24.370       3.726      16.571       0.000       0.000       0.000      35.974      -8.693      -0.310
   13      1      23.150       3.496      16.858       0.000       0.000       0.000      34.821      -8.683      -0.310
   14      1      23.840       3.706      17.094       0.000       0.000       0.000      35.965      -8.675      -0.310
   15      1      23.023       3.737      17.328       0.000       0.000       0.000      35.414      -8.673      -0.310
   16      1      23.190       3.773      17.174       0.000       0.000       0.000      35.489      -8.648      -0.309
   17      1      26.414       4.857      17.818       0.000       0.000       0.000      40.455      -8.635      -0.308
   18      1      23.180       3.438      16.920       0.000       0.000       0.000      34.958      -8.580      -0.306
   19      1      24.757       5.878      22.013       0.000       0.000       0.000      44.078      -8.570      -0.306
   20      1      25.125       2.053      16.713       0.000       0.000       0.000      35.321      -8.569      -0.306
   21      1      23.427       3.748      17.101       0.000       0.000       0.000      35.736      -8.540      -0.305
   22      1      23.908       3.707      17.213       0.000       0.000       0.000      36.307      -8.522      -0.304
   23      1      25.237       3.605      16.006       0.000       0.000       0.000      36.327      -8.521      -0.304
   24      1      21.412       4.641      18.179       0.000       0.000       0.000      35.720      -8.512      -0.304
   25      1      23.142       3.757      17.225       0.000       0.000       0.000      35.667      -8.457      -0.302
   26      1      24.683       3.740      16.476       0.000       0.000       0.000      36.451      -8.448      -0.302
   27      1      24.593       3.047      16.273       0.000       0.000       0.000      35.497      -8.417      -0.301
   28      1      26.172       3.991      17.842       0.000       0.000       0.000      39.636      -8.369      -0.299
   29      1      24.335       3.674      16.726       0.000       0.000       0.000      36.378      -8.358      -0.298
   30      1      24.973       5.681      22.117       0.000       0.000       0.000      44.453      -8.319      -0.297
   31      1      24.774       3.434      15.942       0.000       0.000       0.000      35.865      -8.285      -0.296
   32      1      26.464       3.841      15.828       0.000       0.000       0.000      37.859      -8.274      -0.296
   33      1      24.532       3.752      16.621       0.000       0.000       0.000      36.646      -8.259      -0.295
   34      1      23.609       6.278      19.001       0.000       0.000       0.000      40.636      -8.252      -0.295
   35      1      21.780       3.373      18.540       0.000       0.000       0.000      35.443      -8.250      -0.295
   36      1      22.030       5.702      18.475       0.000       0.000       0.000      37.983      -8.223      -0.294
   37      1      24.580       3.608      16.090       0.000       0.000       0.000      36.096      -8.182      -0.292
   38      1      22.185       3.661      19.183       0.000       0.000       0.000      36.852      -8.177      -0.292
   39      1      21.890       4.666      17.463       0.000       0.000       0.000      35.847      -8.172      -0.292
   40      1      22.201       4.770      21.262       0.000       0.000       0.000      40.068      -8.165      -0.292
   41      1      23.222       6.591      18.720       0.000       0.000       0.000      40.400      -8.133      -0.290
   42      1      24.503       4.459      19.500       0.000       0.000       0.000      40.331      -8.130      -0.290
   43      1      21.718       4.661      17.663       0.000       0.000       0.000      35.913      -8.128      -0.290
   44      1      24.222       5.618      18.952       0.000       0.000       0.000      40.693      -8.099      -0.289
   45      1      24.084       3.676      18.541       0.000       0.000       0.000      38.231      -8.070      -0.288
   46      1      25.396       5.381      17.473       0.000       0.000       0.000      40.189      -8.060      -0.288
   47      1      22.486       5.801      18.722       0.000       0.000       0.000      38.962      -8.048      -0.287
   48      1      24.037       3.745      18.505       0.000       0.000       0.000      38.242      -8.046      -0.287
   49      1      22.761       4.943      25.646       0.000       0.000       0.000      45.343      -8.007      -0.286
   50      1      21.890       3.102      18.712       0.000       0.000       0.000      35.717      -7.988      -0.285
