  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      23.820       4.986      17.721       0.000       0.000       0.000      37.651      -8.874      -0.329
    2      1      23.224       3.800      15.294       0.000       0.000       0.000      33.526      -8.792      -0.326
    3      1      22.747       3.826      15.683       0.000       0.000       0.000      33.473      -8.783      -0.325
    4      1      23.035       3.813      15.383       0.000       0.000       0.000      33.526      -8.705      -0.322
    5      1      22.972       3.803      15.436       0.000       0.000       0.000      33.538      -8.673      -0.321
    6      1      22.740       3.817      15.646       0.000       0.000       0.000      33.550      -8.653      -0.320
    7      1      24.019       3.727      14.525       0.000       0.000       0.000      33.704      -8.567      -0.317
    8      1      23.984       3.679      14.835       0.000       0.000       0.000      33.935      -8.563      -0.317
    9      1      23.237       3.868      15.148       0.000       0.000       0.000      33.702      -8.551      -0.317
   10      1      24.188       3.697      14.393       0.000       0.000       0.000      33.739      -8.539      -0.316
   11      1      23.443       3.720      15.187       0.000       0.000       0.000      33.827      -8.523      -0.316
   12      1      24.138       3.705      14.719       0.000       0.000       0.000      34.042      -8.520      -0.316
   13      1      23.948       3.796      14.559       0.000       0.000       0.000      33.805      -8.497      -0.315
   14      1      24.199       3.622      14.724       0.000       0.000       0.000      34.058      -8.488      -0.314
   15      1      24.237       3.648      14.657       0.000       0.000       0.000      34.061      -8.480      -0.314
   16      1      24.130       3.655      14.725       0.000       0.000       0.000      34.037      -8.473      -0.314
   17      1      24.193       3.684      14.534       0.000       0.000       0.000      33.951      -8.459      -0.313
   18      1      23.994       3.693      14.800       0.000       0.000       0.000      34.029      -8.459      -0.313
   19      1      23.646       3.771      14.976       0.000       0.000       0.000      33.935      -8.458      -0.313
   20      1      23.569       3.712      15.061       0.000       0.000       0.000      33.884      -8.458      -0.313
   21      1      23.919       3.705      14.942       0.000       0.000       0.000      34.109      -8.457      -0.313
   22      1      23.430       3.673      15.308       0.000       0.000       0.000      33.961      -8.450      -0.313
   23      1      23.891       3.672      14.881       0.000       0.000       0.000      34.003      -8.441      -0.313
   24      1      24.151       3.616      14.789       0.000       0.000       0.000      34.116      -8.441      -0.313
   25      1      23.748       3.676      14.839       0.000       0.000       0.000      33.825      -8.438      -0.313
   26      1      23.654       3.675      15.031       0.000       0.000       0.000      33.924      -8.435      -0.312
   27      1      24.258       3.641      14.621       0.000       0.000       0.000      34.086      -8.433      -0.312
   28      1      23.090       3.812      15.755       0.000       0.000       0.000      34.226      -8.432      -0.312
   29      1      23.955       3.770      14.756       0.000       0.000       0.000      34.051      -8.430      -0.312
   30      1      23.626       3.699      14.970       0.000       0.000       0.000      33.870      -8.425      -0.312
   31      1      24.465       3.673      15.138       0.000       0.000       0.000      34.853      -8.422      -0.312
   32      1      23.470       3.729      15.063       0.000       0.000       0.000      33.846      -8.416      -0.312
   33      1      24.033       3.635      14.853       0.000       0.000       0.000      34.111      -8.410      -0.311
   34      1      24.371       3.624      14.447       0.000       0.000       0.000      34.040      -8.402      -0.311
   35      1      24.129       3.723      14.623       0.000       0.000       0.000      34.074      -8.401      -0.311
   36      1      23.878       3.687      14.869       0.000       0.000       0.000      34.035      -8.398      -0.311
   37      1      23.934       3.703      14.895       0.000       0.000       0.000      34.143      -8.388      -0.311
   38      1      23.822       3.681      14.970       0.000       0.000       0.000      34.088      -8.386      -0.311
   39      1      23.851       3.678      14.742       0.000       0.000       0.000      33.888      -8.383      -0.310
   40      1      24.993       3.636      14.222       0.000       0.000       0.000      34.472      -8.381      -0.310
   41      1      23.531       3.691      15.045       0.000       0.000       0.000      33.887      -8.380      -0.310
   42      1      23.564       3.704      15.014       0.000       0.000       0.000      33.903      -8.380      -0.310
   43      1      23.963       3.664      14.689       0.000       0.000       0.000      33.939      -8.377      -0.310
   44      1      24.094       3.635      14.598       0.000       0.000       0.000      33.952      -8.375      -0.310
   45      1      24.007       3.675      14.658       0.000       0.000       0.000      33.966      -8.374      -0.310
   46      1      23.445       3.745      15.206       0.000       0.000       0.000      34.023      -8.373      -0.310
   47      1      23.886       3.689      14.617       0.000       0.000       0.000      33.823      -8.369      -0.310
   48      1      23.169       3.795      15.446       0.000       0.000       0.000      34.049      -8.361      -0.310
   49      1      23.865       3.696      14.732       0.000       0.000       0.000      33.935      -8.358      -0.310
   50      1      23.066       3.762      15.739       0.000       0.000       0.000      34.212      -8.355      -0.309
