  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      24.518       3.514      15.640       0.000       0.000       0.000      33.075     -10.596      -0.392
    2      1      23.965       3.511      16.202       0.000       0.000       0.000      33.121     -10.557      -0.391
    3      1      24.255       3.549      15.930       0.000       0.000       0.000      33.221     -10.512      -0.389
    4      1      23.942       3.493      16.378       0.000       0.000       0.000      33.337     -10.476      -0.388
    5      1      24.743       3.513      15.618       0.000       0.000       0.000      33.405     -10.469      -0.388
    6      1      24.297       3.397      16.209       0.000       0.000       0.000      33.450     -10.453      -0.387
    7      1      24.568       3.558      15.586       0.000       0.000       0.000      33.273     -10.438      -0.387
    8      1      24.745       3.481      15.633       0.000       0.000       0.000      33.428     -10.432      -0.386
    9      1      24.984       3.611      15.128       0.000       0.000       0.000      33.291     -10.431      -0.386
   10      1      24.492       3.538      15.634       0.000       0.000       0.000      33.234     -10.431      -0.386
   11      1      24.504       3.466      15.819       0.000       0.000       0.000      33.374     -10.415      -0.386
   12      1      24.297       3.434      16.078       0.000       0.000       0.000      33.394     -10.415      -0.386
   13      1      24.348       3.446      16.103       0.000       0.000       0.000      33.490     -10.406      -0.385
   14      1      24.583       3.567      15.570       0.000       0.000       0.000      33.324     -10.395      -0.385
   15      1      24.898       3.524      15.369       0.000       0.000       0.000      33.406     -10.385      -0.385
   16      1      25.157       3.564      14.996       0.000       0.000       0.000      33.336     -10.380      -0.384
   17      1      24.593       3.467      15.706       0.000       0.000       0.000      33.390     -10.376      -0.384
   18      1      24.753       3.601      15.232       0.000       0.000       0.000      33.214     -10.372      -0.384
   19      1      24.199       3.558      16.008       0.000       0.000       0.000      33.398     -10.367      -0.384
   20      1      24.408       3.491      15.788       0.000       0.000       0.000      33.321     -10.367      -0.384
   21      1      24.302       3.544      15.909       0.000       0.000       0.000      33.391     -10.364      -0.384
   22      1      24.382       3.521      15.763       0.000       0.000       0.000      33.336     -10.330      -0.383
   23      1      24.769       3.546      15.411       0.000       0.000       0.000      33.404     -10.321      -0.382
   24      1      24.482       3.668      15.601       0.000       0.000       0.000      33.433     -10.318      -0.382
   25      1      24.734       3.565      15.378       0.000       0.000       0.000      33.360     -10.317      -0.382
   26      1      24.542       3.473      15.742       0.000       0.000       0.000      33.444     -10.313      -0.382
   27      1      24.288       3.546      15.800       0.000       0.000       0.000      33.322     -10.313      -0.382
   28      1      24.565       3.570      15.516       0.000       0.000       0.000      33.343     -10.307      -0.382
   29      1      24.753       3.441      15.608       0.000       0.000       0.000      33.500     -10.301      -0.382
   30      1      25.236       3.574      14.935       0.000       0.000       0.000      33.447     -10.299      -0.381
   31      1      24.465       3.539      15.644       0.000       0.000       0.000      33.358     -10.290      -0.381
   32      1      24.700       3.509      15.515       0.000       0.000       0.000      33.435     -10.289      -0.381
   33      1      24.544       3.493      15.616       0.000       0.000       0.000      33.365     -10.287      -0.381
   34      1      24.763       3.507      15.417       0.000       0.000       0.000      33.405     -10.282      -0.381
   35      1      24.870       3.503      15.375       0.000       0.000       0.000      33.521     -10.227      -0.379
   36      1      24.266       3.591      15.980       0.000       0.000       0.000      33.610     -10.227      -0.379
   37      1      24.560       3.486      15.742       0.000       0.000       0.000      33.581     -10.208      -0.378
   38      1      24.691       3.617      15.299       0.000       0.000       0.000      33.414     -10.193      -0.378
   39      1      24.747       3.559      15.389       0.000       0.000       0.000      33.515     -10.179      -0.377
   40      1      25.120       3.685      14.911       0.000       0.000       0.000      33.538     -10.178      -0.377
   41      1      24.853       3.556      15.186       0.000       0.000       0.000      33.421     -10.174      -0.377
   42      1      24.473       3.481      15.794       0.000       0.000       0.000      33.580     -10.168      -0.377
   43      1      24.932       3.535      15.307       0.000       0.000       0.000      33.607     -10.168      -0.377
   44      1      24.773       3.628      15.033       0.000       0.000       0.000      33.276     -10.158      -0.376
   45      1      24.412       3.491      15.803       0.000       0.000       0.000      33.548     -10.158      -0.376
   46      1      24.541       3.571      15.643       0.000       0.000       0.000      33.603     -10.153      -0.376
   47      1      25.513       3.623      14.846       0.000       0.000       0.000      33.853     -10.130      -0.375
   48      1      24.823       3.566      15.323       0.000       0.000       0.000      33.589     -10.123      -0.375
   49      1      24.914       3.570      15.306       0.000       0.000       0.000      33.670     -10.121      -0.375
   50      1      24.997       3.583      15.810       0.000       0.000       0.000      34.273     -10.117      -0.375
