  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      25.186       3.540      14.988       0.000       0.000       0.000      32.796     -10.918      -0.390
    2      1      24.736       3.409      15.768       0.000       0.000       0.000      33.021     -10.893      -0.389
    3      1      24.991       3.542      15.242       0.000       0.000       0.000      32.884     -10.890      -0.389
    4      1      25.356       3.489      15.010       0.000       0.000       0.000      32.967     -10.888      -0.389
    5      1      24.806       3.489      15.414       0.000       0.000       0.000      32.863     -10.846      -0.387
    6      1      25.036       3.386      15.815       0.000       0.000       0.000      33.415     -10.822      -0.387
    7      1      24.787       3.406      15.816       0.000       0.000       0.000      33.221     -10.789      -0.385
    8      1      24.656       3.510      15.684       0.000       0.000       0.000      33.073     -10.777      -0.385
    9      1      24.666       3.482      15.724       0.000       0.000       0.000      33.103     -10.769      -0.385
   10      1      25.182       3.491      15.171       0.000       0.000       0.000      33.126     -10.718      -0.383
   11      1      24.851       3.484      15.479       0.000       0.000       0.000      33.140     -10.675      -0.381
   12      1      25.004       3.471      15.404       0.000       0.000       0.000      33.207     -10.672      -0.381
   13      1      25.087       3.563      15.361       0.000       0.000       0.000      33.352     -10.659      -0.381
   14      1      24.910       3.432      15.677       0.000       0.000       0.000      33.372     -10.647      -0.380
   15      1      24.958       3.578      15.158       0.000       0.000       0.000      33.090     -10.605      -0.379
   16      1      24.896       3.521      15.358       0.000       0.000       0.000      33.183     -10.593      -0.378
   17      1      24.590       3.571      15.607       0.000       0.000       0.000      33.189     -10.579      -0.378
   18      1      24.695       3.469      15.796       0.000       0.000       0.000      33.388     -10.573      -0.378
   19      1      24.612       3.530      15.718       0.000       0.000       0.000      33.290     -10.570      -0.377
   20      1      24.565       3.527      15.651       0.000       0.000       0.000      33.176     -10.567      -0.377
   21      1      24.652       3.520      15.564       0.000       0.000       0.000      33.169     -10.567      -0.377
   22      1      24.893       3.495      15.487       0.000       0.000       0.000      33.318     -10.557      -0.377
   23      1      24.713       3.535      15.621       0.000       0.000       0.000      33.312     -10.557      -0.377
   24      1      25.118       3.486      15.238       0.000       0.000       0.000      33.286     -10.556      -0.377
   25      1      24.609       3.451      15.974       0.000       0.000       0.000      33.515     -10.519      -0.376
   26      1      24.319       3.492      16.186       0.000       0.000       0.000      33.484     -10.512      -0.375
   27      1      24.806       3.539      15.496       0.000       0.000       0.000      33.344     -10.497      -0.375
   28      1      24.872       3.557      15.636       0.000       0.000       0.000      33.579     -10.487      -0.375
   29      1      24.581       3.492      15.747       0.000       0.000       0.000      33.338     -10.483      -0.374
   30      1      24.657       3.498      15.614       0.000       0.000       0.000      33.294     -10.476      -0.374
   31      1      25.133       3.474      15.222       0.000       0.000       0.000      33.361     -10.468      -0.374
   32      1      24.819       3.494      15.540       0.000       0.000       0.000      33.390     -10.463      -0.374
   33      1      24.693       3.500      15.713       0.000       0.000       0.000      33.466     -10.441      -0.373
   34      1      25.344       3.624      15.053       0.000       0.000       0.000      33.587     -10.434      -0.373
   35      1      25.008       3.677      15.131       0.000       0.000       0.000      33.382     -10.434      -0.373
   36      1      24.438       3.509      15.820       0.000       0.000       0.000      33.344     -10.422      -0.372
   37      1      25.196       3.442      15.244       0.000       0.000       0.000      33.466     -10.416      -0.372
   38      1      24.343       3.495      15.949       0.000       0.000       0.000      33.381     -10.407      -0.372
   39      1      24.930       3.692      15.067       0.000       0.000       0.000      33.289     -10.399      -0.371
   40      1      24.847       3.510      15.519       0.000       0.000       0.000      33.489     -10.387      -0.371
   41      1      25.039       3.464      15.352       0.000       0.000       0.000      33.473     -10.382      -0.371
   42      1      24.627       3.442      15.816       0.000       0.000       0.000      33.503     -10.382      -0.371
   43      1      25.127       3.524      15.149       0.000       0.000       0.000      33.429     -10.371      -0.370
   44      1      24.571       3.527      15.793       0.000       0.000       0.000      33.528     -10.363      -0.370
   45      1      24.574       3.538      15.780       0.000       0.000       0.000      33.536     -10.355      -0.370
   46      1      24.739       3.533      15.460       0.000       0.000       0.000      33.387     -10.344      -0.369
   47      1      24.550       3.472      15.737       0.000       0.000       0.000      33.421     -10.338      -0.369
   48      1      25.205       3.596      14.912       0.000       0.000       0.000      33.378     -10.335      -0.369
   49      1      25.179       3.527      15.209       0.000       0.000       0.000      33.586     -10.330      -0.369
   50      1      24.633       3.551      15.695       0.000       0.000       0.000      33.567     -10.312      -0.368
