  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.217       4.704      14.688       0.000       0.000       0.000      39.370      -8.240      -0.317
    2      1      29.775       4.909      13.523       0.000       0.000       0.000      40.055      -8.152      -0.314
    3      1      28.427       4.678      14.426       0.000       0.000       0.000      39.579      -7.953      -0.306
    4      1      28.210       4.781      14.568       0.000       0.000       0.000      39.620      -7.938      -0.305
    5      1      28.541       4.682      14.296       0.000       0.000       0.000      39.590      -7.930      -0.305
    6      1      28.801       4.670      14.024       0.000       0.000       0.000      39.580      -7.915      -0.304
    7      1      28.172       4.595      13.976       0.000       0.000       0.000      38.846      -7.897      -0.304
    8      1      27.949       4.582      14.201       0.000       0.000       0.000      38.837      -7.895      -0.304
    9      1      28.046       4.669      14.165       0.000       0.000       0.000      38.998      -7.882      -0.303
   10      1      28.053       4.559      14.153       0.000       0.000       0.000      38.883      -7.881      -0.303
   11      1      28.168       4.577      14.090       0.000       0.000       0.000      38.956      -7.879      -0.303
   12      1      28.043       4.588      14.124       0.000       0.000       0.000      38.875      -7.879      -0.303
   13      1      28.278       4.618      13.945       0.000       0.000       0.000      38.993      -7.848      -0.302
   14      1      28.321       4.596      13.910       0.000       0.000       0.000      38.979      -7.848      -0.302
   15      1      28.150       4.624      13.932       0.000       0.000       0.000      38.857      -7.848      -0.302
   16      1      27.960       4.575      14.182       0.000       0.000       0.000      38.869      -7.848      -0.302
   17      1      28.104       4.715      13.933       0.000       0.000       0.000      38.909      -7.843      -0.302
   18      1      28.135       4.647      13.964       0.000       0.000       0.000      38.904      -7.842      -0.302
   19      1      28.241       4.595      13.988       0.000       0.000       0.000      38.989      -7.835      -0.301
   20      1      27.980       4.608      14.090       0.000       0.000       0.000      38.843      -7.835      -0.301
   21      1      28.062       4.599      14.037       0.000       0.000       0.000      38.866      -7.832      -0.301
   22      1      27.753       4.654      14.289       0.000       0.000       0.000      38.865      -7.830      -0.301
   23      1      28.033       4.621      14.059       0.000       0.000       0.000      38.888      -7.825      -0.301
   24      1      27.780       4.615      14.294       0.000       0.000       0.000      38.865      -7.824      -0.301
   25      1      28.233       4.605      13.974       0.000       0.000       0.000      38.988      -7.824      -0.301
   26      1      27.875       4.616      14.199       0.000       0.000       0.000      38.870      -7.820      -0.301
   27      1      28.027       4.602      14.089       0.000       0.000       0.000      38.901      -7.817      -0.301
   28      1      27.800       4.622      14.270       0.000       0.000       0.000      38.880      -7.812      -0.300
   29      1      28.163       4.581      13.985       0.000       0.000       0.000      38.924      -7.806      -0.300
   30      1      28.049       4.574      14.200       0.000       0.000       0.000      39.019      -7.804      -0.300
   31      1      27.961       4.619      14.133       0.000       0.000       0.000      38.910      -7.803      -0.300
   32      1      27.800       4.610      14.282       0.000       0.000       0.000      38.889      -7.803      -0.300
   33      1      28.502       4.638      13.698       0.000       0.000       0.000      39.037      -7.802      -0.300
   34      1      28.322       4.666      13.806       0.000       0.000       0.000      38.999      -7.795      -0.300
   35      1      27.970       4.621      14.079       0.000       0.000       0.000      38.877      -7.792      -0.300
   36      1      28.192       4.625      13.772       0.000       0.000       0.000      38.813      -7.776      -0.299
   37      1      28.371       4.609      13.608       0.000       0.000       0.000      38.830      -7.758      -0.298
   38      1      27.294       4.631      14.942       0.000       0.000       0.000      39.112      -7.756      -0.298
   39      1      28.169       4.669      13.946       0.000       0.000       0.000      39.032      -7.752      -0.298
   40      1      27.979       4.649      14.045       0.000       0.000       0.000      38.921      -7.752      -0.298
   41      1      27.974       4.647      14.016       0.000       0.000       0.000      38.887      -7.750      -0.298
   42      1      28.278       4.578      13.954       0.000       0.000       0.000      39.070      -7.741      -0.298
   43      1      28.267       4.610      13.824       0.000       0.000       0.000      38.963      -7.739      -0.298
   44      1      27.574       4.626      14.441       0.000       0.000       0.000      38.904      -7.738      -0.298
   45      1      27.901       4.592      14.091       0.000       0.000       0.000      38.853      -7.732      -0.297
   46      1      28.411       4.604      13.604       0.000       0.000       0.000      38.891      -7.728      -0.297
   47      1      27.092       4.520      15.421       0.000       0.000       0.000      39.312      -7.721      -0.297
   48      1      27.963       4.569      14.204       0.000       0.000       0.000      39.016      -7.719      -0.297
   49      1      28.006       4.589      14.024       0.000       0.000       0.000      38.909      -7.711      -0.297
   50      1      28.257       4.620      13.724       0.000       0.000       0.000      38.906      -7.694      -0.296
