  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      12.186       1.558      18.235       0.000       0.000       0.000      22.494      -9.486      -0.351
    2      1      12.203       1.561      18.329       0.000       0.000       0.000      22.644      -9.448      -0.350
    3      1      11.988       1.585      18.383       0.000       0.000       0.000      22.526      -9.430      -0.349
    4      1      11.938       1.595      18.413       0.000       0.000       0.000      22.516      -9.430      -0.349
    5      1      11.959       1.587      18.399       0.000       0.000       0.000      22.515      -9.430      -0.349
    6      1      12.245       1.599      18.091       0.000       0.000       0.000      22.505      -9.430      -0.349
    7      1      12.173       1.585      18.305       0.000       0.000       0.000      22.632      -9.430      -0.349
    8      1      12.080       1.609      18.257       0.000       0.000       0.000      22.516      -9.430      -0.349
    9      1      12.029       1.680      18.405       0.000       0.000       0.000      22.687      -9.427      -0.349
   10      1      12.145       1.618      18.287       0.000       0.000       0.000      22.632      -9.419      -0.349
   11      1      12.155       1.577      18.246       0.000       0.000       0.000      22.583      -9.394      -0.348
   12      1      12.249       1.560      18.259       0.000       0.000       0.000      22.675      -9.393      -0.348
   13      1      12.070       1.601      18.259       0.000       0.000       0.000      22.536      -9.393      -0.348
   14      1      12.251       1.624      18.083       0.000       0.000       0.000      22.564      -9.393      -0.348
   15      1      12.196       1.605      18.127       0.000       0.000       0.000      22.534      -9.393      -0.348
   16      1      12.309       1.593      18.087       0.000       0.000       0.000      22.595      -9.393      -0.348
   17      1      12.407       1.584      18.021       0.000       0.000       0.000      22.626      -9.386      -0.348
   18      1      12.089       1.611      18.337       0.000       0.000       0.000      22.660      -9.377      -0.347
   19      1      12.167       1.610      18.157       0.000       0.000       0.000      22.559      -9.375      -0.347
   20      1      12.286       1.626      18.178       0.000       0.000       0.000      22.715      -9.375      -0.347
   21      1      12.115       1.536      18.421       0.000       0.000       0.000      22.697      -9.375      -0.347
   22      1      12.561       1.705      17.846       0.000       0.000       0.000      22.756      -9.356      -0.347
   23      1      12.235       1.563      18.293       0.000       0.000       0.000      22.755      -9.337      -0.346
   24      1      12.609       1.748      17.738       0.000       0.000       0.000      22.774      -9.320      -0.345
   25      1      12.501       1.661      17.832       0.000       0.000       0.000      22.694      -9.301      -0.344
   26      1      12.446       1.666      18.025       0.000       0.000       0.000      22.877      -9.260      -0.343
   27      1      12.130       1.592      18.331       0.000       0.000       0.000      22.793      -9.260      -0.343
   28      1      12.244       1.608      18.099       0.000       0.000       0.000      22.694      -9.257      -0.343
   29      1      12.409       1.606      17.979       0.000       0.000       0.000      22.748      -9.247      -0.342
   30      1      12.120       1.575      18.256       0.000       0.000       0.000      22.732      -9.219      -0.341
   31      1      12.200       1.619      18.274       0.000       0.000       0.000      22.881      -9.211      -0.341
   32      1      12.280       1.638      18.064       0.000       0.000       0.000      22.784      -9.197      -0.341
   33      1      13.150       1.619      18.378       0.000       0.000       0.000      23.950      -9.197      -0.341
   34      1      12.255       1.592      18.221       0.000       0.000       0.000      22.875      -9.193      -0.340
   35      1      13.916       1.621      17.361       0.000       0.000       0.000      23.712      -9.186      -0.340
   36      1      12.393       1.694      18.027       0.000       0.000       0.000      22.940      -9.175      -0.340
   37      1      13.381       3.567      19.689       0.000       0.000       0.000      27.492      -9.145      -0.339
   38      1      13.906       1.591      17.459       0.000       0.000       0.000      23.819      -9.138      -0.338
   39      1      12.322       1.620      18.149       0.000       0.000       0.000      22.978      -9.113      -0.338
   40      1      13.607       1.587      17.755       0.000       0.000       0.000      23.836      -9.113      -0.338
   41      1      12.090       1.653      18.234       0.000       0.000       0.000      22.888      -9.089      -0.337
   42      1      13.567       1.631      18.164       0.000       0.000       0.000      24.277      -9.085      -0.336
   43      1      13.865       1.594      17.505       0.000       0.000       0.000      23.879      -9.085      -0.336
   44      1      13.240       1.642      18.269       0.000       0.000       0.000      24.084      -9.066      -0.336
   45      1      13.673       1.622      17.842       0.000       0.000       0.000      24.081      -9.056      -0.335
   46      1      13.122       1.609      17.842       0.000       0.000       0.000      23.528      -9.046      -0.335
   47      1      13.833       1.659      17.787       0.000       0.000       0.000      24.235      -9.043      -0.335
   48      1      13.313       3.534      20.528       0.000       0.000       0.000      28.359      -9.016      -0.334
   49      1      13.441       1.586      17.757       0.000       0.000       0.000      23.770      -9.014      -0.334
   50      1      12.081       1.616      18.434       0.000       0.000       0.000      23.154      -8.976      -0.332
