  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      26.924       2.197      16.763       0.000       0.000       0.000      37.251      -8.633      -0.288
    2      1      27.141       2.222      16.473       0.000       0.000       0.000      37.203      -8.633      -0.288
    3      1      28.268       2.197      16.684       0.000       0.000       0.000      38.517      -8.633      -0.288
    4      1      27.085       2.198      16.556       0.000       0.000       0.000      37.382      -8.457      -0.282
    5      1      27.087       2.282      16.507       0.000       0.000       0.000      37.441      -8.435      -0.281
    6      1      27.760       2.166      15.967       0.000       0.000       0.000      37.496      -8.396      -0.280
    7      1      27.452       2.253      16.083       0.000       0.000       0.000      37.478      -8.310      -0.277
    8      1      27.782       2.666      16.537       0.000       0.000       0.000      38.678      -8.308      -0.277
    9      1      28.657       2.253      16.118       0.000       0.000       0.000      38.752      -8.275      -0.276
   10      1      26.653       3.176      17.946       0.000       0.000       0.000      39.531      -8.243      -0.275
   11      1      27.202       2.246      16.399       0.000       0.000       0.000      37.613      -8.233      -0.274
   12      1      27.362       2.172      16.375       0.000       0.000       0.000      37.683      -8.226      -0.274
   13      1      27.711       2.259      15.950       0.000       0.000       0.000      37.749      -8.171      -0.272
   14      1      28.861       2.184      16.005       0.000       0.000       0.000      38.888      -8.162      -0.272
   15      1      26.704       2.446      16.700       0.000       0.000       0.000      37.740      -8.110      -0.270
   16      1      25.589       2.593      18.729       0.000       0.000       0.000      38.810      -8.101      -0.270
   17      1      28.667       2.229      16.101       0.000       0.000       0.000      38.906      -8.091      -0.270
   18      1      27.344       2.278      16.249       0.000       0.000       0.000      37.807      -8.063      -0.269
   19      1      28.634       2.261      16.287       0.000       0.000       0.000      39.124      -8.057      -0.269
   20      1      23.690       3.043      21.821       0.000       0.000       0.000      40.522      -8.033      -0.268
   21      1      26.950       2.440      16.674       0.000       0.000       0.000      38.036      -8.028      -0.268
   22      1      26.585       2.430      16.848       0.000       0.000       0.000      37.861      -8.002      -0.267
   23      1      25.957       2.374      17.761       0.000       0.000       0.000      38.123      -7.968      -0.266
   24      1      25.730       2.648      18.369       0.000       0.000       0.000      38.795      -7.953      -0.265
   25      1      27.040       2.189      17.362       0.000       0.000       0.000      38.666      -7.925      -0.264
   26      1      28.564       2.257      16.250       0.000       0.000       0.000      39.151      -7.921      -0.264
   27      1      27.152       2.298      16.361       0.000       0.000       0.000      37.891      -7.920      -0.264
   28      1      26.585       2.353      16.869       0.000       0.000       0.000      37.888      -7.918      -0.264
   29      1      25.271       2.662      18.799       0.000       0.000       0.000      38.821      -7.911      -0.264
   30      1      28.021       2.217      15.621       0.000       0.000       0.000      37.967      -7.892      -0.263
   31      1      26.206       2.472      16.868       0.000       0.000       0.000      37.665      -7.881      -0.263
   32      1      26.492       2.417      16.739       0.000       0.000       0.000      37.779      -7.869      -0.262
   33      1      27.161       2.351      16.409       0.000       0.000       0.000      38.054      -7.867      -0.262
   34      1      27.577       2.221      16.094       0.000       0.000       0.000      38.031      -7.862      -0.262
   35      1      26.646       2.422      16.564       0.000       0.000       0.000      37.785      -7.847      -0.262
   36      1      27.686       2.176      15.959       0.000       0.000       0.000      37.984      -7.837      -0.261
   37      1      27.380       2.236      16.160       0.000       0.000       0.000      37.940      -7.836      -0.261
   38      1      26.363       2.438      16.775       0.000       0.000       0.000      37.764      -7.812      -0.260
   39      1      29.284       2.298      16.124       0.000       0.000       0.000      39.902      -7.804      -0.260
   40      1      28.987       2.236      15.900       0.000       0.000       0.000      39.320      -7.804      -0.260
   41      1      27.044       2.181      17.436       0.000       0.000       0.000      38.857      -7.804      -0.260
   42      1      27.568       2.204      16.410       0.000       0.000       0.000      38.380      -7.801      -0.260
   43      1      28.348       2.345      16.419       0.000       0.000       0.000      39.313      -7.799      -0.260
   44      1      27.145       2.386      16.579       0.000       0.000       0.000      38.321      -7.789      -0.260
   45      1      27.740       2.449      16.559       0.000       0.000       0.000      38.965      -7.783      -0.259
   46      1      28.771       2.290      16.189       0.000       0.000       0.000      39.469      -7.781      -0.259
   47      1      27.340       2.240      16.211       0.000       0.000       0.000      38.010      -7.781      -0.259
   48      1      27.777       2.432      16.597       0.000       0.000       0.000      39.032      -7.773      -0.259
   49      1      28.819       2.156      16.597       0.000       0.000       0.000      39.800      -7.772      -0.259
   50      1      23.372       3.049      20.628       0.000       0.000       0.000      39.277      -7.771      -0.259
