  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      29.813       5.399      16.524       0.000       0.000       0.000      43.071      -8.665      -0.299
    2      1      29.374       4.927      17.606       0.000       0.000       0.000      43.301      -8.606      -0.297
    3      1      28.694       6.094      18.430       0.000       0.000       0.000      44.623      -8.596      -0.296
    4      1      29.381       5.484      16.947       0.000       0.000       0.000      43.230      -8.582      -0.296
    5      1      30.332       4.975      16.503       0.000       0.000       0.000      43.330      -8.481      -0.292
    6      1      27.221       4.825      18.460       0.000       0.000       0.000      42.063      -8.443      -0.291
    7      1      29.456       4.851      15.964       0.000       0.000       0.000      41.925      -8.345      -0.288
    8      1      27.521       4.859      18.030       0.000       0.000       0.000      42.124      -8.286      -0.286
    9      1      28.694       4.881      16.502       0.000       0.000       0.000      41.801      -8.277      -0.285
   10      1      28.154       4.835      17.327       0.000       0.000       0.000      42.056      -8.259      -0.285
   11      1      28.705       4.883      16.428       0.000       0.000       0.000      41.765      -8.251      -0.285
   12      1      28.347       4.874      17.259       0.000       0.000       0.000      42.236      -8.243      -0.284
   13      1      28.569       4.867      16.622       0.000       0.000       0.000      41.840      -8.218      -0.283
   14      1      28.786       4.917      16.321       0.000       0.000       0.000      41.821      -8.203      -0.283
   15      1      28.462       4.886      16.691       0.000       0.000       0.000      41.838      -8.201      -0.283
   16      1      28.523       4.905      16.650       0.000       0.000       0.000      41.878      -8.201      -0.283
   17      1      28.684       4.807      17.010       0.000       0.000       0.000      42.302      -8.200      -0.283
   18      1      28.247       4.873      16.903       0.000       0.000       0.000      41.824      -8.199      -0.283
   19      1      28.619       4.872      16.515       0.000       0.000       0.000      41.808      -8.199      -0.283
   20      1      30.226       6.971      19.313       0.000       0.000       0.000      48.316      -8.194      -0.283
   21      1      28.895       4.887      16.324       0.000       0.000       0.000      41.912      -8.194      -0.283
   22      1      28.761       4.918      16.367       0.000       0.000       0.000      41.853      -8.192      -0.282
   23      1      28.734       4.896      16.445       0.000       0.000       0.000      41.884      -8.191      -0.282
   24      1      28.108       4.864      17.422       0.000       0.000       0.000      42.206      -8.187      -0.282
   25      1      28.570       4.906      16.619       0.000       0.000       0.000      41.911      -8.184      -0.282
   26      1      27.144       4.729      18.687       0.000       0.000       0.000      42.385      -8.174      -0.282
   27      1      28.564       4.844      16.618       0.000       0.000       0.000      41.855      -8.171      -0.282
   28      1      28.183       4.874      17.013       0.000       0.000       0.000      41.903      -8.167      -0.282
   29      1      30.488       5.075      16.278       0.000       0.000       0.000      43.683      -8.159      -0.281
   30      1      28.986       4.882      16.276       0.000       0.000       0.000      41.986      -8.158      -0.281
   31      1      28.528       4.767      17.398       0.000       0.000       0.000      42.549      -8.144      -0.281
   32      1      27.450       4.789      18.348       0.000       0.000       0.000      42.447      -8.140      -0.281
   33      1      29.648       4.894      17.493       0.000       0.000       0.000      43.904      -8.131      -0.280
   34      1      27.331       7.896      20.091       0.000       0.000       0.000      47.191      -8.126      -0.280
   35      1      28.656       4.908      16.492       0.000       0.000       0.000      41.946      -8.110      -0.280
   36      1      28.529       4.895      16.661       0.000       0.000       0.000      41.975      -8.110      -0.280
   37      1      28.811       4.988      16.449       0.000       0.000       0.000      42.140      -8.108      -0.280
   38      1      28.319       4.849      16.911       0.000       0.000       0.000      41.973      -8.106      -0.280
   39      1      28.402       4.849      16.807       0.000       0.000       0.000      41.955      -8.103      -0.279
   40      1      28.405       4.874      16.804       0.000       0.000       0.000      41.981      -8.103      -0.279
   41      1      28.968       4.838      16.275       0.000       0.000       0.000      41.980      -8.101      -0.279
   42      1      28.650       4.895      16.540       0.000       0.000       0.000      41.990      -8.094      -0.279
   43      1      28.721       4.920      16.484       0.000       0.000       0.000      42.031      -8.094      -0.279
   44      1      28.553       4.858      16.641       0.000       0.000       0.000      41.974      -8.077      -0.279
   45      1      28.261       4.864      16.949       0.000       0.000       0.000      41.996      -8.077      -0.279
   46      1      28.024       4.843      17.226       0.000       0.000       0.000      42.033      -8.059      -0.278
   47      1      28.919       4.922      16.283       0.000       0.000       0.000      42.065      -8.059      -0.278
   48      1      30.089       4.900      16.664       0.000       0.000       0.000      43.594      -8.058      -0.278
   49      1      28.224       4.880      16.989       0.000       0.000       0.000      42.036      -8.057      -0.278
   50      1      28.597       4.873      16.597       0.000       0.000       0.000      42.015      -8.053      -0.278
