  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      25.782       3.002      15.278       0.000       0.000       0.000      35.810      -8.252      -0.295
    2      1      25.835       3.005      15.322       0.000       0.000       0.000      35.940      -8.222      -0.294
    3      1      25.733       3.010      15.301       0.000       0.000       0.000      35.826      -8.219      -0.294
    4      1      26.064       3.019      14.965       0.000       0.000       0.000      35.870      -8.177      -0.292
    5      1      25.959       3.025      15.054       0.000       0.000       0.000      35.863      -8.175      -0.292
    6      1      26.056       2.977      15.130       0.000       0.000       0.000      35.998      -8.165      -0.292
    7      1      25.846       2.939      15.371       0.000       0.000       0.000      35.991      -8.165      -0.292
    8      1      25.493       3.012      15.559       0.000       0.000       0.000      35.907      -8.158      -0.291
    9      1      26.206       3.007      14.991       0.000       0.000       0.000      36.049      -8.155      -0.291
   10      1      25.931       3.029      15.071       0.000       0.000       0.000      35.884      -8.147      -0.291
   11      1      25.668       2.884      15.687       0.000       0.000       0.000      36.096      -8.142      -0.291
   12      1      26.029       3.168      15.733       0.000       0.000       0.000      36.805      -8.124      -0.290
   13      1      25.899       3.072      15.113       0.000       0.000       0.000      35.961      -8.124      -0.290
   14      1      26.975       2.912      14.975       0.000       0.000       0.000      36.739      -8.123      -0.290
   15      1      25.780       3.041      15.248       0.000       0.000       0.000      35.949      -8.119      -0.290
   16      1      25.729       3.000      15.317       0.000       0.000       0.000      35.949      -8.097      -0.289
   17      1      25.745       3.012      15.285       0.000       0.000       0.000      35.945      -8.097      -0.289
   18      1      25.496       3.014      15.682       0.000       0.000       0.000      36.099      -8.093      -0.289
   19      1      25.696       2.944      15.502       0.000       0.000       0.000      36.051      -8.091      -0.289
   20      1      25.849       2.935      15.354       0.000       0.000       0.000      36.054      -8.083      -0.289
   21      1      25.687       3.015      15.334       0.000       0.000       0.000      35.964      -8.072      -0.288
   22      1      25.835       2.943      15.356       0.000       0.000       0.000      36.066      -8.069      -0.288
   23      1      26.218       2.968      15.013       0.000       0.000       0.000      36.135      -8.065      -0.288
   24      1      26.285       2.930      15.055       0.000       0.000       0.000      36.205      -8.065      -0.288
   25      1      26.021       2.995      15.155       0.000       0.000       0.000      36.105      -8.065      -0.288
   26      1      25.863       2.980      15.332       0.000       0.000       0.000      36.113      -8.062      -0.288
   27      1      25.420       2.963      15.694       0.000       0.000       0.000      36.022      -8.055      -0.288
   28      1      25.698       2.953      15.512       0.000       0.000       0.000      36.115      -8.048      -0.287
   29      1      25.771       3.166      16.002       0.000       0.000       0.000      36.911      -8.027      -0.287
   30      1      25.483       3.008      15.594       0.000       0.000       0.000      36.066      -8.019      -0.286
   31      1      25.826       2.986      15.211       0.000       0.000       0.000      36.005      -8.018      -0.286
   32      1      25.553       3.013      15.512       0.000       0.000       0.000      36.064      -8.014      -0.286
   33      1      25.906       2.895      15.413       0.000       0.000       0.000      36.204      -8.010      -0.286
   34      1      26.015       3.004      15.135       0.000       0.000       0.000      36.166      -7.988      -0.285
   35      1      26.199       2.905      15.188       0.000       0.000       0.000      36.304      -7.987      -0.285
   36      1      25.762       2.968      15.296       0.000       0.000       0.000      36.048      -7.978      -0.285
   37      1      26.073       2.957      15.055       0.000       0.000       0.000      36.114      -7.971      -0.285
   38      1      25.387       3.014      15.719       0.000       0.000       0.000      36.149      -7.970      -0.285
   39      1      25.939       2.908      15.413       0.000       0.000       0.000      36.300      -7.960      -0.284
   40      1      26.048       2.962      15.126       0.000       0.000       0.000      36.179      -7.957      -0.284
   41      1      25.769       2.970      15.339       0.000       0.000       0.000      36.122      -7.956      -0.284
   42      1      25.482       3.062      15.652       0.000       0.000       0.000      36.246      -7.950      -0.284
   43      1      26.020       2.998      15.651       0.000       0.000       0.000      36.720      -7.948      -0.284
   44      1      25.396       3.059      15.707       0.000       0.000       0.000      36.217      -7.946      -0.284
   45      1      26.050       2.985      15.099       0.000       0.000       0.000      36.193      -7.940      -0.284
   46      1      25.886       2.972      15.786       0.000       0.000       0.000      36.707      -7.937      -0.283
   47      1      25.749       2.990      15.547       0.000       0.000       0.000      36.356      -7.930      -0.283
   48      1      25.700       2.970      15.488       0.000       0.000       0.000      36.228      -7.930      -0.283
   49      1      25.962       3.091      15.049       0.000       0.000       0.000      36.177      -7.925      -0.283
   50      1      25.836       2.938      15.379       0.000       0.000       0.000      36.233      -7.919      -0.283
