  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.370       5.533      21.283       0.000       0.000       0.000      46.384      -8.802      -0.314
    2      1      28.749       5.482      21.157       0.000       0.000       0.000      46.585      -8.802      -0.314
    3      1      28.309       5.528      21.415       0.000       0.000       0.000      46.450      -8.802      -0.314
    4      1      28.115       5.494      21.616       0.000       0.000       0.000      46.424      -8.802      -0.314
    5      1      28.841       5.460      20.973       0.000       0.000       0.000      46.472      -8.802      -0.314
    6      1      28.196       5.500      21.538       0.000       0.000       0.000      46.432      -8.802      -0.314
    7      1      28.242       5.485      21.612       0.000       0.000       0.000      46.539      -8.800      -0.314
    8      1      28.746       5.514      21.013       0.000       0.000       0.000      46.488      -8.785      -0.314
    9      1      28.384       5.560      21.324       0.000       0.000       0.000      46.483      -8.785      -0.314
   10      1      28.511       5.488      21.180       0.000       0.000       0.000      46.394      -8.785      -0.314
   11      1      28.337       5.461      21.420       0.000       0.000       0.000      46.435      -8.783      -0.314
   12      1      28.784       5.476      20.969       0.000       0.000       0.000      46.452      -8.777      -0.313
   13      1      28.334       5.482      21.415       0.000       0.000       0.000      46.456      -8.774      -0.313
   14      1      28.626       5.503      21.177       0.000       0.000       0.000      46.532      -8.774      -0.313
   15      1      28.600       5.489      21.161       0.000       0.000       0.000      46.479      -8.770      -0.313
   16      1      28.375       5.577      21.288       0.000       0.000       0.000      46.470      -8.770      -0.313
   17      1      28.418       5.525      21.218       0.000       0.000       0.000      46.391      -8.770      -0.313
   18      1      28.527       5.546      21.161       0.000       0.000       0.000      46.463      -8.770      -0.313
   19      1      28.186       5.479      21.653       0.000       0.000       0.000      46.547      -8.770      -0.313
   20      1      28.591       5.500      21.217       0.000       0.000       0.000      46.541      -8.767      -0.313
   21      1      28.645       5.505      21.215       0.000       0.000       0.000      46.600      -8.765      -0.313
   22      1      28.048       5.487      21.677       0.000       0.000       0.000      46.454      -8.758      -0.313
   23      1      28.498       5.484      21.302       0.000       0.000       0.000      46.525      -8.758      -0.313
   24      1      28.470       5.511      21.311       0.000       0.000       0.000      46.534      -8.758      -0.313
   25      1      28.336       5.542      21.369       0.000       0.000       0.000      46.489      -8.757      -0.313
   26      1      28.027       5.400      21.873       0.000       0.000       0.000      46.543      -8.757      -0.313
   27      1      28.489       5.394      21.470       0.000       0.000       0.000      46.596      -8.757      -0.313
   28      1      28.057       5.573      21.699       0.000       0.000       0.000      46.576      -8.753      -0.313
   29      1      28.480       5.501      21.213       0.000       0.000       0.000      46.441      -8.753      -0.313
   30      1      28.925       5.520      20.857       0.000       0.000       0.000      46.549      -8.753      -0.313
   31      1      28.092       5.474      21.638       0.000       0.000       0.000      46.451      -8.753      -0.313
   32      1      28.665       5.571      21.040       0.000       0.000       0.000      46.523      -8.753      -0.313
   33      1      28.528       5.508      21.271       0.000       0.000       0.000      46.555      -8.752      -0.313
   34      1      28.067       5.439      21.660       0.000       0.000       0.000      46.418      -8.748      -0.312
   35      1      27.737       5.553      21.974       0.000       0.000       0.000      46.521      -8.743      -0.312
   36      1      27.945       5.420      21.905       0.000       0.000       0.000      46.531      -8.739      -0.312
   37      1      27.967       5.484      21.809       0.000       0.000       0.000      46.523      -8.737      -0.312
   38      1      28.259       5.503      21.432       0.000       0.000       0.000      46.459      -8.735      -0.312
   39      1      28.264       5.535      21.368       0.000       0.000       0.000      46.439      -8.728      -0.312
   40      1      28.018       5.525      21.609       0.000       0.000       0.000      46.426      -8.726      -0.312
   41      1      28.258       5.496      21.437       0.000       0.000       0.000      46.465      -8.726      -0.312
   42      1      28.455       5.444      21.339       0.000       0.000       0.000      46.524      -8.714      -0.311
   43      1      28.474       5.512      21.226       0.000       0.000       0.000      46.498      -8.713      -0.311
   44      1      28.208       5.487      21.465       0.000       0.000       0.000      46.447      -8.713      -0.311
   45      1      27.263       5.550      22.634       0.000       0.000       0.000      46.739      -8.708      -0.311
   46      1      27.974       5.484      21.705       0.000       0.000       0.000      46.464      -8.699      -0.311
   47      1      28.333       5.482      21.449       0.000       0.000       0.000      46.578      -8.686      -0.310
   48      1      27.685       5.453      22.071       0.000       0.000       0.000      46.528      -8.681      -0.310
   49      1      29.790       5.528      21.393       0.000       0.000       0.000      48.030      -8.680      -0.310
   50      1      28.075       5.475      21.593       0.000       0.000       0.000      46.467      -8.676      -0.310
