  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      25.804       3.766      16.835       0.000       0.000       0.000      37.942      -8.463      -0.292
    2      1      25.967       3.731      16.686       0.000       0.000       0.000      37.921      -8.463      -0.292
    3      1      25.945       3.757      16.656       0.000       0.000       0.000      37.895      -8.463      -0.292
    4      1      26.009       3.732      16.641       0.000       0.000       0.000      37.931      -8.450      -0.291
    5      1      25.564       3.813      16.899       0.000       0.000       0.000      37.980      -8.295      -0.286
    6      1      25.554       3.905      17.172       0.000       0.000       0.000      38.336      -8.295      -0.286
    7      1      25.758       3.766      16.557       0.000       0.000       0.000      37.794      -8.286      -0.286
    8      1      26.232       3.741      16.330       0.000       0.000       0.000      38.031      -8.272      -0.285
    9      1      25.875       3.781      16.694       0.000       0.000       0.000      38.079      -8.271      -0.285
   10      1      25.795       3.719      16.581       0.000       0.000       0.000      37.827      -8.268      -0.285
   11      1      26.707       3.744      15.665       0.000       0.000       0.000      37.897      -8.218      -0.283
   12      1      25.838       3.947      17.050       0.000       0.000       0.000      38.643      -8.193      -0.283
   13      1      26.538       3.740      15.948       0.000       0.000       0.000      38.053      -8.172      -0.282
   14      1      27.073       3.850      16.052       0.000       0.000       0.000      38.808      -8.167      -0.282
   15      1      26.521       3.668      16.496       0.000       0.000       0.000      38.575      -8.109      -0.280
   16      1      26.161       3.706      16.497       0.000       0.000       0.000      38.266      -8.098      -0.279
   17      1      25.985       3.767      16.782       0.000       0.000       0.000      38.447      -8.087      -0.279
   18      1      25.942       3.744      16.360       0.000       0.000       0.000      37.959      -8.087      -0.279
   19      1      26.196       3.682      16.861       0.000       0.000       0.000      38.656      -8.083      -0.279
   20      1      26.041       3.748      16.277       0.000       0.000       0.000      37.988      -8.079      -0.279
   21      1      25.838       3.773      16.932       0.000       0.000       0.000      38.467      -8.076      -0.278
   22      1      25.999       3.769      16.535       0.000       0.000       0.000      38.233      -8.069      -0.278
   23      1      22.553       4.632      19.333       0.000       0.000       0.000      38.455      -8.064      -0.278
   24      1      25.925       3.769      16.389       0.000       0.000       0.000      38.025      -8.058      -0.278
   25      1      24.578       4.225      18.532       0.000       0.000       0.000      39.306      -8.028      -0.277
   26      1      26.414       3.767      15.807       0.000       0.000       0.000      37.988      -8.000      -0.276
   27      1      26.813       3.713      15.798       0.000       0.000       0.000      38.326      -7.998      -0.276
   28      1      26.803       3.879      16.291       0.000       0.000       0.000      38.977      -7.996      -0.276
   29      1      26.179       3.752      16.104       0.000       0.000       0.000      38.039      -7.995      -0.276
   30      1      26.447       3.737      16.113       0.000       0.000       0.000      38.309      -7.988      -0.275
   31      1      25.422       3.977      17.041       0.000       0.000       0.000      38.458      -7.982      -0.275
   32      1      26.499       3.735      15.977       0.000       0.000       0.000      38.247      -7.965      -0.275
   33      1      26.211       3.809      16.339       0.000       0.000       0.000      38.394      -7.965      -0.275
   34      1      27.010       3.675      15.573       0.000       0.000       0.000      38.303      -7.955      -0.274
   35      1      25.632       4.054      17.359       0.000       0.000       0.000      39.090      -7.955      -0.274
   36      1      26.369       3.737      16.108       0.000       0.000       0.000      38.281      -7.933      -0.274
   37      1      26.537       3.659      15.948       0.000       0.000       0.000      38.219      -7.925      -0.273
   38      1      26.263       3.700      16.169       0.000       0.000       0.000      38.231      -7.901      -0.272
   39      1      26.152       4.125      17.001       0.000       0.000       0.000      39.404      -7.873      -0.271
   40      1      24.756       4.013      17.863       0.000       0.000       0.000      38.776      -7.856      -0.271
   41      1      25.946       3.783      16.390       0.000       0.000       0.000      38.263      -7.856      -0.271
   42      1      27.346       3.729      15.452       0.000       0.000       0.000      38.676      -7.852      -0.271
   43      1      24.962       4.018      16.955       0.000       0.000       0.000      38.086      -7.849      -0.271
   44      1      26.192       3.793      16.602       0.000       0.000       0.000      38.746      -7.842      -0.270
   45      1      26.633       3.752      16.094       0.000       0.000       0.000      38.638      -7.842      -0.270
   46      1      26.571       3.772      16.155       0.000       0.000       0.000      38.656      -7.842      -0.270
   47      1      25.001       4.022      16.838       0.000       0.000       0.000      38.024      -7.837      -0.270
   48      1      26.686       3.681      15.723       0.000       0.000       0.000      38.257      -7.833      -0.270
   49      1      24.835       4.041      16.998       0.000       0.000       0.000      38.042      -7.832      -0.270
   50      1      25.670       3.854      16.640       0.000       0.000       0.000      38.333      -7.831      -0.270
