  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      23.394       3.931      14.951       0.000       0.000       0.000      31.126     -11.149      -0.398
    2      1      22.203       3.976      15.841       0.000       0.000       0.000      31.048     -10.971      -0.392
    3      1      23.169       3.896      15.236       0.000       0.000       0.000      31.405     -10.896      -0.389
    4      1      22.822       3.803      15.793       0.000       0.000       0.000      31.550     -10.868      -0.388
    5      1      22.852       3.932      15.432       0.000       0.000       0.000      31.462     -10.755      -0.384
    6      1      22.791       3.820      15.777       0.000       0.000       0.000      31.669     -10.719      -0.383
    7      1      22.436       3.869      16.547       0.000       0.000       0.000      32.158     -10.695      -0.382
    8      1      23.070       3.906      15.363       0.000       0.000       0.000      31.649     -10.688      -0.382
    9      1      22.636       3.951      15.930       0.000       0.000       0.000      31.833     -10.683      -0.382
   10      1      22.998       3.951      15.231       0.000       0.000       0.000      31.503     -10.677      -0.381
   11      1      23.018       3.864      15.746       0.000       0.000       0.000      31.966     -10.661      -0.381
   12      1      22.963       3.867      15.661       0.000       0.000       0.000      31.834     -10.656      -0.381
   13      1      22.848       3.980      15.370       0.000       0.000       0.000      31.559     -10.640      -0.380
   14      1      22.591       3.843      15.999       0.000       0.000       0.000      31.806     -10.627      -0.380
   15      1      22.796       3.869      15.800       0.000       0.000       0.000      31.845     -10.620      -0.379
   16      1      22.905       3.976      15.277       0.000       0.000       0.000      31.544     -10.614      -0.379
   17      1      22.872       3.952      15.391       0.000       0.000       0.000      31.603     -10.612      -0.379
   18      1      22.386       3.947      16.006       0.000       0.000       0.000      31.727     -10.611      -0.379
   19      1      22.492       3.994      16.066       0.000       0.000       0.000      31.946     -10.607      -0.379
   20      1      22.631       3.893      15.804       0.000       0.000       0.000      31.722     -10.606      -0.379
   21      1      22.810       3.917      15.425       0.000       0.000       0.000      31.549     -10.603      -0.379
   22      1      22.709       4.018      15.379       0.000       0.000       0.000      31.503     -10.603      -0.379
   23      1      22.869       3.863      15.719       0.000       0.000       0.000      31.851     -10.600      -0.379
   24      1      22.901       3.993      15.301       0.000       0.000       0.000      31.596     -10.599      -0.379
   25      1      23.196       3.971      15.170       0.000       0.000       0.000      31.768     -10.570      -0.377
   26      1      22.873       3.905      15.461       0.000       0.000       0.000      31.669     -10.570      -0.377
   27      1      22.995       3.986      15.351       0.000       0.000       0.000      31.768     -10.565      -0.377
   28      1      22.995       3.897      15.516       0.000       0.000       0.000      31.852     -10.556      -0.377
   29      1      22.984       3.995      15.387       0.000       0.000       0.000      31.818     -10.549      -0.377
   30      1      22.410       3.930      15.986       0.000       0.000       0.000      31.784     -10.542      -0.376
   31      1      22.887       3.941      15.560       0.000       0.000       0.000      31.860     -10.528      -0.376
   32      1      23.069       3.991      15.345       0.000       0.000       0.000      31.883     -10.522      -0.376
   33      1      22.775       3.893      15.726       0.000       0.000       0.000      31.881     -10.513      -0.375
   34      1      23.502       4.053      14.874       0.000       0.000       0.000      31.928     -10.501      -0.375
   35      1      22.370       3.880      16.091       0.000       0.000       0.000      31.848     -10.494      -0.375
   36      1      22.299       3.952      16.513       0.000       0.000       0.000      32.285     -10.480      -0.374
   37      1      22.564       3.961      15.712       0.000       0.000       0.000      31.758     -10.479      -0.374
   38      1      22.893       3.924      15.447       0.000       0.000       0.000      31.812     -10.453      -0.373
   39      1      22.635       3.942      15.799       0.000       0.000       0.000      31.932     -10.444      -0.373
   40      1      22.710       3.972      15.494       0.000       0.000       0.000      31.733     -10.443      -0.373
   41      1      22.828       3.908      15.762       0.000       0.000       0.000      32.063     -10.436      -0.373
   42      1      23.256       3.874      15.263       0.000       0.000       0.000      31.965     -10.427      -0.372
   43      1      22.668       3.934      15.603       0.000       0.000       0.000      31.783     -10.421      -0.372
   44      1      22.743       3.920      15.577       0.000       0.000       0.000      31.825     -10.415      -0.372
   45      1      23.219       4.044      16.144       0.000       0.000       0.000      32.994     -10.412      -0.372
   46      1      22.808       3.933      15.523       0.000       0.000       0.000      31.857     -10.408      -0.372
   47      1      23.052       3.865      15.458       0.000       0.000       0.000      31.990     -10.385      -0.371
   48      1      22.662       3.897      15.954       0.000       0.000       0.000      32.134     -10.379      -0.371
   49      1      22.889       4.025      15.129       0.000       0.000       0.000      31.678     -10.365      -0.370
   50      1      22.512       3.891      15.901       0.000       0.000       0.000      31.973     -10.331      -0.369
