  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      36.175       4.295      18.286       0.000       0.000       0.000      50.173      -8.583      -0.318
    2      1      35.830       4.275      18.253       0.000       0.000       0.000      49.892      -8.466      -0.314
    3      1      33.801       5.431      20.790       0.000       0.000       0.000      51.771      -8.252      -0.306
    4      1      33.102       4.940      21.814       0.000       0.000       0.000      51.760      -8.096      -0.300
    5      1      33.998       5.345      20.816       0.000       0.000       0.000      52.083      -8.077      -0.299
    6      1      33.353       4.411      21.142       0.000       0.000       0.000      50.869      -8.038      -0.298
    7      1      33.757       5.481      20.863       0.000       0.000       0.000      52.158      -7.943      -0.294
    8      1      35.545       4.323      18.693       0.000       0.000       0.000      50.643      -7.918      -0.293
    9      1      34.545       4.341      18.383       0.000       0.000       0.000      49.384      -7.885      -0.292
   10      1      25.941       4.444      26.899       0.000       0.000       0.000      49.402      -7.881      -0.292
   11      1      33.746       5.325      20.888       0.000       0.000       0.000      52.084      -7.875      -0.292
   12      1      33.549       4.067      19.022       0.000       0.000       0.000      48.768      -7.870      -0.291
   13      1      33.576       4.101      18.786       0.000       0.000       0.000      48.607      -7.855      -0.291
   14      1      33.728       5.378      20.885       0.000       0.000       0.000      52.138      -7.853      -0.291
   15      1      35.240       5.058      20.291       0.000       0.000       0.000      52.737      -7.852      -0.291
   16      1      33.675       4.179      18.549       0.000       0.000       0.000      48.550      -7.852      -0.291
   17      1      33.530       5.446      20.997       0.000       0.000       0.000      52.125      -7.848      -0.291
   18      1      32.912       4.446      21.476       0.000       0.000       0.000      50.986      -7.848      -0.291
   19      1      32.762       6.127      23.248       0.000       0.000       0.000      54.303      -7.834      -0.290
   20      1      33.718       4.110      18.638       0.000       0.000       0.000      48.635      -7.830      -0.290
   21      1      33.580       4.183      18.774       0.000       0.000       0.000      48.720      -7.817      -0.290
   22      1      34.447       4.080      17.960       0.000       0.000       0.000      48.695      -7.791      -0.289
   23      1      32.930       4.859      22.288       0.000       0.000       0.000      52.292      -7.785      -0.288
   24      1      33.957       4.158      18.354       0.000       0.000       0.000      48.686      -7.784      -0.288
   25      1      33.826       4.127      18.629       0.000       0.000       0.000      48.801      -7.781      -0.288
   26      1      34.171       4.052      18.372       0.000       0.000       0.000      48.813      -7.781      -0.288
   27      1      33.776       4.160      18.399       0.000       0.000       0.000      48.558      -7.776      -0.288
   28      1      32.653       4.946      22.314       0.000       0.000       0.000      52.140      -7.773      -0.288
   29      1      34.198       4.066      18.149       0.000       0.000       0.000      48.650      -7.763      -0.288
   30      1      33.756       4.074      18.760       0.000       0.000       0.000      48.829      -7.761      -0.287
   31      1      34.035       4.050      18.546       0.000       0.000       0.000      48.879      -7.752      -0.287
   32      1      34.101       4.064      18.290       0.000       0.000       0.000      48.711      -7.744      -0.287
   33      1      33.330       4.124      19.121       0.000       0.000       0.000      48.840      -7.735      -0.286
   34      1      32.621       4.203      22.154       0.000       0.000       0.000      51.244      -7.734      -0.286
   35      1      35.414       4.213      18.364       0.000       0.000       0.000      50.263      -7.728      -0.286
   36      1      33.621       4.181      18.610       0.000       0.000       0.000      48.700      -7.712      -0.286
   37      1      33.669       4.874      21.545       0.000       0.000       0.000      52.378      -7.710      -0.286
   38      1      34.115       4.073      18.274       0.000       0.000       0.000      48.752      -7.709      -0.286
   39      1      33.810       4.081      18.574       0.000       0.000       0.000      48.758      -7.706      -0.285
   40      1      34.340       4.083      18.010       0.000       0.000       0.000      48.728      -7.705      -0.285
   41      1      34.264       4.126      18.100       0.000       0.000       0.000      48.787      -7.703      -0.285
   42      1      34.594       4.033      17.924       0.000       0.000       0.000      48.854      -7.697      -0.285
   43      1      33.667       4.086      18.830       0.000       0.000       0.000      48.886      -7.696      -0.285
   44      1      34.569       4.326      18.353       0.000       0.000       0.000      49.561      -7.687      -0.285
   45      1      25.867       4.432      26.869       0.000       0.000       0.000      49.484      -7.684      -0.285
   46      1      34.591       4.364      18.438       0.000       0.000       0.000      49.711      -7.683      -0.285
   47      1      33.819       4.111      18.451       0.000       0.000       0.000      48.705      -7.676      -0.284
   48      1      34.010       4.169      18.225       0.000       0.000       0.000      48.730      -7.673      -0.284
   49      1      34.399       4.053      17.994       0.000       0.000       0.000      48.793      -7.653      -0.283
   50      1      34.715       4.015      17.966       0.000       0.000       0.000      49.048      -7.648      -0.283
