  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      35.583       4.277      18.463       0.000       0.000       0.000      49.769      -8.555      -0.317
    2      1      32.553       4.445      21.891       0.000       0.000       0.000      50.552      -8.337      -0.309
    3      1      32.715       4.405      21.715       0.000       0.000       0.000      50.510      -8.325      -0.308
    4      1      33.840       5.447      20.715       0.000       0.000       0.000      51.708      -8.294      -0.307
    5      1      35.291       5.471      20.322       0.000       0.000       0.000      52.822      -8.261      -0.306
    6      1      33.798       5.446      20.848       0.000       0.000       0.000      51.871      -8.222      -0.305
    7      1      34.197       4.209      18.283       0.000       0.000       0.000      48.495      -8.195      -0.304
    8      1      34.116       5.425      20.348       0.000       0.000       0.000      51.708      -8.181      -0.303
    9      1      26.152       5.974      26.418       0.000       0.000       0.000      50.402      -8.143      -0.302
   10      1      34.287       5.471      20.155       0.000       0.000       0.000      51.811      -8.102      -0.300
   11      1      33.003       4.395      21.507       0.000       0.000       0.000      50.804      -8.101      -0.300
   12      1      26.374       3.556      30.638       0.000       0.000       0.000      52.499      -8.069      -0.299
   13      1      34.078       4.054      18.582       0.000       0.000       0.000      48.650      -8.064      -0.299
   14      1      33.360       5.002      21.488       0.000       0.000       0.000      51.798      -8.051      -0.298
   15      1      33.735       4.450      20.777       0.000       0.000       0.000      50.961      -8.000      -0.296
   16      1      32.930       5.053      22.135       0.000       0.000       0.000      52.122      -7.996      -0.296
   17      1      33.708       4.909      21.571       0.000       0.000       0.000      52.204      -7.984      -0.296
   18      1      34.231       5.236      20.624       0.000       0.000       0.000      52.135      -7.956      -0.295
   19      1      33.861       4.929      21.382       0.000       0.000       0.000      52.261      -7.912      -0.293
   20      1      31.746       4.562      22.617       0.000       0.000       0.000      51.016      -7.909      -0.293
   21      1      34.611       5.326      19.996       0.000       0.000       0.000      52.054      -7.878      -0.292
   22      1      34.560       4.347      18.403       0.000       0.000       0.000      49.440      -7.869      -0.291
   23      1      34.650       4.035      17.922       0.000       0.000       0.000      48.742      -7.866      -0.291
   24      1      35.205       4.032      17.528       0.000       0.000       0.000      48.929      -7.836      -0.290
   25      1      32.687       5.096      22.204       0.000       0.000       0.000      52.181      -7.806      -0.289
   26      1      33.482       4.111      18.907       0.000       0.000       0.000      48.695      -7.805      -0.289
   27      1      34.067       4.171      18.144       0.000       0.000       0.000      48.605      -7.776      -0.288
   28      1      34.286       4.055      18.120       0.000       0.000       0.000      48.693      -7.768      -0.288
   29      1      34.796       4.282      18.527       0.000       0.000       0.000      49.838      -7.766      -0.288
   30      1      32.634       4.826      22.663       0.000       0.000       0.000      52.367      -7.755      -0.287
   31      1      34.191       4.041      18.283       0.000       0.000       0.000      48.760      -7.755      -0.287
   32      1      34.727       5.598      20.296       0.000       0.000       0.000      52.867      -7.754      -0.287
   33      1      34.105       4.580      20.318       0.000       0.000       0.000      51.252      -7.751      -0.287
   34      1      34.181       5.437      20.288       0.000       0.000       0.000      52.167      -7.739      -0.287
   35      1      34.080       4.079      18.252       0.000       0.000       0.000      48.683      -7.728      -0.286
   36      1      33.929       4.154      18.397       0.000       0.000       0.000      48.754      -7.726      -0.286
   37      1      34.146       4.069      18.211       0.000       0.000       0.000      48.701      -7.725      -0.286
   38      1      33.303       4.701      20.863       0.000       0.000       0.000      51.156      -7.712      -0.286
   39      1      34.482       4.089      17.889       0.000       0.000       0.000      48.752      -7.708      -0.285
   40      1      34.689       5.187      20.030       0.000       0.000       0.000      52.208      -7.699      -0.285
   41      1      33.941       4.094      18.469       0.000       0.000       0.000      48.816      -7.688      -0.285
   42      1      34.771       5.458      20.555       0.000       0.000       0.000      53.100      -7.685      -0.285
   43      1      33.381       4.168      18.878       0.000       0.000       0.000      48.744      -7.683      -0.285
   44      1      33.953       4.087      18.332       0.000       0.000       0.000      48.706      -7.667      -0.284
   45      1      32.887       6.424      22.383       0.000       0.000       0.000      54.039      -7.655      -0.284
   46      1      35.261       4.222      18.358       0.000       0.000       0.000      50.209      -7.632      -0.283
   47      1      33.743       4.092      18.600       0.000       0.000       0.000      48.819      -7.616      -0.282
   48      1      33.196       4.409      21.322       0.000       0.000       0.000      51.319      -7.608      -0.282
   49      1      33.767       4.123      18.481       0.000       0.000       0.000      48.766      -7.605      -0.282
   50      1      33.229       4.735      20.897       0.000       0.000       0.000      51.258      -7.603      -0.282
