  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      30.133       5.278      16.305       0.000       0.000       0.000      43.034      -8.683      -0.299
    2      1      30.092       5.253      16.307       0.000       0.000       0.000      43.007      -8.645      -0.298
    3      1      27.933       4.884      17.345       0.000       0.000       0.000      41.584      -8.577      -0.296
    4      1      29.316       5.481      16.881       0.000       0.000       0.000      43.285      -8.394      -0.289
    5      1      28.647       4.754      17.360       0.000       0.000       0.000      42.384      -8.377      -0.289
    6      1      29.457       4.935      17.611       0.000       0.000       0.000      43.657      -8.346      -0.288
    7      1      27.973       4.901      17.337       0.000       0.000       0.000      41.877      -8.334      -0.287
    8      1      29.530       4.891      17.492       0.000       0.000       0.000      43.589      -8.323      -0.287
    9      1      28.963       4.888      16.423       0.000       0.000       0.000      41.990      -8.283      -0.286
   10      1      27.983       4.654      18.071       0.000       0.000       0.000      42.434      -8.273      -0.285
   11      1      29.935       5.279      16.873       0.000       0.000       0.000      43.814      -8.272      -0.285
   12      1      28.582       4.924      16.621       0.000       0.000       0.000      41.859      -8.268      -0.285
   13      1      28.471       4.842      16.755       0.000       0.000       0.000      41.809      -8.259      -0.285
   14      1      28.491       4.911      16.653       0.000       0.000       0.000      41.805      -8.251      -0.285
   15      1      28.494       4.886      16.688       0.000       0.000       0.000      41.817      -8.251      -0.285
   16      1      28.728       4.966      16.400       0.000       0.000       0.000      41.858      -8.236      -0.284
   17      1      28.037       4.868      17.246       0.000       0.000       0.000      41.916      -8.236      -0.284
   18      1      29.618       4.792      15.916       0.000       0.000       0.000      42.096      -8.230      -0.284
   19      1      29.077       4.811      16.271       0.000       0.000       0.000      41.930      -8.230      -0.284
   20      1      28.773       5.109      16.852       0.000       0.000       0.000      42.527      -8.207      -0.283
   21      1      28.438       4.871      16.697       0.000       0.000       0.000      41.813      -8.192      -0.282
   22      1      28.738       4.790      16.970       0.000       0.000       0.000      42.320      -8.178      -0.282
   23      1      28.379       4.915      16.775       0.000       0.000       0.000      41.896      -8.173      -0.282
   24      1      28.452       4.909      16.704       0.000       0.000       0.000      41.892      -8.173      -0.282
   25      1      28.733       4.838      16.496       0.000       0.000       0.000      41.896      -8.171      -0.282
   26      1      28.702       4.821      16.571       0.000       0.000       0.000      41.924      -8.171      -0.282
   27      1      27.985       4.854      17.171       0.000       0.000       0.000      41.846      -8.163      -0.281
   28      1      27.929       4.831      17.604       0.000       0.000       0.000      42.218      -8.146      -0.281
   29      1      28.068       4.846      17.207       0.000       0.000       0.000      41.976      -8.145      -0.281
   30      1      28.908       4.971      16.329       0.000       0.000       0.000      42.065      -8.144      -0.281
   31      1      28.824       4.972      16.512       0.000       0.000       0.000      42.166      -8.142      -0.281
   32      1      29.515       4.962      17.433       0.000       0.000       0.000      43.771      -8.139      -0.281
   33      1      28.024       4.734      17.791       0.000       0.000       0.000      42.411      -8.138      -0.281
   34      1      30.047       4.940      16.571       0.000       0.000       0.000      43.427      -8.131      -0.280
   35      1      30.197       6.829      19.491       0.000       0.000       0.000      48.389      -8.127      -0.280
   36      1      29.199       4.942      16.032       0.000       0.000       0.000      42.052      -8.121      -0.280
   37      1      28.339       4.809      17.108       0.000       0.000       0.000      42.136      -8.120      -0.280
   38      1      28.606       4.923      16.590       0.000       0.000       0.000      42.002      -8.117      -0.280
   39      1      27.946       4.873      17.499       0.000       0.000       0.000      42.210      -8.108      -0.280
   40      1      28.370       4.853      16.848       0.000       0.000       0.000      41.968      -8.103      -0.279
   41      1      29.548       4.783      16.370       0.000       0.000       0.000      42.601      -8.101      -0.279
   42      1      27.791       4.808      17.889       0.000       0.000       0.000      42.390      -8.098      -0.279
   43      1      28.781       4.956      16.390       0.000       0.000       0.000      42.033      -8.095      -0.279
   44      1      30.224       4.963      16.432       0.000       0.000       0.000      43.523      -8.095      -0.279
   45      1      28.418       4.904      16.813       0.000       0.000       0.000      42.042      -8.092      -0.279
   46      1      30.035       4.905      16.549       0.000       0.000       0.000      43.397      -8.092      -0.279
   47      1      28.289       4.888      16.832       0.000       0.000       0.000      41.924      -8.086      -0.279
   48      1      29.144       4.945      16.042       0.000       0.000       0.000      42.048      -8.083      -0.279
   49      1      28.299       4.974      17.032       0.000       0.000       0.000      42.223      -8.081      -0.279
   50      1      28.817       4.925      16.370       0.000       0.000       0.000      42.039      -8.074      -0.278
