  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      28.337       4.653      14.540       0.000       0.000       0.000      39.430      -8.101      -0.312
    2      1      28.314       4.684      14.070       0.000       0.000       0.000      38.975      -8.092      -0.311
    3      1      28.160       4.639      13.946       0.000       0.000       0.000      38.743      -8.003      -0.308
    4      1      28.338       4.745      14.417       0.000       0.000       0.000      39.507      -7.993      -0.307
    5      1      28.663       4.660      13.355       0.000       0.000       0.000      38.694      -7.984      -0.307
    6      1      28.487       4.686      14.400       0.000       0.000       0.000      39.612      -7.961      -0.306
    7      1      28.363       4.686      14.410       0.000       0.000       0.000      39.507      -7.952      -0.306
    8      1      28.254       4.648      13.779       0.000       0.000       0.000      38.747      -7.934      -0.305
    9      1      28.855       4.667      13.314       0.000       0.000       0.000      38.916      -7.920      -0.305
   10      1      28.015       4.675      14.055       0.000       0.000       0.000      38.830      -7.915      -0.304
   11      1      27.928       4.769      14.611       0.000       0.000       0.000      39.423      -7.885      -0.303
   12      1      27.927       4.632      14.146       0.000       0.000       0.000      38.824      -7.881      -0.303
   13      1      28.159       4.657      14.031       0.000       0.000       0.000      38.966      -7.881      -0.303
   14      1      27.837       4.627      14.318       0.000       0.000       0.000      38.903      -7.880      -0.303
   15      1      27.869       4.597      14.256       0.000       0.000       0.000      38.843      -7.879      -0.303
   16      1      27.973       4.612      14.129       0.000       0.000       0.000      38.843      -7.871      -0.303
   17      1      28.268       4.582      13.908       0.000       0.000       0.000      38.889      -7.869      -0.303
   18      1      28.156       4.619      14.039       0.000       0.000       0.000      38.949      -7.864      -0.302
   19      1      28.117       4.621      14.086       0.000       0.000       0.000      38.974      -7.851      -0.302
   20      1      27.991       4.566      14.170       0.000       0.000       0.000      38.877      -7.850      -0.302
   21      1      28.033       4.590      14.224       0.000       0.000       0.000      38.998      -7.848      -0.302
   22      1      28.233       4.587      14.019       0.000       0.000       0.000      38.991      -7.848      -0.302
   23      1      27.983       4.611      14.100       0.000       0.000       0.000      38.846      -7.848      -0.302
   24      1      28.213       4.606      13.877       0.000       0.000       0.000      38.848      -7.848      -0.302
   25      1      27.900       4.596      14.219       0.000       0.000       0.000      38.868      -7.848      -0.302
   26      1      28.529       4.606      13.756       0.000       0.000       0.000      39.055      -7.835      -0.301
   27      1      28.289       4.616      13.828       0.000       0.000       0.000      38.901      -7.832      -0.301
   28      1      28.013       4.573      14.208       0.000       0.000       0.000      38.962      -7.832      -0.301
   29      1      28.183       4.631      13.875       0.000       0.000       0.000      38.858      -7.831      -0.301
   30      1      27.891       4.697      14.091       0.000       0.000       0.000      38.855      -7.824      -0.301
   31      1      27.920       4.584      14.201       0.000       0.000       0.000      38.883      -7.822      -0.301
   32      1      27.948       4.602      14.329       0.000       0.000       0.000      39.058      -7.822      -0.301
   33      1      27.968       4.646      14.119       0.000       0.000       0.000      38.913      -7.820      -0.301
   34      1      28.260       4.622      13.918       0.000       0.000       0.000      38.983      -7.817      -0.301
   35      1      28.048       4.627      13.990       0.000       0.000       0.000      38.860      -7.803      -0.300
   36      1      27.963       4.644      14.090       0.000       0.000       0.000      38.894      -7.802      -0.300
   37      1      27.961       4.637      14.002       0.000       0.000       0.000      38.802      -7.798      -0.300
   38      1      28.199       4.640      13.936       0.000       0.000       0.000      38.980      -7.795      -0.300
   39      1      27.886       4.589      14.364       0.000       0.000       0.000      39.062      -7.776      -0.299
   40      1      28.511       4.665      13.564       0.000       0.000       0.000      38.966      -7.774      -0.299
   41      1      27.883       4.612      14.214       0.000       0.000       0.000      38.957      -7.753      -0.298
   42      1      28.161       4.692      14.213       0.000       0.000       0.000      39.313      -7.752      -0.298
   43      1      28.116       4.620      13.933       0.000       0.000       0.000      38.926      -7.742      -0.298
   44      1      28.365       4.628      13.698       0.000       0.000       0.000      38.954      -7.737      -0.298
   45      1      28.423       4.544      13.851       0.000       0.000       0.000      39.084      -7.734      -0.297
   46      1      27.810       4.626      14.271       0.000       0.000       0.000      38.975      -7.732      -0.297
   47      1      28.668       4.581      13.615       0.000       0.000       0.000      39.133      -7.731      -0.297
   48      1      27.785       4.689      14.573       0.000       0.000       0.000      39.320      -7.728      -0.297
   49      1      27.856       4.560      14.332       0.000       0.000       0.000      39.020      -7.728      -0.297
   50      1      27.944       4.598      14.168       0.000       0.000       0.000      39.002      -7.709      -0.296
