  Run   Step     IntraLJ     IntraEL   IntraDihe     InterLJ     InterEL      GridEL        TotE        LGFE          LE
    1      1      26.229       3.971      15.169       0.000       0.000       0.000      35.706      -9.663      -0.345
    2      1      24.304       3.397      16.108       0.000       0.000       0.000      34.344      -9.464      -0.338
    3      1      24.546       3.378      15.967       0.000       0.000       0.000      34.432      -9.459      -0.338
    4      1      24.577       3.457      15.762       0.000       0.000       0.000      34.357      -9.440      -0.337
    5      1      24.627       3.350      15.936       0.000       0.000       0.000      34.475      -9.438      -0.337
    6      1      24.915       3.351      15.719       0.000       0.000       0.000      34.549      -9.435      -0.337
    7      1      24.559       3.439      15.890       0.000       0.000       0.000      34.474      -9.414      -0.336
    8      1      24.076       3.820      16.913       0.000       0.000       0.000      35.447      -9.362      -0.334
    9      1      24.759       3.317      15.924       0.000       0.000       0.000      34.648      -9.352      -0.334
   10      1      24.448       3.409      15.974       0.000       0.000       0.000      34.491      -9.340      -0.334
   11      1      24.182       3.426      16.174       0.000       0.000       0.000      34.458      -9.324      -0.333
   12      1      24.328       3.385      16.139       0.000       0.000       0.000      34.540      -9.312      -0.333
   13      1      24.827       3.408      15.656       0.000       0.000       0.000      34.583      -9.308      -0.332
   14      1      24.506       3.346      16.080       0.000       0.000       0.000      34.653      -9.278      -0.331
   15      1      24.428       3.545      16.010       0.000       0.000       0.000      34.707      -9.277      -0.331
   16      1      24.624       3.409      15.870       0.000       0.000       0.000      34.628      -9.274      -0.331
   17      1      24.848       3.607      15.466       0.000       0.000       0.000      34.650      -9.271      -0.331
   18      1      24.583       3.575      15.841       0.000       0.000       0.000      34.728      -9.271      -0.331
   19      1      24.784       3.589      15.573       0.000       0.000       0.000      34.693      -9.254      -0.330
   20      1      23.821       3.329      16.508       0.000       0.000       0.000      34.405      -9.253      -0.330
   21      1      24.748       3.466      15.696       0.000       0.000       0.000      34.657      -9.253      -0.330
   22      1      24.830       3.629      15.451       0.000       0.000       0.000      34.662      -9.248      -0.330
   23      1      24.802       3.591      15.532       0.000       0.000       0.000      34.677      -9.248      -0.330
   24      1      24.778       3.575      15.590       0.000       0.000       0.000      34.695      -9.248      -0.330
   25      1      25.183       3.506      15.492       0.000       0.000       0.000      34.934      -9.247      -0.330
   26      1      24.780       3.379      15.771       0.000       0.000       0.000      34.685      -9.245      -0.330
   27      1      25.920       3.465      16.353       0.000       0.000       0.000      36.501      -9.236      -0.330
   28      1      24.945       3.546      15.518       0.000       0.000       0.000      34.777      -9.232      -0.330
   29      1      24.775       3.595      15.564       0.000       0.000       0.000      34.709      -9.225      -0.329
   30      1      24.952       3.510      15.555       0.000       0.000       0.000      34.805      -9.213      -0.329
   31      1      24.883       3.624      15.411       0.000       0.000       0.000      34.710      -9.208      -0.329
   32      1      24.742       3.587      15.694       0.000       0.000       0.000      34.817      -9.206      -0.329
   33      1      24.629       3.446      15.752       0.000       0.000       0.000      34.629      -9.199      -0.329
   34      1      24.590       3.381      15.949       0.000       0.000       0.000      34.722      -9.199      -0.329
   35      1      24.722       3.602      15.581       0.000       0.000       0.000      34.712      -9.193      -0.328
   36      1      24.757       3.563      15.693       0.000       0.000       0.000      34.833      -9.180      -0.328
   37      1      25.625       3.841      15.771       0.000       0.000       0.000      36.070      -9.167      -0.327
   38      1      25.164       3.532      15.311       0.000       0.000       0.000      34.841      -9.165      -0.327
   39      1      24.877       3.496      15.676       0.000       0.000       0.000      34.884      -9.165      -0.327
   40      1      25.423       3.598      15.058       0.000       0.000       0.000      34.919      -9.159      -0.327
   41      1      24.963       3.647      15.370       0.000       0.000       0.000      34.822      -9.159      -0.327
   42      1      24.258       3.473      16.053       0.000       0.000       0.000      34.628      -9.156      -0.327
   43      1      24.713       3.589      15.658       0.000       0.000       0.000      34.814      -9.146      -0.327
   44      1      24.291       3.361      16.180       0.000       0.000       0.000      34.692      -9.140      -0.326
   45      1      24.801       3.655      15.461       0.000       0.000       0.000      34.782      -9.135      -0.326
   46      1      24.810       3.547      15.709       0.000       0.000       0.000      34.932      -9.134      -0.326
   47      1      24.972       3.581      15.472       0.000       0.000       0.000      34.895      -9.131      -0.326
   48      1      24.533       3.496      16.039       0.000       0.000       0.000      34.942      -9.126      -0.326
   49      1      25.295       3.486      15.319       0.000       0.000       0.000      34.980      -9.120      -0.326
   50      1      25.459       3.565      15.013       0.000       0.000       0.000      34.921      -9.117      -0.326
